Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
1;1499;1;1499;T-P12095;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;;NA;100;1988;-6.168679445;42.49469735;4 - UTM10x10 + Centroid;910;V1
2;1648;1;1648;T-P33531;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chrysanthemum segetum-Raphanetum;E;NA;NA;1959;-8.563187251;42.90103111;3 - UTM10x10 + Elevation;400;V1
3;1501;1;1501;T-P12097;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;;NA;50;1988;-5.748270154;42.72068205;3 - UTM10x10 + Elevation;1170;V1
4;1718;1;1718;T-P36788;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;E;NA;25;1993;-7.512785586;42.36576295;2 - UTM1x1 + Centroid;350;V1
5;1494;1;1494;T-P12087;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;;NA;100;1988;-6.612293157;42.62643471;3 - UTM10x10 + Elevation;620;V1
6;1053;1;1053;Q-P10036;V15;V15;Weed;V15C;0;NA;NA;NA;;SW;4.5;12;NA;-6.594360057;41.84360189;3 - UTM10x10 + Elevation;940;V1
7;1204;1;1204;R-P24001;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;S;10;100;1986;-6.995282441;42.38985921;4 - UTM10x10 + Centroid;97;V1
8;1408;1;1408;T-P02590;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;SE;9;30;1984;-6.32531531;42.41182245;3 - UTM10x10 + Elevation;1220;V1
9;1344;1;1344;S-P19642;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chenopodietalia albi;;NA;100;1972;-8.02314755;43.12593125;3 - UTM10x10 + Elevation;490;V1
10;1684;1;1684;T-P33567;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;W;9;NA;1959;-8.562055917;42.88848324;3 - UTM10x10 + Elevation;300;V1
