Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
1;863;1;863;T-P22331;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;20;1988;-4.822576379;43.05433533;3 - UTM10x10 + Elevation;1390;V38a
2;337;1;337;R-P29000;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum richterani;;NA;15;2014;-3.553176554;43.08552358;1 - UTM1x1 + Elevation;780;V38a
3;1005;1;1005;U-P15578;V38;V37;Ruderal;V38;0;Artemisietea vulgaris;Carthametalia lanati;Onopordion castellani;Onopordetum acantho-nervosi;;NA;5;1991;-3.918400258;42.94358211;4 - UTM10x10 + Centroid;888;V38a
4;886;1;886;T-P22363;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;200;1988;-5.398788954;42.84200043;3 - UTM10x10 + Elevation;1040;V38a
5;885;1;885;T-P22362;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;120;1988;-5.330723492;42.85421267;3 - UTM10x10 + Elevation;960;V38a
6;1004;1;1004;U-P15570;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Onopordion castellani;Onopordetum acantho-nervosi;;NA;20;1991;-3.918400258;42.94358211;4 - UTM10x10 + Centroid;888;V38a
7;1011;1;1011;U-P16706;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;20;2009;-5.167762967;43.09333777;2 - UTM1x1 + Centroid;1260;V38a
8;1052;1;1052;Q-P09954;V38;V33;Weed;V15C;0;Artemisietea vulgaris;Carthametalia lanati;Onopordion castellani;Carlino corymbosae-Carthametum lanati;S;4.5;4;2000;-6.607392805;41.86120262;3 - UTM10x10 + Elevation;790;V38a
9;928;1;928;T-P36748;V38;V33;Ruderal;V37;0;Artemisietea vulgaris;Onopordetalia acanthii;Dauco-Melilotion;Comunidad de Dipsacus fullonum;E-SE;15;100;1993;-7.506684798;42.55147473;1 - UTM1x1 + Elevation;320;V38a
10;861;1;861;T-P22329;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;200;1988;-5.551723284;42.93053925;3 - UTM10x10 + Elevation;1130;V38a
11;952;1;952;U-P00106;V38;R;Ruderal;V38;0;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;20;2001;-5.235996238;43.07761704;1 - UTM1x1 + Elevation;1625;V38a
12;506;1;506;T-P02609;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;W;27;10;1984;-6.168679445;42.49469735;4 - UTM10x10 + Centroid;880;V38a
13;700;1;700;T-P11654;V39;V38;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galio aparines-Conietum maculati;NW;22.5;25;1988;-5.64636353;42.90857919;3 - UTM10x10 + Elevation;1140;V38a
14;864;1;864;T-P22332;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;100;1988;-4.782988275;43.0441535;3 - UTM10x10 + Elevation;1610;V38a
15;862;1;862;T-P22330;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;50;1988;-4.935418861;42.89399817;3 - UTM10x10 + Elevation;1390;V38a
16;867;1;867;T-P22335;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;200;1988;-4.971931033;42.96361238;3 - UTM10x10 + Elevation;1090;V38a
17;59;1;59;Q-P08758;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;100;1990;-4.66851798;42.80634914;3 - UTM10x10 + Elevation;1130;V38a
18;68;1;68;Q-P08768;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;60;1990;-4.491578057;42.87362795;3 - UTM10x10 + Elevation;1020;V38a
19;65;1;65;Q-P08765;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;100;1990;-4.69316451;42.81319133;3 - UTM10x10 + Elevation;1080;V38a
20;803;1;803;T-P12289;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;10;1988;-6.450663948;42.87813778;3 - UTM10x10 + Elevation;900;V38a
21;362;1;362;S-P11150;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;N;10;20;1989;-4.391517645;42.99735599;2 - UTM1x1 + Centroid;1300;V38a
22;64;1;64;Q-P08764;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;100;1990;-4.527275081;42.83173387;3 - UTM10x10 + Elevation;1100;V38a
23;859;1;859;T-P22327;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;70;1988;-5.332825473;42.90999906;3 - UTM10x10 + Elevation;1320;V38a
24;66;1;66;Q-P08766;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;50;1990;-4.648957603;42.80663255;3 - UTM10x10 + Elevation;1120;V38a
25;67;1;67;Q-P08767;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;40;1990;-4.668372809;42.80094819;3 - UTM10x10 + Elevation;1120;V38a
26;884;1;884;T-P22361;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;100;1988;-5.701239318;42.87488037;3 - UTM10x10 + Elevation;1170;V38a
