Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
14;2104;1;2104;T-P15259;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;2;1988;-5.311596575;43.52094319;4 - UTM10x10 + Centroid;121;V34
15;2014;1;2014;T-P05138;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;2;1995;-3.425452985;43.44625591;3 - UTM10x10 + Elevation;6;V34
16;2098;1;2098;T-P15253;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-3.821186692;43.46727446;4 - UTM10x10 + Centroid;21;V34
17;2081;1;2081;T-P13261;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;3;1997;-2.787765394;43.44324866;1 - UTM1x1 + Elevation;20;V34
18;2094;1;2094;T-P15249;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-1.946976419;43.2963547;4 - UTM10x10 + Centroid;66;V34
19;2107;1;2107;T-P15262;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-6.090129678;43.53291119;4 - UTM10x10 + Centroid;122;V34
20;2108;1;2108;T-P15263;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-6.591547598;43.53512218;4 - UTM10x10 + Centroid;96;V34
21;2110;1;2110;T-P15265;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-6.949739134;43.54130303;4 - UTM10x10 + Centroid;47;V34
22;2103;1;2103;T-P15258;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-5.046636726;43.44615064;4 - UTM10x10 + Centroid;57;V34
23;2015;1;2015;T-P05139;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1995;-3.407945866;43.41570476;1 - UTM1x1 + Elevation;5;V34
24;1858;1;1858;R-P22302;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum matricarioidis;;NA;2;1999;-8.0894349;41.86800681;2 - UTM1x1 + Centroid;400;V34
25;2141;1;2141;U-P15819;V34;V34;Trampled;V35;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpo tetraphylli-Cotuletum australis;NW;15;8;1990;-8.641669023;41.07695061;3 - UTM10x10 + Elevation;2;V34
26;1869;1;1869;R-P22313;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;1999;-8.052735922;41.92184909;2 - UTM1x1 + Centroid;810;V34
27;2145;1;2145;U-P15844;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Gnaphaliio luteo-albi-Polycarpetum tetraphylli;E;20;8;1990;-8.369754006;41.47529761;3 - UTM10x10 + Elevation;200;V34
28;1949;1;1949;S-P15177;V34;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpion tetraphylli;;NA;4;1967;-8.577150315;42.04626052;4 - UTM10x10 + Centroid;73;V34
29;1866;1;1866;R-P22310;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;1999;-8.08254135;41.90252427;1 - UTM1x1 + Elevation;410;V34
30;2121;1;2121;T-P28146;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Sagino-Bryetum argentei;;NA;1;1958;-5.665984283;43.52893451;4 - UTM10x10 + Centroid;31;V34
31;2140;1;2140;U-P15818;V34;V;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpo tetraphylli-Cotuletum australis;;NA;1;1990;-8.341103599;41.50476726;4 - UTM10x10 + Centroid;20;V34
32;1856;1;1856;R-P22300;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum matricarioidis;;NA;2;1999;-8.110178932;41.85627969;1 - UTM1x1 + Elevation;390;V34
33;2142;1;2142;U-P15820;V34;V;Trampled;V35;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpo tetraphylli-Cotuletum australis;;NA;6;1990;-8.641669023;41.07695061;3 - UTM10x10 + Elevation;2;V34
34;1960;1;1960;S-P17979;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Bryo argentei-Saginetum procumbentis;;NA;1;1982;-2.701402888;43.41424167;1 - UTM1x1 + Elevation;20;V34
35;1828;1;1828;R-P09860;V34;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpion tetraphylli;;NA;3;2000;-2.963323257;43.31737687;1 - UTM1x1 + Elevation;10;V34
36;1898;1;1898;R-P24609;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;NA;2012;-6.76577691;42.4215937;1 - UTM1x1 + Elevation;407;V34
37;2147;1;2147;U-P16371;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpo tetraphylli-Cotuletum australis;;NA;1;1993;-4.778709145;43.02349469;4 - UTM10x10 + Centroid;1741;V34
38;1867;1;1867;R-P22311;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;2;1999;-8.07759526;41.90094306;1 - UTM1x1 + Elevation;410;V34
39;2144;1;2144;U-P15822;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpo tetraphylli-Cotuletum australis;N;15;4;1990;-8.558109648;42.04967039;3 - UTM10x10 + Elevation;3;V34
40;2143;1;2143;U-P15821;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Polycarpo tetraphylli-Cotuletum australis;;NA;2;1990;-8.341103599;41.50476726;4 - UTM10x10 + Centroid;20;V34
41;2146;1;2146;U-P15845;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Gnaphaliio luteo-albi-Polycarpetum tetraphylli;E;20;4;1990;-8.305358617;41.47829442;3 - UTM10x10 + Elevation;200;V34
42;1819;1;1819;Q-P10002;V15;V;Trampled;V34;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Comunidad de Spergularia purpurea y Plantago coronopus;;NA;1;2000;-6.891229027;41.77448393;3 - UTM10x10 + Elevation;800;V34
43;2112;1;2112;T-P27833;V35;V34;Trampled;V34;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Asociación de Plantago coronopus-Trifolium fragiferum;;NA;1;1958;-5.665984283;43.52893451;4 - UTM10x10 + Centroid;31;V34
44;2023;1;2023;T-P05334;V35;V34;Trampled;V34;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Plantago coronopi-Trifolietum fragiferae;;NA;10;1995;-3.427677294;43.38332;4 - UTM10x10 + Centroid;81;V34
45;1816;1;1816;Q-P09999;V15;V;Trampled;V34;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Comunidad de Spergularia purpurea y Plantago coronopus;;NA;1;2000;-6.736622917;41.88768148;3 - UTM10x10 + Elevation;640;V34
46;1821;1;1821;Q-P10004;V37;V32;Trampled;V34;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Comunidad de Spergularia purpurea y Plantago coronopus;;NA;1;2000;-6.929148103;41.88304723;3 - UTM10x10 + Elevation;680;V34
47;2022;1;2022;T-P05333;V35;V34;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Plantago coronopi-Trifolietum fragiferae;;NA;15;1995;-3.440067404;43.41829162;2 - UTM1x1 + Centroid;81;V34
48;1817;1;1817;Q-P10000;V15;R1D;Trampled;V34;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Comunidad de Spergularia purpurea y Plantago coronopus;;NA;3;2000;-6.80007697;41.85646934;4 - UTM10x10 + Centroid;600;V34
49;1818;1;1818;Q-P10001;V37;V32;Trampled;V34;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Comunidad de Spergularia purpurea y Plantago coronopus;;NA;1;2000;-6.604765258;41.81445954;3 - UTM10x10 + Elevation;780;V34
50;1885;1;1885;R-P24596;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;N;3;5;2012;-6.710193216;42.42701045;1 - UTM1x1 + Elevation;489;V34
51;2120;1;2120;T-P27853;V35;V35;Trampled;V35;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Asociación de Spergularia rubra-Amaranthus deflexus;;NA;NA;1958;-5.962566038;42.65886893;4 - UTM10x10 + Centroid;1053;V34
52;1812;1;1812;Q-P09995;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;4;2000;-6.613956586;41.93483594;1 - UTM1x1 + Elevation;770;V34
53;1810;1;1810;Q-P09993;V34;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;3;2000;-6.632766489;41.88381447;3 - UTM10x10 + Elevation;640;V34
54;1889;1;1889;R-P24600;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;;NA;1;2012;-6.815298298;42.39654291;1 - UTM1x1 + Elevation;738;V34
55;1804;1;1804;Q-P09987;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2000;-6.80007697;41.85646934;4 - UTM10x10 + Centroid;600;V34
56;1803;1;1803;Q-P09986;V34;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2000;-6.827197264;41.74962379;3 - UTM10x10 + Elevation;840;V34
57;1806;1;1806;Q-P09989;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2000;-6.766626048;41.8650886;3 - UTM10x10 + Elevation;640;V34
58;1870;1;1870;R-P22314;V34;V34;Trampled;V34;3;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;1999;-8.202905451;41.90072054;1 - UTM1x1 + Elevation;570;V34
59;1890;1;1890;R-P24601;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;;NA;4;2012;-6.661958878;42.26648438;1 - UTM1x1 + Elevation;1044;V34
60;1895;1;1895;R-P24606;V35;R1R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;SW;10;1;2012;-6.769658267;42.40525832;1 - UTM1x1 + Elevation;742;V34
61;1805;1;1805;Q-P09988;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2000;-6.929258382;41.88484435;3 - UTM10x10 + Elevation;700;V34
62;1884;1;1884;R-P24595;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum discoideae;N;3;5;2012;-6.494715533;42.31132946;1 - UTM1x1 + Elevation;824;V34
63;1815;1;1815;Q-P09998;V34;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2000;-6.730139245;41.90049921;3 - UTM10x10 + Elevation;670;V34
64;1877;1;1877;R-P23964;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;NA;1986;-6.810261463;42.35349034;3 - UTM10x10 + Elevation;1160;V34
65;1811;1;1811;Q-P09994;V35;R1D;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2000;-6.927495113;41.85609022;3 - UTM10x10 + Elevation;620;V34
66;1820;1;1820;Q-P10003;V35;V35;Trampled;V34;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Comunidad de Spergularia purpurea y Plantago coronopus;;NA;1;2000;-6.75941207;41.86532531;3 - UTM10x10 + Elevation;670;V34
67;1857;1;1857;R-P22301;V35;V35;Trampled;V35;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polygono-Coronopodion;Polygono arenastri-Matricarietum matricarioidis;;NA;2;1999;-8.110178932;41.85627969;1 - UTM1x1 + Elevation;390;V34
68;1868;1;1868;R-P22312;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;1999;-7.955889587;41.94768821;2 - UTM1x1 + Centroid;450;V34
69;1878;1;1878;R-P23965;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;NA;1986;-6.814019475;42.33535669;3 - UTM10x10 + Elevation;660;V34
70;1900;1;1900;R-P24611;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;3;2;2012;-6.763566405;42.4252681;1 - UTM1x1 + Elevation;430;V34
71;1807;1;1807;Q-P09990;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;NA;2000;-6.637126403;41.83324893;3 - UTM10x10 + Elevation;850;V34
72;1808;1;1808;Q-P09991;V34;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;2;2000;-6.61857634;41.83535117;4 - UTM10x10 + Centroid;620;V34
73;1901;1;1901;R-P24612;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;3;1;2012;-6.763566405;42.4252681;1 - UTM1x1 + Elevation;463;V34
74;1902;1;1902;R-P24613;V34;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2012;-6.78970925;42.41540135;1 - UTM1x1 + Elevation;395;V34
75;1876;1;1876;R-P23962;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;NA;1986;-6.778597476;42.31131908;3 - UTM10x10 + Elevation;1100;V34
76;1809;1;1809;Q-P09992;V35;C35b;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;;NA;1;2000;-6.727000541;41.88799461;3 - UTM10x10 + Elevation;650;V34
77;1894;1;1894;R-P24605;V35;H26c;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;5;1;2012;-6.8092218;42.41655453;1 - UTM1x1 + Elevation;416;V34
78;35;2;35;NEW-OMAR-NI06;V39;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.701055091;43.31290077;10;203;V37
79;29;2;29;NEW-OMAR-MO10;V37;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.679940332;43.29063565;10;233;V37
80;28;2;28;NEW-OMAR-MO09;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.680003752;43.29123743;10;230;V37
81;25;2;25;NEW-OMAR-MO06;V38;NA;Ruderal;V37;0;NA;NA;NA;;;0;1;2020;-5.677426808;43.29065854;10;226;V37
82;1970;2;1970;S-P20436;V35;V34;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Lolio-Plantaginetum majoris;SE;NA;2;1972;-8.768990292;42.19046266;3 - UTM10x10 + Elevation;70;V37
83;1971;2;1971;S-P20437;V37;V32;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Lolio-Plantaginetum majoris;NW;NA;2;1972;-8.685631646;42.28645908;3 - UTM10x10 + Elevation;100;V37
84;1975;2;1975;S-P20441;V35;V34;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Lolio-Plantaginetum majoris;E;NA;3;1972;-8.751504361;42.21114791;3 - UTM10x10 + Elevation;60;V37
85;759;2;759;T-P11934;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Onopordetalia acanthii;Dauco-Melilotion;Helmintio echioidis-Melilotetum albae;;NA;20;1988;-2.422535962;43.12322415;3 - UTM10x10 + Elevation;170;V37
86;1978;2;1978;S-P20444;V35;V34;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Lolio-Plantaginetum majoris;SW;NA;2;1972;-8.663102943;42.30558158;3 - UTM10x10 + Elevation;80;V37
87;2034;2;2034;T-P07866;R36;V;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Trifolion maritimi;Trifolio fragiferi-Cynodontetum dactyli;;NA;10;1999;-7;43;5 - UTMs missing from DEM;400;V37
88;2035;2;2035;T-P07881;V34;V34;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Trifolion maritimi;Trifolio fragiferi-Cynodontetum dactyli;;NA;6;1999;-7;43;5 - UTMs missing from DEM;340;V37
89;1981;2;1981;S-P20447;V35;V34;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Lolio-Plantaginetum majoris;SW;NA;4;1972;-8.85664787;42.27422322;3 - UTM10x10 + Elevation;100;V37
90;727;2;727;T-P11690;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;W;4.5;10;1988;-5.685265197;42.7888123;3 - UTM10x10 + Elevation;1100;V37
91;457;2;457;S-P18291;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;8;1974;-5.969432129;43.15636831;2 - UTM1x1 + Centroid;380;V37
92;456;2;456;S-P18290;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;15;1974;-5.969432129;43.15636831;2 - UTM1x1 + Centroid;420;V37
93;1965;2;1965;S-P18292;V37;V37;Trampled;V35;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;SE;20;10;1974;-5.993299718;43.19176191;3 - UTM10x10 + Elevation;350;V37
94;458;2;458;S-P18294;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;NW;30;15;1974;-5.993299718;43.19176191;3 - UTM10x10 + Elevation;370;V37
95;1945;2;1945;S-P15171;V35;V35;Trampled;V35;0;NA;NA;NA;;;NA;20;NA;-1.969251875;43.02998989;1 - UTM1x1 + Elevation;480;V37
96;490;2;490;S-P20453;V37;V37;Ruderal;V37;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Lolio-Plantaginetum majoris;SW;NA;2;1972;-8.797149763;42.28625851;3 - UTM10x10 + Elevation;100;V37
97;1939;2;1939;S-P15121;V37;V37;Trampled;V35;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;50;1967;-2.209623461;43.04631038;1 - UTM1x1 + Elevation;159;V37
98;1920;2;1920;S-P12072;V15;V37;Trampled;V35;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;;NA;10;1975;-6.554916089;43.53761392;3 - UTM10x10 + Elevation;60;V37
99;211;2;211;R-P22294;V38;V38;Ruderal;V37;6;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;S;5;2;1999;-8.094693036;41.90378497;1 - UTM1x1 + Elevation;392;V37
100;482;2;482;S-P20424;V37;V32;Ruderal;V37;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Galactito tomentosae-Digitaletum purpureae;N;NA;4;1972;-8.646193414;42.44144945;3 - UTM10x10 + Elevation;7;V37
101;1973;2;1973;S-P20439;V35;V;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Lolio-Plantaginetum majoris;NW;NA;2;1972;-8.810638637;42.27477128;3 - UTM10x10 + Elevation;120;V37
102;1986;2;1986;S-P20457;V37;V32;Trampled;V35;0;Molinio-Arrhenatheretea;Potentillo-Polygonetalia avicularis;Potentillion anserinae;Lolio-Plantaginetum majoris;SE;NA;8;1972;-8.722815036;42.29540585;3 - UTM10x10 + Elevation;40;V37
