Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
1;2099;1;2099;T-P15254;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-3.821186692;43.46727446;4 - UTM10x10 + Centroid;21;V34
2;2100;1;2100;T-P15255;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-4.419290768;43.36986165;4 - UTM10x10 + Centroid;59;V34
3;2106;1;2106;T-P15261;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-6.090129678;43.53291119;4 - UTM10x10 + Centroid;122;V34
4;2109;1;2109;T-P15264;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-6.708298223;43.53800992;4 - UTM10x10 + Centroid;71;V34
5;2097;1;2097;T-P15252;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-3.821186692;43.46727446;4 - UTM10x10 + Centroid;21;V34
6;2101;1;2101;T-P15256;V35;V35;Trampled;V34;4;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;2;1988;-4.419290768;43.36986165;4 - UTM10x10 + Centroid;59;V34
7;2093;1;2093;T-P15248;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-1.946976419;43.2963547;4 - UTM10x10 + Centroid;66;V34
8;2017;1;2017;T-P05141;V35;?;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1995;-3.489120472;43.37216502;1 - UTM1x1 + Elevation;2;V34
9;2102;1;2102;T-P15257;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;2;1988;-5.046636726;43.44615064;4 - UTM10x10 + Centroid;57;V34
10;2096;1;2096;T-P15251;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-3.222548315;43.36756967;4 - UTM10x10 + Centroid;52;V34
11;2105;1;2105;T-P15260;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-5.984658559;43.53591033;4 - UTM10x10 + Centroid;108;V34
12;2095;1;2095;T-P15250;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1988;-3.222548315;43.36756967;4 - UTM10x10 + Centroid;52;V34
13;2016;1;2016;T-P05140;V35;R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Saginion procumbentis;Poo annuae-Spergularietum salinae;;NA;1;1995;-3.407945866;43.41570476;1 - UTM1x1 + Elevation;4;V34
