"SIVIMID","Revised.sintaxon"
"T-P32459","Cymbalario-Asplenion"
"T-P32460","Cymbalario-Asplenion"
"T-P32461","Cymbalario-Asplenion"
"T-P32462","Cymbalario-Asplenion"
"T-P32463","Cymbalario-Asplenion"
"T-P32464","Cymbalario-Asplenion"
"T-P32465","Cymbalario-Asplenion"
"T-P32466","Cymbalario-Asplenion"
"T-P32467","Cymbalario-Asplenion"
"T-P32468","Cymbalario-Asplenion"
"T-P32469","Cymbalario-Asplenion"
"T-P32470","Cymbalario-Asplenion"
"T-P32471","Cymbalario-Asplenion"
"T-P32472","Cymbalario-Asplenion"
"T-P36847","Cymbalario-Asplenion"
"U-P00528","Cymbalario-Asplenion"
"U-P00529","Cymbalario-Asplenion"
"U-P00530","Cymbalario-Asplenion"
"U-P00531","Cymbalario-Asplenion"
