"SIVIMID","Revised.sintaxon"
"U-P00288","Potentillion anserinae"
"U-P00290","Potentillion anserinae"
"U-P00591","Cynancho-Convolvulion sepium"
"U-P00914","Potentillion anserinae"
"U-P00915","Potentillion anserinae"
"U-P00916","Potentillion anserinae"
"U-P07602","Potentillion anserinae"
"U-P12219","Potentillion anserinae"
"U-P12307","Cynancho-Convolvulion sepium"
"U-P12316","Cynancho-Convolvulion sepium"
"U-P13629","Cynancho-Convolvulion sepium"
