SIVIMID,Revised.sintaxon
R-P19896,Epilobion angustifolii
R-P20105,Epilobion angustifolii
R-P20160,Epilobion angustifolii
R-P20161,Epilobion angustifolii
R-P20434,Epilobion angustifolii
R-P20468,Epilobion angustifolii
R-P20515,Epilobion angustifolii
R-P22212,Epilobion angustifolii
R-P22218,Epilobion angustifolii
R-P22222,Epilobion angustifolii
R-P22248,Epilobion angustifolii
R-P23904,Epilobion angustifolii
R-P23906,Epilobion angustifolii
R-P23908,Epilobion angustifolii
R-P23909,Epilobion angustifolii
R-P23911,Epilobion angustifolii
R-P23913,Epilobion angustifolii
R-P23914,Epilobion angustifolii
R-P24678,Epilobion angustifolii
R-P24680,Epilobion angustifolii
R-P24681,Epilobion angustifolii
R-P24682,Epilobion angustifolii
R-P24963,Epilobion angustifolii
R-P24964,Epilobion angustifolii
R-P24965,Epilobion angustifolii
R-P24966,Epilobion angustifolii
R-P24970,Epilobion angustifolii
R-P24971,Epilobion angustifolii
R-P24973,Epilobion angustifolii
R-P24974,Epilobion angustifolii
R-P24975,Epilobion angustifolii
R-P25000,Epilobion angustifolii
R-P25002,Epilobion angustifolii
R-P25003,Epilobion angustifolii
R-P25005,Epilobion angustifolii
R-P25006,Epilobion angustifolii
R-P25007,Epilobion angustifolii
R-P25008,Epilobion angustifolii
R-P29047,Epilobion angustifolii
R-P29086,Epilobion angustifolii
R-P29089,Epilobion angustifolii
R-P29090,Epilobion angustifolii
R-P29091,Epilobion angustifolii
R-P29092,Epilobion angustifolii
R-P29094,Epilobion angustifolii
S-P10950,Epilobion angustifolii
S-P10951,Epilobion angustifolii
S-P10952,Epilobion angustifolii
S-P10953,Epilobion angustifolii
S-P10956,Epilobion angustifolii
S-P10958,Epilobion angustifolii
S-P10970,Epilobion angustifolii
S-P10972,Epilobion angustifolii
S-P10973,Epilobion angustifolii
S-P10974,Epilobion angustifolii
S-P11017,Epilobion angustifolii
S-P11095,Epilobion angustifolii
S-P11097,Epilobion angustifolii
S-P11098,Epilobion angustifolii
S-P11100,Epilobion angustifolii
S-P11102,Epilobion angustifolii
S-P11103,Epilobion angustifolii
S-P11106,Epilobion angustifolii
S-P11145,Epilobion angustifolii
S-P11148,Epilobion angustifolii
S-P11838,Epilobion angustifolii
S-P11904,Epilobion angustifolii
S-P12051,Epilobion angustifolii
S-P12084,Epilobion angustifolii
S-P12090,Epilobion angustifolii
S-P12108,Epilobion angustifolii
S-P12109,Epilobion angustifolii
S-P12110,Epilobion angustifolii
S-P12111,Epilobion angustifolii
S-P12112,Epilobion angustifolii
S-P14557,Epilobion angustifolii
S-P14558,Epilobion angustifolii
S-P14561,Epilobion angustifolii
S-P15161,Epilobion angustifolii
S-P15175,Epilobion angustifolii
S-P15176,Epilobion angustifolii
S-P15178,Epilobion angustifolii
S-P15179,Epilobion angustifolii
S-P15183,Epilobion angustifolii
S-P15195,Epilobion angustifolii
S-P15198,Epilobion angustifolii
S-P15200,Epilobion angustifolii
S-P15217,Epilobion angustifolii
S-P15241,Epilobion angustifolii
S-P16049,Epilobion angustifolii
S-P16054,Epilobion angustifolii
S-P16063,Epilobion angustifolii
S-P18027,Epilobion angustifolii
S-P18235,Epilobion angustifolii
S-P18236,Epilobion angustifolii
S-P18237,Epilobion angustifolii
S-P18244,Epilobion angustifolii
S-P18245,Epilobion angustifolii
S-P18276,Epilobion angustifolii
S-P18278,Epilobion angustifolii
S-P18279,Epilobion angustifolii
S-P18280,Epilobion angustifolii
S-P18281,Epilobion angustifolii
S-P18419,Epilobion angustifolii
S-P19533,Epilobion angustifolii
S-P19561,Epilobion angustifolii
S-P19563,Epilobion angustifolii
S-P19646,Epilobion angustifolii
S-P19763,Epilobion angustifolii
S-P19765,Epilobion angustifolii
S-P20320,Epilobion angustifolii
S-P20348,Epilobion angustifolii
