"SIVIMID","Revised.sintaxon"
"Q-P14990","Spergulo arvensis-Erodion cicutariae"
"Q-P14991","Spergulo arvensis-Erodion cicutariae"
"Q-P14992","Spergulo arvensis-Erodion cicutariae"
"Q-P14993","Spergulo arvensis-Erodion cicutariae"
"Q-P14995","Spergulo arvensis-Erodion cicutariae"
"Q-P14996","Spergulo arvensis-Erodion cicutariae"
"Q-P14997","Spergulo arvensis-Erodion cicutariae"
"Q-P14998","Spergulo arvensis-Erodion cicutariae"
"Q-P14999","Spergulo arvensis-Erodion cicutariae"
"Q-P15000","Spergulo arvensis-Erodion cicutariae"
"R-P07579","Spergulo arvensis-Erodion cicutariae"
"R-P07580","Spergulo arvensis-Erodion cicutariae"
"R-P07583","Spergulo arvensis-Erodion cicutariae"
"R-P07584","Spergulo arvensis-Erodion cicutariae"
"R-P07588","Spergulo arvensis-Erodion cicutariae"
"R-P12791","Spergulo arvensis-Erodion cicutariae"
"R-P12792","Spergulo arvensis-Erodion cicutariae"
"R-P12815","Spergulo arvensis-Erodion cicutariae"
"R-P14816","Spergulo arvensis-Erodion cicutariae"
"R-P14890","Spergulo arvensis-Erodion cicutariae"
"R-P14896","Spergulo arvensis-Erodion cicutariae"
"R-P15005","Spergulo arvensis-Erodion cicutariae"
"R-P21296","Scleranthion annui"
"R-P21297","Scleranthion annui"
"R-P21298","Scleranthion annui"
"R-P21299","Scleranthion annui"
"R-P21300","Scleranthion annui"
"R-P21301","Scleranthion annui"
"R-P21302","Scleranthion annui"
"R-P21303","Scleranthion annui"
"R-P21304","Scleranthion annui"
"R-P21305","Scleranthion annui"
"R-P21306","Scleranthion annui"
"R-P22254","Scleranthion annui"
"R-P22255","Spergulo arvensis-Erodion cicutariae"
"R-P22256","Spergulo arvensis-Erodion cicutariae"
"R-P22257","Spergulo arvensis-Erodion cicutariae"
"R-P22258","Spergulo arvensis-Erodion cicutariae"
"R-P22259","Spergulo arvensis-Erodion cicutariae"
"R-P22260","Spergulo arvensis-Erodion cicutariae"
"R-P22261","Spergulo arvensis-Erodion cicutariae"
"R-P22262","Spergulo arvensis-Erodion cicutariae"
"R-P22263","Spergulo arvensis-Erodion cicutariae"
"R-P22264","Spergulo arvensis-Erodion cicutariae"
"R-P22265","Spergulo arvensis-Erodion cicutariae"
"R-P22266","Spergulo arvensis-Erodion cicutariae"
"R-P22268","Spergulo arvensis-Erodion cicutariae"
"R-P22269","Spergulo arvensis-Erodion cicutariae"
"R-P22270","Spergulo arvensis-Erodion cicutariae"
"R-P22271","Spergulo arvensis-Erodion cicutariae"
"R-P22272","Spergulo arvensis-Erodion cicutariae"
"R-P22273","Spergulo arvensis-Erodion cicutariae"
"R-P22274","Spergulo arvensis-Erodion cicutariae"
"R-P22275","Spergulo arvensis-Erodion cicutariae"
"R-P22276","Spergulo arvensis-Erodion cicutariae"
"R-P22277","Spergulo arvensis-Erodion cicutariae"
"R-P22278","Spergulo arvensis-Erodion cicutariae"
"R-P22279","Spergulo arvensis-Erodion cicutariae"
"R-P22280","Spergulo arvensis-Erodion cicutariae"
"R-P22281","Spergulo arvensis-Erodion cicutariae"
"R-P22282","Spergulo arvensis-Erodion cicutariae"
"R-P22284","Spergulo arvensis-Erodion cicutariae"
"R-P22285","Spergulo arvensis-Erodion cicutariae"
"R-P22286","Spergulo arvensis-Erodion cicutariae"
"R-P22287","Spergulo arvensis-Erodion cicutariae"
"R-P22288","Spergulo arvensis-Erodion cicutariae"
"R-P22289","Spergulo arvensis-Erodion cicutariae"
"R-P22290","Spergulo arvensis-Erodion cicutariae"
"R-P22291","Spergulo arvensis-Erodion cicutariae"
"R-P22296","Spergulo arvensis-Erodion cicutariae"
"R-P22297","Spergulo arvensis-Erodion cicutariae"
"R-P23966","Spergulo arvensis-Erodion cicutariae"
"R-P23967","Spergulo arvensis-Erodion cicutariae"
"R-P23968","Spergulo arvensis-Erodion cicutariae"
"R-P23969","Spergulo arvensis-Erodion cicutariae"
"R-P23970","Spergulo arvensis-Erodion cicutariae"
"R-P23971","Spergulo arvensis-Erodion cicutariae"
"R-P23972","Spergulo arvensis-Erodion cicutariae"
"R-P23973","Spergulo arvensis-Erodion cicutariae"
"R-P23975","Spergulo arvensis-Erodion cicutariae"
"R-P23976","Spergulo arvensis-Erodion cicutariae"
"R-P23977","Spergulo arvensis-Erodion cicutariae"
"R-P23978","Spergulo arvensis-Erodion cicutariae"
"R-P23979","Spergulo arvensis-Erodion cicutariae"
"R-P23980","Spergulo arvensis-Erodion cicutariae"
"R-P23988","Spergulo arvensis-Erodion cicutariae"
"R-P23999","Scleranthion annui"
"R-P24001","Scleranthion annui"
"R-P24005","Scleranthion annui"
"R-P24006","Scleranthion annui"
"R-P24007","Scleranthion annui"
"R-P24008","Scleranthion annui"
"R-P24009","Scleranthion annui"
"R-P24010","Scleranthion annui"
"R-P24011","Spergulo arvensis-Erodion cicutariae"
"R-P24015","Spergulo arvensis-Erodion cicutariae"
"R-P24016","Spergulo arvensis-Erodion cicutariae"
"R-P24017","Scleranthion annui"
"R-P24018","Spergulo arvensis-Erodion cicutariae"
"R-P24019","Spergulo arvensis-Erodion cicutariae"
"R-P24027","Spergulo arvensis-Erodion cicutariae"
"R-P24028","Spergulo arvensis-Erodion cicutariae"
"R-P24336","Spergulo arvensis-Erodion cicutariae"
"R-P24472","Spergulo arvensis-Erodion cicutariae"
"R-P24607","Spergulo arvensis-Erodion cicutariae"
"R-P24608","Scleranthion annui"
"R-P24610","Spergulo arvensis-Erodion cicutariae"
"R-P24616","Scleranthion annui"
"R-P24617","Scleranthion annui"
"R-P24618","Scleranthion annui"
"R-P24619","Scleranthion annui"
"R-P24620","Spergulo arvensis-Erodion cicutariae"
"R-P24621","Spergulo arvensis-Erodion cicutariae"
"R-P24622","Spergulo arvensis-Erodion cicutariae"
"R-P24623","Spergulo arvensis-Erodion cicutariae"
"R-P24624","Spergulo arvensis-Erodion cicutariae"
"R-P24625","Spergulo arvensis-Erodion cicutariae"
"R-P24626","Spergulo arvensis-Erodion cicutariae"
"R-P24627","Spergulo arvensis-Erodion cicutariae"
"R-P24628","Spergulo arvensis-Erodion cicutariae"
"R-P24629","Spergulo arvensis-Erodion cicutariae"
"R-P24630","Spergulo arvensis-Erodion cicutariae"
"R-P24631","Spergulo arvensis-Erodion cicutariae"
"R-P24634","Spergulo arvensis-Erodion cicutariae"
"R-P24635","Spergulo arvensis-Erodion cicutariae"
"R-P24636","Spergulo arvensis-Erodion cicutariae"
"R-P24637","Spergulo arvensis-Erodion cicutariae"
"R-P24638","Spergulo arvensis-Erodion cicutariae"
"R-P24639","Spergulo arvensis-Erodion cicutariae"
"R-P24640","Spergulo arvensis-Erodion cicutariae"
"R-P24641","Spergulo arvensis-Erodion cicutariae"
"R-P24642","Spergulo arvensis-Erodion cicutariae"
"R-P24643","Spergulo arvensis-Erodion cicutariae"
"R-P24644","Spergulo arvensis-Erodion cicutariae"
"R-P24645","Spergulo arvensis-Erodion cicutariae"
"R-P24646","Spergulo arvensis-Erodion cicutariae"
"R-P24651","Spergulo arvensis-Erodion cicutariae"
"R-P24654","Spergulo arvensis-Erodion cicutariae"
"R-P27075","Spergulo arvensis-Erodion cicutariae"
"R-P27078","Spergulo arvensis-Erodion cicutariae"
"R-P27081","Spergulo arvensis-Erodion cicutariae"
"R-P27082","Spergulo arvensis-Erodion cicutariae"
"R-P27084","Spergulo arvensis-Erodion cicutariae"
"R-P27085","Spergulo arvensis-Erodion cicutariae"
"R-P27086","Spergulo arvensis-Erodion cicutariae"
"R-P27087","Spergulo arvensis-Erodion cicutariae"
"R-P27088","Spergulo arvensis-Erodion cicutariae"
"R-P27089","Spergulo arvensis-Erodion cicutariae"
"R-P27090","Spergulo arvensis-Erodion cicutariae"
"R-P27092","Spergulo arvensis-Erodion cicutariae"
"R-P27094","Spergulo arvensis-Erodion cicutariae"
"R-P27097","Spergulo arvensis-Erodion cicutariae"
"R-P27098","Spergulo arvensis-Erodion cicutariae"
"R-P27099","Spergulo arvensis-Erodion cicutariae"
"R-P27100","Spergulo arvensis-Erodion cicutariae"
"R-P27101","Spergulo arvensis-Erodion cicutariae"
"R-P28933","Spergulo arvensis-Erodion cicutariae"
"R-P28934","Spergulo arvensis-Erodion cicutariae"
"S-P11127","Spergulo arvensis-Erodion cicutariae"
"S-P12043","Spergulo arvensis-Erodion cicutariae"
"S-P12044","Spergulo arvensis-Erodion cicutariae"
"S-P12045","Spergulo arvensis-Erodion cicutariae"
"S-P12046","Spergulo arvensis-Erodion cicutariae"
"S-P12047","Spergulo arvensis-Erodion cicutariae"
"S-P12048","Spergulo arvensis-Erodion cicutariae"
"S-P12049","Spergulo arvensis-Erodion cicutariae"
"S-P12050","Spergulo arvensis-Erodion cicutariae"
"S-P12052","Spergulo arvensis-Erodion cicutariae"
"S-P12053","Spergulo arvensis-Erodion cicutariae"
"S-P12054","Spergulo arvensis-Erodion cicutariae"
"S-P12055","Spergulo arvensis-Erodion cicutariae"
"S-P12056","Spergulo arvensis-Erodion cicutariae"
"S-P12057","Spergulo arvensis-Erodion cicutariae"
"S-P12058","Spergulo arvensis-Erodion cicutariae"
"S-P12059","Spergulo arvensis-Erodion cicutariae"
"S-P12060","Spergulo arvensis-Erodion cicutariae"
"S-P12061","Spergulo arvensis-Erodion cicutariae"
"S-P12062","Spergulo arvensis-Erodion cicutariae"
"S-P12063","Spergulo arvensis-Erodion cicutariae"
"S-P12064","Spergulo arvensis-Erodion cicutariae"
"S-P12065","Spergulo arvensis-Erodion cicutariae"
"S-P12066","Spergulo arvensis-Erodion cicutariae"
"S-P12067","Spergulo arvensis-Erodion cicutariae"
"S-P12068","Spergulo arvensis-Erodion cicutariae"
"S-P12069","Spergulo arvensis-Erodion cicutariae"
"S-P12070","Spergulo arvensis-Erodion cicutariae"
"S-P12071","Spergulo arvensis-Erodion cicutariae"
"S-P12073","Spergulo arvensis-Erodion cicutariae"
"S-P12075","Spergulo arvensis-Erodion cicutariae"
"S-P12076","Spergulo arvensis-Erodion cicutariae"
"S-P12077","Spergulo arvensis-Erodion cicutariae"
"S-P12078","Spergulo arvensis-Erodion cicutariae"
"S-P12079","Spergulo arvensis-Erodion cicutariae"
"S-P12080","Spergulo arvensis-Erodion cicutariae"
"S-P12081","Spergulo arvensis-Erodion cicutariae"
"S-P12082","Spergulo arvensis-Erodion cicutariae"
"S-P12083","Spergulo arvensis-Erodion cicutariae"
"S-P12099","Spergulo arvensis-Erodion cicutariae"
"S-P12115","Spergulo arvensis-Erodion cicutariae"
"S-P15090","Spergulo arvensis-Erodion cicutariae"
"S-P15091","Spergulo arvensis-Erodion cicutariae"
"S-P15092","Spergulo arvensis-Erodion cicutariae"
"S-P15093","Spergulo arvensis-Erodion cicutariae"
"S-P15094","Spergulo arvensis-Erodion cicutariae"
"S-P15095","Spergulo arvensis-Erodion cicutariae"
"S-P15096","Spergulo arvensis-Erodion cicutariae"
