"SIVIMID","Revised.sintaxon"
"NEW-OMAR-LF10","Polygono-Coronopodion"
"NEW-OMAR-PA30","Polygono-Coronopodion"
"Q-P08150","Polygono-Coronopodion"
"Q-P08769","Polygono-Coronopodion"
"Q-P08770","Polygono-Coronopodion"
"Q-P08771","Polygono-Coronopodion"
"Q-P08772","Polygono-Coronopodion"
"Q-P08773","Polygono-Coronopodion"
"Q-P09982","Polygono-Coronopodion"
"Q-P09983","Polygono-Coronopodion"
"Q-P09984","Polygono-Coronopodion"
"Q-P09985","Polygono-Coronopodion"
"Q-P09996","Polygono-Coronopodion"
"Q-P09997","Polygono-Coronopodion"
"Q-P10021","Polygono-Coronopodion"
"Q-P10022","Polygono-Coronopodion"
"Q-P10023","Polygono-Coronopodion"
"Q-P10416","Polygono-Coronopodion"
"R-P15158","Polygono-Coronopodion"
"R-P15159","Polygono-Coronopodion"
"R-P15160","Polygono-Coronopodion"
"R-P15161","Polygono-Coronopodion"
"R-P15162","Polygono-Coronopodion"
"R-P15164","Polygono-Coronopodion"
"R-P15165","Polygono-Coronopodion"
"R-P15166","Polygono-Coronopodion"
"R-P15167","Polygono-Coronopodion"
"R-P15168","Polygono-Coronopodion"
"R-P15177","Polygono-Coronopodion"
"R-P22199","Polygono-Coronopodion"
"R-P22201","Polygono-Coronopodion"
"R-P22204","Polygono-Coronopodion"
"R-P22303","Polygono-Coronopodion"
"R-P22304","Polygono-Coronopodion"
"R-P22305","Polygono-Coronopodion"
"R-P22306","Polygono-Coronopodion"
"R-P22307","Polygono-Coronopodion"
"R-P22308","Polygono-Coronopodion"
"R-P22309","Polygono-Coronopodion"
"R-P23907","Polygono-Coronopodion"
"R-P23912","Polygono-Coronopodion"
"R-P23959","Polygono-Coronopodion"
"R-P23960","Polygono-Coronopodion"
"R-P23961","Polygono-Coronopodion"
"R-P23983","Polygono-Coronopodion"
"R-P23985","Polygono-Coronopodion"
"R-P24597","Polygono-Coronopodion"
"R-P24598","Polygono-Coronopodion"
"R-P24599","Polygono-Coronopodion"
"R-P24602","Polygono-Coronopodion"
"R-P24603","Polygono-Coronopodion"
"R-P24604","Polygono-Coronopodion"
"R-P24614","Polygono-Coronopodion"
"R-P24615","Polygono-Coronopodion"
"R-P28988","Polygono-Coronopodion"
"R-P28990","Polygono-Coronopodion"
"R-P28991","Polygono-Coronopodion"
"S-P11163","Polygono-Coronopodion"
"S-P11164","Polygono-Coronopodion"
"S-P11165","Polygono-Coronopodion"
"S-P11166","Polygono-Coronopodion"
"S-P11167","Polygono-Coronopodion"
"S-P11168","Polygono-Coronopodion"
"S-P11169","Polygono-Coronopodion"
"S-P11170","Polygono-Coronopodion"
"S-P12085","Polygono-Coronopodion"
"S-P12086","Polygono-Coronopodion"
"S-P12087","Polygono-Coronopodion"
"S-P12089","Polygono-Coronopodion"
"S-P12091","Polygono-Coronopodion"
