"SIVIMID","Revised.sintaxon"
"NEW-OMAR-BA08","Balloto-Conion maculati"
"NEW-OMAR-BA106","Balloto-Conion maculati"
"NEW-OMAR-BA13","Balloto-Conion maculati"
"NEW-OMAR-LF109","Balloto-Conion maculati"
"NEW-OMAR-NI01","Balloto-Conion maculati"
"NEW-OMAR-NI10","Balloto-Conion maculati"
"NEW-OMAR-PA102","Balloto-Conion maculati"
"Q-P08687","Geranio pusilli-Anthriscion caucalidis"
"Q-P08740","Geranio pusilli-Anthriscion caucalidis"
"Q-P08747","Balloto-Conion maculati"
"Q-P08748","Balloto-Conion maculati"
"Q-P08749","Balloto-Conion maculati"
"Q-P08750","Geo urbani-Alliarion officinalis"
"Q-P08751","Balloto-Conion maculati"
"Q-P08752","Geo urbani-Alliarion officinalis"
"Q-P08753","Geo urbani-Alliarion officinalis"
"Q-P08754","Cirsion richterano-chodati"
"Q-P08755","Cirsion richterano-chodati"
"Q-P08756","Cirsion richterano-chodati"
"Q-P08758","Cirsion richterano-chodati"
"Q-P08760","Cirsion richterano-chodati"
"Q-P08761","Cirsion richterano-chodati"
"Q-P08762","Cirsion richterano-chodati"
"Q-P08763","Cirsion richterano-chodati"
"Q-P08764","Cirsion richterano-chodati"
"Q-P08765","Cirsion richterano-chodati"
"Q-P08766","Cirsion richterano-chodati"
"Q-P08767","Cirsion richterano-chodati"
"Q-P08768","Cirsion richterano-chodati"
"Q-P09152","Arction lappae"
"Q-P09153","Balloto-Conion maculati"
"Q-P09154","Arction lappae"
"Q-P09155","Balloto-Conion maculati"
"Q-P09156","Balloto-Conion maculati"
"Q-P09157","Balloto-Conion maculati"
"Q-P09158","Balloto-Conion maculati"
"Q-P09159","Balloto-Conion maculati"
"Q-P09160","Balloto-Conion maculati"
"Q-P09917","Geo urbani-Alliarion officinalis"
"Q-P10089","Balloto-Conion maculati"
"Q-P10090","Balloto-Conion maculati"
"Q-P10091","Geranio pusilli-Anthriscion caucalidis"
"Q-P10092","Balloto-Conion maculati"
"Q-P10093","Balloto-Conion maculati"
"Q-P10094","Balloto-Conion maculati"
"Q-P10095","Geranio pusilli-Anthriscion caucalidis"
"Q-P10097","Balloto-Conion maculati"
"Q-P10098","Balloto-Conion maculati"
"Q-P10099","Geo urbani-Alliarion officinalis"
"Q-P10100","Balloto-Conion maculati"
"Q-P10101","Balloto-Conion maculati"
"Q-P10102","Balloto-Conion maculati"
"Q-P10103","Balloto-Conion maculati"
"Q-P10104","Balloto-Conion maculati"
"Q-P10105","Geo urbani-Alliarion officinalis"
"Q-P10106","Geo urbani-Alliarion officinalis"
"Q-P10107","Geo urbani-Alliarion officinalis"
"Q-P10108","Geo urbani-Alliarion officinalis"
"Q-P10110","Geo urbani-Alliarion officinalis"
"Q-P10111","Geo urbani-Alliarion officinalis"
"Q-P10113","Balloto-Conion maculati"
"Q-P10114","Balloto-Conion maculati"
"Q-P10115","Balloto-Conion maculati"
"Q-P10116","Balloto-Conion maculati"
"Q-P10117","Balloto-Conion maculati"
"Q-P10123","Geranio pusilli-Anthriscion caucalidis"
"Q-P10124","Geranio pusilli-Anthriscion caucalidis"
"Q-P10125","Geo urbani-Alliarion officinalis"
"Q-P10126","Geranio pusilli-Anthriscion caucalidis"
"Q-P10127","Geranio pusilli-Anthriscion caucalidis"
"Q-P10128","Geranio pusilli-Anthriscion caucalidis"
"Q-P10129","Geranio pusilli-Anthriscion caucalidis"
"Q-P10130","Geranio pusilli-Anthriscion caucalidis"
"Q-P13512","Geo urbani-Alliarion officinalis"
"Q-P13513","Geo urbani-Alliarion officinalis"
"Q-P13514","Geo urbani-Alliarion officinalis"
"Q-P13515","Geo urbani-Alliarion officinalis"
"Q-P13516","Geo urbani-Alliarion officinalis"
"Q-P13518","Geo urbani-Alliarion officinalis"
"Q-P13520","Geo urbani-Alliarion officinalis"
"Q-P13521","Geo urbani-Alliarion officinalis"
"Q-P13522","Geo urbani-Alliarion officinalis"
"Q-P13523","Geo urbani-Alliarion officinalis"
"Q-P13524","Geo urbani-Alliarion officinalis"
"Q-P13525","Geo urbani-Alliarion officinalis"
"Q-P13526","Geo urbani-Alliarion officinalis"
"Q-P13527","Geo urbani-Alliarion officinalis"
"Q-P13528","Geo urbani-Alliarion officinalis"
"Q-P13529","Geo urbani-Alliarion officinalis"
"Q-P13530","Geo urbani-Alliarion officinalis"
"R-P12717","Balloto-Conion maculati"
"R-P12765","Cirsion richterano-chodati"
"R-P14808","Balloto-Conion maculati"
"R-P14814","Balloto-Conion maculati"
"R-P14818","Balloto-Conion maculati"
"R-P14820","Balloto-Conion maculati"
"R-P14821","Balloto-Conion maculati"
"R-P14822","Balloto-Conion maculati"
"R-P14823","Balloto-Conion maculati"
"R-P15144","Balloto-Conion maculati"
"R-P15145","Balloto-Conion maculati"
"R-P15146","Geo urbani-Alliarion officinalis"
"R-P15147","Balloto-Conion maculati"
"R-P15148","Balloto-Conion maculati"
"R-P15149","Balloto-Conion maculati"
"R-P15150","Balloto-Conion maculati"
"R-P15151","Balloto-Conion maculati"
"R-P15152","Balloto-Conion maculati"
