"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Saxifraga fragosoi Sennen",".","Saxifragaceae",".","Chamaephyte","Saxifraga fragosoi",".","Saxifraga","fragosoi",NA,NA,"Sennen",".",".",".",".",".",NA,NA,NA,NA,"Native",2266,"En Arrhenatheretalia, Trifolio-Geranietea y Festuco valesiacae-Brometea erecti","Saxifraga fragosoi","Saxifraga fragosoi Sennen","Saxifraga","","fragosoi","","","Sennen","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,5,7,4,6,5
"+","Saxifraga granulata L.",".","Saxifragaceae",".","Geophyte","Saxifraga granulata",".","Saxifraga","granulata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2267,"76.1. Fagion sylvaticae","Saxifraga granulata","Saxifraga granulata L.","Saxifraga","","granulata","","","L.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",6,5,7,4,6,5
"+","Saxifraga hirsuta subsp. hirsuta L.",".","Saxifragaceae",".","Hemicryptophyte","Saxifraga hirsuta subsp. hirsuta",".","Saxifraga","hirsuta","subsp.","hirsuta","L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2268,"27.16. Violo biflorae-Cystopteridion alpinae","Saxifraga hirsuta","Saxifraga hirsuta L.","Saxifraga","","hirsuta","","","L.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",7,4,5,5,5,5
"+","Saxifraga longifolia Lapeyr.",".","Saxifragaceae",".","Chamaephyte","Saxifraga longifolia",".","Saxifraga","longifolia",NA,NA,"Lapeyr.",".",".",".",".","AtP","y",NA,NA,NA,"Native",2271,"46. Caricetea curvulae","Saxifraga longifolia","Saxifraga longifolia Lapeyr.","Saxifraga","","longifolia","","","Lapeyr.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Saxifraga oppositifolia L.",".","Saxifragaceae",".","Chamaephyte","Saxifraga oppositifolia",".","Saxifraga","oppositifolia",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2273,"27a. Potentilletalia caulescentis","Saxifraga oppositifolia","Saxifraga oppositifolia L.","Saxifraga","","oppositifolia","","","L.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,6,8,3,7,4
"+","Saxifraga paniculata Mill.",".","Saxifragaceae",".","Chamaephyte","Saxifraga paniculata",".","Saxifraga","paniculata",NA,NA,"Mill.",".",".",".",".",".",NA,NA,NA,NA,"Native",2274,"27.9. Saxifragion willkommianae","Saxifraga paniculata","Saxifraga paniculata Mill.","Saxifraga","","paniculata","","","Mill.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,5,8,3,7,4
"+","Saxifraga pentadactylis subsp. willkommiana (Boiss. ex Leresche & Levier) Rivas Mart.",".","Saxifragaceae","CM+PY","Chamaephyte","Saxifraga pentadactylis subsp. willkommiana",".","Saxifraga","pentadactylis","subsp.","willkommiana","(Boiss. ex Leresche & Levier) Rivas Mart.",".",".",".",".",".",NA,NA,NA,NA,"Native",2275,"33.3. Saxifragion praetermissae","Saxifraga pentadactylis","Saxifraga pentadactylis subsp. willkommiana (Boiss. ex Leresche & Levier) Rivas Mart.","Saxifraga","","pentadactylis","subsp.","willkommiana","(Boiss. ex Leresche & Levier) Rivas Mart.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,6,8,2,4,3
"+","Saxifraga praetermissa D.A.Webb",".","Saxifragaceae",".","Chamaephyte","Saxifraga praetermissa",".","Saxifraga","praetermissa",NA,NA,"D.A.Webb",".",".",".",".","AtP","y",NA,NA,NA,"Native",2276,"42.1. Adenostylion alliariae","Saxifraga praetermissa","Saxifraga praetermissa D.A.Webb","Saxifraga","","praetermissa","","","D.A.Webb","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",6,6,8,3,8,4
"+","Saxifraga spathularis Brot.",".","Saxifragaceae",".","Hemicryptophyte","Saxifraga spathularis",".","Saxifraga","spathularis",NA,NA,"Brot.",".",".",".",".",".",NA,NA,NA,NA,"Native",2278,"11.1. Cardamino amarae-Montion fontanae","Saxifraga spathularis","Saxifraga spathularis Brot.","Saxifraga","","spathularis","","","Brot.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",7,4,5,5,5,5
"+","Saxifraga stellaris L.",".","Saxifragaceae",".","Hemicryptophyte","Saxifraga stellaris",".","Saxifraga","stellaris",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2279,"50c. Trachynietalia dystachiae","Saxifraga stellaris","Saxifraga stellaris L.","Saxifraga","","stellaris","","","L.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",10,5,7,4,5,4
"+","Saxifraga tridactylites L.",".","Saxifragaceae",".","Therophyte","Saxifraga tridactylites",".","Saxifraga","tridactylites",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2280,"27.3. Saxifragion trifurcato-canaliculatae","Saxifraga tridactylites","Saxifraga tridactylites L.","Saxifraga","","tridactylites","","","L.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",4,5,8,4,6,7
"+","Saxifraga trifurcata Schrad.",".","Saxifragaceae",".","Chamaephyte","Saxifraga trifurcata",".","Saxifraga","trifurcata",NA,NA,"Schrad.",".",".",".",".",".",NA,NA,NA,NA,"Native",2281,"76.3. Saxifrago umbrosae-Abietenion albae","Saxifraga trifurcata","Saxifraga trifurcata Schrad.","Saxifraga","","trifurcata","","","Schrad.","Saxifragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",5,5,7,3,7,5
"+","Scabiosa columbaria L.",".","Caprifoliaceae",".","Hemicryptophyte","Scabiosa columbaria",".","Scabiosa","columbaria",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2283,"41.2. Geranio pusilli-Anthriscion caucalidis","Scabiosa columbaria","Scabiosa columbaria L.","Scabiosa","","columbaria","","","L.","Caprifoliaceae","Dipsacales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,4,7,6
"+","Lomelosia stellata (L.) Raf.",".","Caprifoliaceae",".","Therophyte","Lomelosia stellata",".","Lomelosia","stellata",NA,NA,"(L.) Raf.",".",".",".",".",".",NA,NA,NA,NA,"Native",1533,"75. Quercetea ilicis","Scabiosa stellata","Scabiosa stellata L.","Scabiosa","","stellata","","","L.","Caprifoliaceae","Dipsacales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Scandix australis subsp. microcarpa (Lange) Thell.",".","Apiaceae",".","Therophyte","Scandix australis subsp. microcarpa",".","Scandix","australis","subsp.","microcarpa","(Lange) Thell.",".",".",".",".",".",NA,NA,NA,NA,"Native",2284,"50c. Trachynietalia dystachiae","Scandix australis","Scandix australis subsp. microcarpa (Lange) Thell.","Scandix","","australis","subsp.","microcarpa","(Lange) Thell.","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,4,7,7
"+","Scandix macrorhyncha C. A. Mey.",".","Apiaceae",".","Therophyte","Scandix macrorhyncha",".","Scandix","macrorhyncha",NA,NA,"C. A. Mey.",".",".",".",".",".",NA,NA,NA,NA,"Native",2286,"39aCentaureetalia cyani","Scandix pecten-veneris","Scandix pecten-veneris subsp. macrorhyncha (C.A.Mey.) Rouy & E.G.Camus","Scandix","","pecten-veneris","subsp.","macrorhyncha","(C.A.Mey.) Rouy & E.G.Camus","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,6,6,6
"+","Scandix pecten-veneris L.",".","Apiaceae",".","Therophyte","Scandix pecten-veneris",".","Scandix","pecten-veneris",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2287,"59.13. Agrostion stoloniferae","Scandix pecten-veneris","Scandix pecten-veneris L.","Scandix","","pecten-veneris","","","L.","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,6,6,6
"+","Schoenoplectus lacustris (L.) Palla",".","Cyperaceae",".","Helophyte","Schoenoplectus lacustris",".","Schoenoplectus","lacustris",NA,NA,"(L.) Palla",".",".",".",".",".",NA,NA,NA,NA,"Native",2293,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Schoenoplectus lacustris","Schoenoplectus lacustris (L.) Palla","Schoenoplectus","","lacustris","","","(L.) Palla","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",10,5,7,6,6,6
"+","Schoenus nigricans L.",".","Cyperaceae",".","Hemicryptophyte","Schoenus nigricans",".","Schoenus","nigricans",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2294,"76.1. Fagion sylvaticae","Schoenus nigricans","Schoenus nigricans L.","Schoenus","","nigricans","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",7,4,7,4,6,6
"+","Scilla lilio-hyacinthus L.",".","Asparagaceae",".","Geophyte","Scilla lilio-hyacinthus",".","Scilla","lilio-hyacinthus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2295,".","Scilla lilio-hyacinthus","Scilla lilio-hyacinthus L.","Scilla","","lilio-hyacinthus","","","L.","Asparagaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,4,5,5,5,5
"+","Scilla ramburei Boiss.",".","Asparagaceae",".","Geophyte","Scilla ramburei",".","Scilla","ramburei",NA,NA,"Boiss.",".",".",".",".",".",NA,NA,NA,NA,"Native - new",2941,".","Scilla ramburei","Scilla ramburei Boiss.","Scilla","","ramburei","","","Boiss.","Asparagaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Scilla verna Huds.",".","Asparagaceae",".","Geophyte","Scilla verna",".","Scilla","verna",NA,NA,"Huds.",".",".",".",".",".",NA,NA,NA,"LC. Añadir la Scilla ramburei (http://ww2.bgbm.org/EuroPlusMed/PTaxonDetail.asp?NameId=57079&PTRefFk=8000000), citada al menos de Degaña, donde es relativamente común. BJA: añadida","Native",2297,"59c. Holoschoenetalia vulgaris","Scilla verna","Scilla verna Huds.","Scilla","","verna","","","Huds.","Asparagaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,4,7,3,5,5
"+","Scirpoides holoschoenus (L.) Soják",".","Cyperaceae",".","Hemicryptophyte","Scirpoides holoschoenus",".","Scirpoides","holoschoenus",NA,NA,"(L.) Soják",".",".",".",".",".",NA,NA,NA,NA,"Native",2298,"59.2. Calthion palustris","Scirpoides holoschoenus","Scirpoides holoschoenus (L.) Soják","Scirpoides","","holoschoenus","","","(L.) Soják","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,5,6,6
"+","Scirpus sylvaticus L.",".","Cyperaceae",".","Helophyte","Scirpus sylvaticus",".","Scirpus","sylvaticus",NA,NA,"L.",".",".",".",".","AtP","y",NA,NA,NA,"Native",2299,"39.4. Scleranthion annui","Scirpus sylvaticus","Scirpus sylvaticus L.","Scirpus","","sylvaticus","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,6,5,5,5
"+","Scleranthus verticillatus Tausch",".","Caryophyllaceae",".","Therophyte","Scleranthus verticillatus",".","Scleranthus","verticillatus",NA,NA,"Tausch",".",".",".",".",".",NA,NA,NA,NA,"Native - new",2942,".","Scleranthus annuus","Scleranthus annuus subsp. verticillatus (Tausch) Arcang.","Scleranthus","","annuus","subsp.","verticillatus","(Tausch) Arcang.","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,4,5,6
"+","Scleranthus polycarpos L.",".","Caryophyllaceae",".","Therophyte","Scleranthus polycarpos",".","Scleranthus","polycarpos",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2303,"En Stellarietea mediae","Scleranthus annuus","Scleranthus annuus subsp. polycarpos (L.) Bonnier & Layens","Scleranthus","","annuus","subsp.","polycarpos","(L.) Bonnier & Layens","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,4,5,6
"+","Scleranthus annuus L.",".","Caryophyllaceae",".","Therophyte","Scleranthus annuus",".","Scleranthus","annuus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2300,"50.1. Tuberarion guttatae","Scleranthus annuus","Scleranthus annuus L.","Scleranthus","","annuus","","","L.","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,4,5,6
"+","Scleranthus delortii Gren.",".","Caryophyllaceae",".","Therophyte","Scleranthus delortii",".","Scleranthus","delortii",NA,NA,"Gren.",".",".",".",".",".",NA,NA,NA,NA,"Native",2301,"55. Sedo albi-Scleranthetea biennis","Scleranthus annuus","Scleranthus annuus subsp. delortii (Gren.) Meikle","Scleranthus","","annuus","subsp.","delortii","(Gren.) Meikle","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,4,5,6
"+","Scleranthus perennis L.",".","Caryophyllaceae",".","Hemicryptophyte","Scleranthus perennis",".","Scleranthus","perennis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2302,"50. Tuberarietea guttatae","Scleranthus perennis","Scleranthus perennis L.","Scleranthus","","perennis","","","L.","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Scleranthus uncinatus Schur",".","Caryophyllaceae",".","Therophyte","Scleranthus uncinatus",".","Scleranthus","uncinatus",NA,NA,"Schur",".",".",".",".",".",NA,NA,NA,"LC. Añadir el Scleranthus verticillatus (http://ww2.bgbm.org/EuroPlusMed/PTaxonDetail.asp?NameId=102028&PTRefFk=7200000). Hay cita al menos de Liébana [véase Bol. Cien. Nat. R.I.D.E.A., nº 46: 13 (2000)]. RA. Sí, también está citado en mi tesis, en Prioro, y también hay cita de Colle de la tesis de Cantoral","Native",2304,"38.3. Sclerochloo-Coronopodion squamati","Scleranthus uncinatus","Scleranthus uncinatus Schur","Scleranthus","","uncinatus","","","Schur","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Sclerochloa dura (L.) P.Beauv.",".","Poaceae",".","Therophyte","Sclerochloa dura",".","Sclerochloa","dura",NA,NA,"(L.) P.Beauv.",".",".",".",".",".",NA,NA,NA,NA,"Native",2305,"50.0. Stipion capensis","Sclerochloa dura","Sclerochloa dura (L.) P.Beauv.","Sclerochloa","","dura","","","(L.) P.Beauv.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,7,7,6,6
"+","Schedonorus arundinaceus subsp. arundinaceus (Schreb.) Dumort.",".","Poaceae",".","Hemicryptophyte","Schedonorus arundinaceus subsp. arundinaceus",".","Schedonorus","arundinaceus","subsp.","arundinaceus","(Schreb.) Dumort.",".",".",".",".",".",NA,NA,NA,NA,"Native",2288,"59.9. Gaudinio verticicolae-Hordeion bulbosi","Scolochloa festucacea","Scolochloa festucacea (Willd.) Link","Scolochloa","","festucacea","","","(Willd.) Link","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",7,5,7,6,6,6
"+","Scorpiurus muricatus L.","?","Leguminosae",".","Therophyte","Scorpiurus muricatus","Doubtful records from the study area, but the species occurrs not far from its borders. To be confirmed.","Scorpiurus","muricatus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,"LC: La cita asturiana que recoge SIVIM (http://www.sivim.info/sivi/PissarraTaxonUTM.jsp?ruta=f6.&codi_e_orc=266481&utm=29TQH48) es orocantábrica muy por los pelos a lo sumo Aparte, correspodnerá en realidad a S. subvillosus, si bien Euro+Med, estribando para esto en la ILDIS, sinnimiza este último binomen a S. muricatus.","Native",2306,"En Quercenion rotundifoliae","Scorpiurus muricatus","Scorpiurus muricatus L.","Scorpiurus","","muricatus","","","L.","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,4,7,7
"+","Scorzonera angustifolia Asso",".","Compositae",".","Hemicryptophyte","Scorzonera angustifolia",".","Scorzonera","angustifolia",NA,NA,"Asso",".",".",".",".",".",NA,NA,NA,NA,"Native",2307,"52a. Ononidetalia striatae","Scorzonera angustifolia","Scorzonera angustifolia Asso","Scorzonera","","angustifolia","","","Asso","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,3,7,6
"+","Scorzonera aristata Ramond ex DC.",".","Compositae",".","Hemicryptophyte","Scorzonera aristata",".","Scorzonera","aristata",NA,NA,"Ramond ex DC.",".",".",".",".",".",NA,NA,NA,NA,"Native",2308,"64.7. Helianthemo italici-Aphyllanthion monspeliensis","Scorzonera aristata","Scorzonera aristata Ramond ex DC.","Scorzonera","","aristata","","","Ramond ex DC.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,4,6,5
"+","Scorzonera hispanica L.",".","Compositae",".","Hemicryptophyte","Scorzonera hispanica",".","Scorzonera","hispanica",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2310,"61. Calluno vulgaris-Ulicetea minoris","Scorzonera hispanica","Scorzonera hispanica L.","Scorzonera","","hispanica","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",4,4,8,3,7,6
"+","Scorzonera humilis L.",".","Compositae","CM+PY","Hemicryptophyte","Scorzonera humilis",".","Scorzonera","humilis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2311,"59.6. Cynosurion cristati","Scorzonera humilis","Scorzonera humilis L.","Scorzonera","","humilis","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",7,4,7,3,4,6
"+","Scorzoneroides cantabrica (Widder) Holub",".","Compositae",".","Hemicryptophyte","Scorzoneroides cantabrica",".","Scorzoneroides","cantabrica",NA,NA,"(Widder) Holub",".",".",".",".",".",NA,NA,NA,NA,"Native",2313,"60.4. Campanulo herminii-Nardion strictae","Scorzoneroides cantabrica","Scorzoneroides cantabrica (Widder) Holub","Scorzoneroides","","cantabrica","","","(Widder) Holub","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,6,8,3,4,4
