"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Acer campestre L.",".","Sapindaceae",".","Phanerophyte","Acer campestre",".","Acer","campestre",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",2,"76.12. Corylo avellanae-Populion tremulae","Acer campestre","Acer campestre L.","Acer","","campestre","","","L.","Sapindaceae","Sapindales","Magnoliopsida","Superrosids","Angiosperms",6,5,6,5,6,6
"+","Acer pseudoplatanus L.",".","Sapindaceae",".","Phanerophyte","Acer pseudoplatanus",".","Acer","pseudoplatanus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",4,"76d. Betulo pendulae-Populetalia tremulae","Acer pseudoplatanus","Acer pseudoplatanus L.","Acer","","pseudoplatanus","","","L.","Sapindaceae","Sapindales","Magnoliopsida","Superrosids","Angiosperms",7,4,5,5,5,6
"+","Achillea millefolium L.",".","Compositae",".","Hemicryptophyte","Achillea millefolium",".","Achillea","millefolium",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",5,"59b. Arrhenatheretalia elatioris","Achillea millefolium",NA,"Achillea","","millefolium","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,5,6,6
"+","Achillea odorata L.",".","Compositae",".","Hemicryptophyte","Achillea odorata",".","Achillea","odorata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",6,"52. Festuco hystricis-Ononidetea striatae","Achillea odorata","Achillea odorata L.","Achillea","","odorata","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,4,7,6
"+","Achillea ptarmica subsp. pyrenaica Sibth. ex Godr.",".","Compositae",".","Hemicryptophyte","Achillea ptarmica subsp. pyrenaica",".","Achillea","ptarmica","subsp.","pyrenaica","Sibth. ex Godr.",".",".",".",".",".",NA,NA,NA,"LC: Euro+Med la subordina a la ptarmica, pero Flora iberica, no sin buenas razones, la considera especie autónoma. Si se acepta esto último, suprímase la ptarmica, porque por aquí solo hay un taxon. Siempre cabe tirar por la calle del medio y adoptar la solución salomónica de A. ptarmica subsp. pyrenaica...","Native",7,"59a. Molinietalia caeruleae","Achillea pyrenaica","Achillea pyrenaica Sibth. ex Godr.","Achillea","","pyrenaica","","","Sibth. ex Godr.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Achillea tomentosa L.",".","Compositae",".","Hemicryptophyte","Achillea tomentosa",".","Achillea","tomentosa",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",10,".","Achillea tomentosa","Achillea tomentosa L.","Achillea","","tomentosa","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman",".","Ranunculaceae",".","Hemicryptophyte","Aconitum lycoctonum subsp. neapolitanum",".","Aconitum","lycoctonum","subsp.","neapolitanum","(Ten.) Nyman",".",".",".",".",".",NA,NA,NA,NA,"Native",13,"42. Mulgedio-Aconitetea","Aconitum lamarckii","Aconitum lamarckii Rchb.","Aconitum","","lamarckii","","","Rchb.","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",7,5,5,5,6,5
"+","Aconitum napellus subsp. lusitanicum Rouy",".","Ranunculaceae",".","Hemicryptophyte","Aconitum napellus subsp. lusitanicum",".","Aconitum","napellus","subsp.","lusitanicum","Rouy",".",".",".",".",".",NA,NA,NA,NA,"Native",15,"71.1. Alnion incanae","Aconitum napellus","Aconitum napellus subsp. lusitanicum Rouy","Aconitum","","napellus","subsp.","lusitanicum","Rouy","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",8,5,6,6,6,5
"+","Aconitum napellus subsp. vulgare (DC.) Rouy & Foucaud",".","Ranunculaceae",".","Hemicryptophyte","Aconitum napellus subsp. vulgare",".","Aconitum","napellus","subsp.","vulgare","(DC.) Rouy & Foucaud",".",".",".",".",".",NA,NA,NA,NA,"Native",14,"42. Mulgedio-Aconitetea","Aconitum napellus","Aconitum napellus subsp. vulgare (DC.) Rouy & Foucaud","Aconitum","","napellus","subsp.","vulgare","(DC.) Rouy & Foucaud","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",8,5,6,6,6,5
"+","Actaea spicata L.",".","Ranunculaceae",".","Geophyte","Actaea spicata",".","Actaea","spicata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",16,"76a. Fagetalia sylvaticae","Actaea spicata","Actaea spicata L.","Actaea","","spicata","","","L.","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",7,5,5,5,6,5
"+","Adenocarpus complicatus (L.) Gay",".","Leguminosae",".","Phanerophyte","Adenocarpus complicatus",".","Adenocarpus","complicatus",NA,NA,"(L.) Gay",".",".",".",".",".",NA,NA,NA,NA,"Native",17,"65. Cytisetea scopario-striati: 65","Adenocarpus complicatus","Adenocarpus complicatus (L.) Gay","Adenocarpus","","complicatus","","","(L.) Gay","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",6,4,7,4,4,6
"-","Adenocarpus lainzii (Castrov.) Castrov.",".","Leguminosae",".","Phanerophyte","Adenocarpus lainzii","Not in E+M (A. complicatus group)","Adenocarpus","lainzii",NA,NA,"(Castrov.) Castrov.",".",".",".",".",".",NA,NA,NA,NA,"Native",19,"65a. Cytisetalia scopario-striati","Adenocarpus lainzii",NA,"Adenocarpus","","lainzii","","","(Castrov.) Castrov.","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",6,4,7,4,4,6
"+","Adenostyles alpina subsp. pyrenaica (Lange) M. Dillenberger & Kadereit",".","Compositae","CM+PY","Hemicryptophyte","Adenostyles alpina subsp. pyrenaica",".","Adenostyles","alpina","subsp.","pyrenaica","(Lange) M. Dillenberger & Kadereit",".",".",".",".",".",NA,NA,NA,NA,"Native",20,"42.1a. Adenostylenion pyrenaicae","Adenostyles alpina","Adenostyles alpina (L.) Bluff & Fingerh.","Adenostyles","","alpina","","","(L.) Bluff & Fingerh.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Adiantum capillus-veneris L.",".","Pteridaceae",".","Hemicryptophyte","Adiantum capillus-veneris",".","Adiantum","capillus-veneris",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",21,"26. Adiantetea capilli-veneris","Adiantum capillus-veneris","Adiantum capillus-veneris L.","Adiantum","","capillus-veneris","","","L.","Pteridaceae","Polypodiales","Polypodiopsida","Pteridophytes","Pteridophytes",7,4,6,4,7,6
"+","Adonis pyrenaica DC.",".","Ranunculaceae","CM+PY","Hemicryptophyte","Adonis pyrenaica",".","Adonis","pyrenaica",NA,NA,"DC.",".",".",".",".","VU","y",NA,NA,NA,"Native",22,"45.1. Primulion intricatae","Adonis pyrenaica","Adonis pyrenaica DC.","Adonis","","pyrenaica","","","DC.","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Adonis vernalis L.",".","Ranunculaceae",".","Hemicryptophyte","Adonis vernalis",".","Adonis","vernalis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",23,"52. Festuco hystricis-Ononidetea striatae","Adonis vernalis","Adonis vernalis L.","Adonis","","vernalis","","","L.","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Aegilops geniculata Roth",".","Poaceae",".","Therophyte","Aegilops geniculata",".","Aegilops","geniculata",NA,NA,"Roth",".",".",".",".",".",NA,NA,NA,NA,"Native",24,"30.13. Taeniathero-Aegilopion geniculatae","Aegilops geniculata","Aegilops geniculata Roth","Aegilops","","geniculata","","","Roth","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",4,5,8,4,7,7
"+","Aegilops triuncialis L.",".","Poaceae",".","Therophyte","Aegilops triuncialis",".","Aegilops","triuncialis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",25,"30.13. Taeniathero-Aegilopion geniculatae","Aegilops triuncialis","Aegilops triuncialis L.","Aegilops","","triuncialis","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Aegilops ventricosa Tausch",".","Poaceae",".","Therophyte","Aegilops ventricosa",".","Aegilops","ventricosa",NA,NA,"Tausch",".",".",".",".",".",NA,NA,NA,NA,"Native",26,"30.13. Taeniathero-Aegilopion geniculatae","Aegilops ventricosa","Aegilops ventricosa Tausch","Aegilops","","ventricosa","","","Tausch","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Aethionema saxatile subsp. ovalifolium (DC.) Nyman",".","Brassicaceae",".","Chamaephyte","Aethionema saxatile subsp. ovalifolium",".","Aethionema","saxatile","subsp.","ovalifolium","(DC.) Nyman",".",".",".",".",".",NA,NA,NA,NA,"Native",29,"27a. Potentilletalia caulescentis","Aethionema saxatile","Aethionema saxatile subsp. ovalifolium (DC.) Nyman","Aethionema","","saxatile","subsp.","ovalifolium","(DC.) Nyman","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",4,6,8,3,7,5
"+","Aethionema thomasianum J.Gay",".","Brassicaceae",".","Chamaephyte","Aethionema thomasianum",".","Aethionema","thomasianum",NA,NA,"J.Gay",".",".",".",".","AtP","y",NA,NA,NA,"Native",30,"3a. Thlaspietalia rodundifolii","Aethionema thomasianum","Aethionema thomasianum J.Gay","Aethionema","","thomasianum","","","J.Gay","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",4,6,8,3,7,4
"+","Aethusa cynapium L.",".","Apiaceae",".","Therophyte","Aethusa cynapium",".","Aethusa","cynapium",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",31,"39.5. Polygono-Chenopodion polyspermi","Aethusa cynapium","Aethusa cynapium L.","Aethusa","","cynapium","","","L.","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Agrimonia eupatoria L.",".","Rosaceae",".","Hemicryptophyte","Agrimonia eupatoria",".","Agrimonia","eupatoria",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",33,"43. Trifolio medii-Geranietea sanguinei","Agrimonia eupatoria","Agrimonia eupatoria L.","Agrimonia","","eupatoria","","","L.","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",7,5,7,5,6,6
"+","Agrimonia procera Wallr.",".","Rosaceae",".","Hemicryptophyte","Agrimonia procera",".","Agrimonia","procera",NA,NA,"Wallr.",".",".",".",".",".",NA,NA,NA,NA,"Native",34,"43.1. Trifolion medii","Agrimonia procera","Agrimonia procera Wallr.","Agrimonia","","procera","","","Wallr.","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Agrostemma githago L.",".","Caryophyllaceae",".","Therophyte","Agrostemma githago",".","Agrostemma","githago",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,"LC: Native, native lo que se dice native no debe de serlo, sino un arqueófito. Pero supongo que estas hay que meterlas. Un corte perfectamente limpio entre lo ""propio"" y lo ""ajeno"" es imposible hacerlo…","Native (arqueófito)",35,"39a Centaureetalia cyani","Agrostemma githago","Agrostemma githago L.","Agrostemma","","githago","","","L.","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,5,6,6
"+","Agrostis canina L.",".","Poaceae",".","Hemicryptophyte","Agrostis canina",".","Agrostis","canina",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",36,"1b. Caricetalia nigrae","Agrostis canina",NA,"Agrostis","","canina","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,7,3,4,5
"+","Agrostis capillaris L.",".","Poaceae",".","Hemicryptophyte","Agrostis capillaris",".","Agrostis","capillaris",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",37,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Agrostis capillaris","Agrostis capillaris L.","Agrostis","","capillaris","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",7,4,7,4,5,5
"+","Agrostis castellana Boiss. & Reut.",".","Poaceae",".","Hemicryptophyte","Agrostis castellana",".","Agrostis","castellana",NA,NA,"Boiss. & Reut.",".",".",".",".",".",NA,NA,NA,"LC: Cada vez tengo más claro que no pasa de subespecie de capillaris. En mi zona de trabajo del norte de Portugal las paso canutas para distinguirlas, y lo que predomina es un enjambre de ""híbridos"" que a lo mejor lo que revelan es que no hay dos especies sino sendas razas ""eurosiberiana"" y ""mediterránea"" de una sola. El catálogo de la flora de Madrid también aboga por esa interpretación. BJA: tendríamos igualmente dos taxones, por seguir E+M podemos dejarlos como especies.","Native",38,"57. Stipo giganteae-Agrostietea castellanae","Agrostis castellana","Agrostis castellana Boiss. & Reut.","Agrostis","","castellana","","","Boiss. & Reut.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",6,4,7,4,5,6
"+","Agrostis curtisii Kerguélen",".","Poaceae",".","Hemicryptophyte","Agrostis curtisii",".","Agrostis","curtisii",NA,NA,"Kerguélen",".",".",".",".",".",NA,NA,NA,NA,"Native",39,"61. Calluno vulgaris-Ulicetea minoris","Agrostis curtisii","Agrostis curtisii Kerguélen","Agrostis","","curtisii","","","Kerguélen","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",7,4,7,3,4,6
"+","Agrostis gigantea Roth",".","Poaceae",".","Hemicryptophyte","Agrostis gigantea",".","Agrostis","gigantea",NA,NA,"Roth",".",".",".",".",".",NA,NA,NA,"LC: Estoy revisando el borrador de Flora iberica, y veo que ahora sí se ha constatado que plantas referibles a Agrostis gigantea viven en la península, y además en zonas cantábricas, aunque no exactamente montañosas. A lo mejor vale más darle el beneficio de la duda y restituirla...","Native",40,".","Agrostis gigantea","Agrostis gigantea Roth","Agrostis","","gigantea","","","Roth","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,7,6,6,6
"+","Agrostis hesperica Romero García, Blanca, G.López & C.Morales",".","Poaceae",".","Hemicryptophyte","Agrostis hesperica",".","Agrostis","hesperica",NA,NA,"Romero García, Blanca, G.López & C.Morales",".",".",".",".",".",NA,NA,NA,NA,"Native",41,"14.3. Anagallido tenellae-Juncion bulbosi","Agrostis hesperica","Agrostis hesperica Romero García, Blanca, G.López & C.Morales","Agrostis","","hesperica","","","Romero García, Blanca, G.López & C.Morales","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,3,4,5
"+","Agrostis rupestris All.",".","Poaceae",".","Hemicryptophyte","Agrostis rupestris",".","Agrostis","rupestris",NA,NA,"All.",".",".",".",".",".",NA,NA,NA,NA,"Native",42,"46. Caricetea curvulae","Agrostis rupestris","Agrostis rupestris All.","Agrostis","","rupestris","","","All.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,8,2,4,3
"+","Agrostis schleicheri Jord. & Verl.",".","Poaceae",".","Hemicryptophyte","Agrostis schleicheri",".","Agrostis","schleicheri",NA,NA,"Jord. & Verl.",".",".",".",".",".",NA,NA,NA,NA,"Native",43,"27.16. Violo biflorae-Cystopteridion alpinae","Agrostis schleicheri","Agrostis schleicheri Jord. & Verl.","Agrostis","","schleicheri","","","Jord. & Verl.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,7,3,7,4
"+","Agrostis stolonifera L.",".","Poaceae",".","Hemicryptophyte","Agrostis stolonifera",".","Agrostis","stolonifera",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",44,"59e. Plantaginetalia majoris","Agrostis stolonifera",NA,"Agrostis","","stolonifera","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,5,6,6
"+","Agrostis tileni G.Nieto Fel. & Castrov.",".","Poaceae","CM+ML","Hemicryptophyte","Agrostis tileni",".","Agrostis","tileni",NA,NA,"G.Nieto Fel. & Castrov.",".",".",".",".",".",NA,NA,NA,"LC: tileni, con una sola i (de Tilenus-Tileni, el Teleno)","Native",45,"49.3. Teesdaliopsio confertae-Luzulion caespitosae","Agrostis tilenii","Agrostis tilenii G.Nieto Fel. & Castrov.","Agrostis","","tilenii","","","G.Nieto Fel. & Castrov.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",4,6,8,3,4,4
"+","Aira caryophyllea L.",".","Poaceae",".","Therophyte","Aira caryophyllea",".","Aira","caryophyllea",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",47,"50a. Tuberarietalia guttatae","Aira caryophyllea","Aira caryophyllea L.","Aira","","caryophyllea","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,8,4,5,6
"+","Aira cupaniana Guss.",".","Poaceae",".","Therophyte","Aira cupaniana",".","Aira","cupaniana",NA,NA,"Guss.",".",".",".",".",".",NA,NA,NA,"LC: Aunque todavía no debe de constar formalmente, es tan sumamente probable que se dé en nuestra subprovincia que yo ya casi me animaría a incluir la recién descrita Aira hercynica (https://bioone.org/journals/systematic-botany/volume-45/issue-1/036364420X15801369352324/Two-New-Species-of-Aira-Poaceae-from-the-Iberian-Peninsula/10.1600/036364420X15801369352324.short). Todavía no he visto el protólogo, pero el mapa que lo acompaña (https://bioone.org/ContentImages/Journals/sbot/45/1/036364420X15801369352324/graphic/img-z8-1_75.jpg) deja bastante claro que es cosa de buscarla un poco para que aparezca por aquí... BJA; aunque posiblemente A. hercynica esté, prefiero seguir el criterio de ""aun sin datos"", la he incluido en el texto principal junto a otras que deben ser bien confirmadas taxonómicamente o bien buscadas.","Native",48,"50a. Tuberarietalia guttatae","Aira cupaniana","Aira cupaniana Guss.","Aira","","cupaniana","","","Guss.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Aira praecox L.",".","Poaceae",".","Therophyte","Aira praecox",".","Aira","praecox",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",50,"50.2. Thero-Airion","Aira praecox","Aira praecox L.","Aira","","praecox","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",4,5,8,3,4,7
"+","Ajuga chamaepitys (L.) Schreb.",".","Lamiaceae",".","Therophyte","Ajuga chamaepitys",".","Ajuga","chamaepitys",NA,NA,"(L.) Schreb.",".",".",".",".",".",NA,NA,NA,"LC: Posiblemente sea un arqueófito, pero a estas alturas se ha ganado de sobra la plena ciudadanía…","Native",51,"39. Stellarietea  mediae","Ajuga chamaepitys","Ajuga chamaepitys (L.) Schreb.","Ajuga","","chamaepitys","","","(L.) Schreb.","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,3,7,6
"+","Ajuga pyramidalis L.",".","Lamiaceae",".","Hemicryptophyte","Ajuga pyramidalis",".","Ajuga","pyramidalis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",52,"60a. Nardetalia strictae","Ajuga pyramidalis","Ajuga pyramidalis L.","Ajuga","","pyramidalis","","","L.","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",6,5,6,4,4,5
"+","Ajuga reptans L.",".","Lamiaceae",".","Hemicryptophyte","Ajuga reptans",".","Ajuga","reptans",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",53,"76. Querco-Fagetea sylvaticae","Ajuga reptans",NA,"Ajuga","","reptans","","","L.","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",7,4,6,5,5,6
"+","Alchemilla alpigena Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla alpigena",".","Alchemilla","alpigena",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",55,"45a. Seslerietalia caeruleae","Alchemilla alpigena","Alchemilla alpigena Buser","Alchemilla","","alpigena","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,3,7,4
"+","Alchemilla alpina L.",".","Rosaceae",".","Hemicryptophyte","Alchemilla alpina",".","Alchemilla","alpina",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",56,"En Nardetea, Calluno-Ulicetea y Festucetea indigestae","Alchemilla alpina","Alchemilla alpina L.","Alchemilla","","alpina","","","L.","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,3,6,3
"+","Alchemilla angustiserrata S.E.Fröhner",".","Rosaceae",".","Hemicryptophyte","Alchemilla angustiserrata",".","Alchemilla","angustiserrata",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",57,"61.4. Daboecion cantabricae","Alchemilla angustiserrata","Alchemilla angustiserrata S.E.Fröhner","Alchemilla","","angustiserrata","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla borderei Buser ex S.E.Fröhner",".","Rosaceae","CM+PY","Hemicryptophyte","Alchemilla borderei",".","Alchemilla","borderei",NA,NA,"Buser ex S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",58,"Márgenes de arroyo, prados húmedos junto a ventisqueros, pedregales húmedos, matorrales subalpinos","Alchemilla borderei","Alchemilla borderei Buser ex S.E.Fröhner","Alchemilla","","borderei","","","Buser ex S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla burgensis S.E.Fröhner",".","Rosaceae",".","Hemicryptophyte","Alchemilla burgensis",".","Alchemilla","burgensis",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",59,"En Genistion occidentalis","Alchemilla burgensis","Alchemilla burgensis S.E.Fröhner","Alchemilla","","burgensis","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla catalaunica Rothm.",".","Rosaceae",".","Hemicryptophyte","Alchemilla catalaunica",".","Alchemilla","catalaunica",NA,NA,"Rothm.",".",".",".",".",".",NA,NA,NA,NA,"Native",60,"45a. Seslerietalia caeruleae","Alchemilla catalaunica","Alchemilla catalaunica Rothm.","Alchemilla","","catalaunica","","","Rothm.","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,3,7,4
"+","Alchemilla colorata Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla colorata",".","Alchemilla","colorata",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",61,".","Alchemilla colorata","Alchemilla colorata Buser","Alchemilla","","colorata","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla connivens Buser",".","Rosaceae","CM+PY","Hemicryptophyte","Alchemilla connivens",".","Alchemilla","connivens",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",62,"En 11. Montio fontanae-Cardaminetea amarae y Mulgedio-Aconitetea","Alchemilla connivens","Alchemilla connivens Buser","Alchemilla","","connivens","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",6,5,6,4,5,5
"+","Alchemilla coriacea Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla coriacea",".","Alchemilla","coriacea",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",63,"11a. Montio fontanae-Cardaminetalia amarae","Alchemilla coriacea","Alchemilla coriacea Buser","Alchemilla","","coriacea","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",8,4,7,4,5,5
"+","Alchemilla effusa Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla effusa",".","Alchemilla","effusa",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",64,"En 11. Montio fontanae-Cardaminetea amarae, Molinietalia caeruleae y Mulgedio-Aconitetea","Alchemilla effusa","Alchemilla effusa Buser","Alchemilla","","effusa","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla fallax Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla fallax",".","Alchemilla","fallax",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",65,"En 11. Montio fontanae-Cardaminetea amarae, Molinietalia caeruleae y Mulgedio-Aconitetea","Alchemilla fallax","Alchemilla fallax Buser","Alchemilla","","fallax","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla filicaulis Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla filicaulis",".","Alchemilla","filicaulis",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",66,"Pastos y prados montanos o alpinos, en general húmedos, claros de bosque","Alchemilla filicaulis","Alchemilla filicaulis Buser","Alchemilla","","filicaulis","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla fissa Günther & Schummel",".","Rosaceae",".","Hemicryptophyte","Alchemilla fissa",".","Alchemilla","fissa",NA,NA,"Günther & Schummel",".",".",".",".",".",NA,NA,NA,NA,"Native",67,"46. Caricetea curvulae","Alchemilla fissa","Alchemilla fissa Günther & Schummel","Alchemilla","","fissa","","","Günther & Schummel","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",8,5,7,4,6,4
"+","Alchemilla fulgens Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla fulgens",".","Alchemilla","fulgens",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",69,".","Alchemilla fulgens","Alchemilla fulgens Buser","Alchemilla","","fulgens","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",7,4,7,4,5,5
"+","Alchemilla fulgida S.E.Fröhner",".","Rosaceae","CM","Hemicryptophyte","Alchemilla fulgida",".","Alchemilla","fulgida",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",70,"En Festucion burnatii","Alchemilla fulgida","Alchemilla fulgida S.E.Fröhner","Alchemilla","","fulgida","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,3,5,4
"+","Alchemilla glabra Neygenf.",".","Rosaceae",".","Hemicryptophyte","Alchemilla glabra",".","Alchemilla","glabra",NA,NA,"Neygenf.",".",".",".",".",".",NA,NA,NA,NA,"Native",71,"34a. Artemisietalia vulgaris","Alchemilla glabra","Alchemilla glabra Neygenf.","Alchemilla","","glabra","","","Neygenf.","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
