Accepted.SIVIM,Original.EuroMed,Accepted.EuroMed,Expert.Revision,Analysis.Names,Rank,Genus,Family,Order,Class,Group,Native
Carduus tenuiflorus,Carduus tenuiflorus,Carduus tenuiflorus,Carduus tenuiflorus,Carduus tenuiflorus,sp.,Carduus,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carduus Xcantabricus,Carduus x cantabricus,Carduus x cantabricus,Carduus x cantabricus,Carduus x cantabricus,hyb.,Carduus,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carex,Carex,Carex,Carex,Carex,gen.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex cespitosa,Carex cespitosa var. gracilis,Carex acuta,Carex acuta,Carex acuta,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex acuta,Carex acuta var. intermedia,Carex acuta,Carex acuta,Carex acuta,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex acutiformis,Carex acutiformis,Carex acutiformis,Carex acutiformis,Carex acutiformis,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex arenaria,Carex arenaria,Carex arenaria,Carex arenaria,Carex arenaria,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex arenarla,Carex arenaria,Carex arenaria,Carex arenaria,Carex arenaria,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex asturica,Carex asturica,Carex asturica,Carex asturica,Carex asturica,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex atrata,Carex atrata,Carex atrata,Carex atrata,Carex atrata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex binervis,Carex binervis,Carex binervis,Carex binervis,Carex binervis,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex brevicollis,Carex brevicollis,Carex brevicollis,Carex brevicollis,Carex brevicollis,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pseudobrizoides,Carex pseudobrizoides,Carex brizoides,Carex brizoides,Carex brizoides,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex canescens,Carex canescens,Carex canescens,Carex canescens,Carex canescens,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex capillaris,Carex capillaris subsp. capillaris,Carex capillaris subsp. capillaris,Carex capillaris subsp. capillaris,Carex capillaris,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex caryophyllea,Carex caryophyllea,Carex caryophyllea,Carex caryophyllea,Carex caryophyllea,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex catyophyllea,Carex caryophyllea,Carex caryophyllea,Carex caryophyllea,Carex caryophyllea,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex cayophyllea,Carex caryophyllea,Carex caryophyllea,Carex caryophyllea,Carex caryophyllea,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex caudata,Carex caudata,Carex caudata,Carex caudata,Carex caudata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex otrubae,Carex otrubae,Carex cuprina,Carex cuprina,Carex cuprina,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex davalliana,Carex davalliana,Carex davalliana,Carex davalliana,Carex davalliana,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex flava subsp. oedocarpa,Carex viridula subsp. oedocarpa,Carex demissa,Carex demissa,Carex demissa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex oedocarpa,Carex viridula subsp. oedocarpa,Carex demissa,Carex demissa,Carex demissa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex depauperata,Carex depauperata,Carex depauperata,Carex depauperata,Carex depauperata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex depressa,Carex depressa,Carex depressa,Carex depressa,Carex depressa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex depressa subsp. basilaris,Carex depressa subsp. basilaris,Carex depressa subsp. basilaris,Carex depressa subsp. basilaris,Carex depressa,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex depressa subsp. depressa,Carex depressa subsp. depressa,Carex depressa subsp. depressa,Carex depressa subsp. depressa,Carex depressa,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex diandra,Carex paniculata var. diandra,Carex diandra,Carex diandra,Carex diandra,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex digitata,Carex digitata,Carex digitata,Carex digitata,Carex digitata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex distachya,Carex distachya,Carex distachya,Carex distachya,Carex distachya,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex distans,Carex distans,Carex distans,Carex distans,Carex distans,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex Xdisticha,Carex disticha,Carex disticha,Carex disticha,Carex disticha,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex disticha,Carex disticha,Carex disticha,Carex disticha,Carex disticha,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex divisa,Carex divisa,Carex divisa,Carex divisa,Carex divisa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex divulsa,Carex divulsa,Carex divulsa,Carex divulsa,Carex divulsa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex divulsa subsp. divulsa,Carex divulsa subsp. divulsa,Carex divulsa subsp. divulsa,Carex divulsa subsp. divulsa,Carex divulsa,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex divulsa subsp. leersii,Carex divulsa subsp. leersii,Carex divulsa subsp. leersii,Carex divulsa subsp. leersii,Carex divulsa,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex echinata,Carex echinata var. leersii,Carex divulsa subsp. leersii,Carex divulsa subsp. leersii,Carex divulsa,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex durieui,Carex durieui,Carex durieui,Carex durieui,Carex durieui,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex dirieui,Carex durieui,Carex durieui,Carex durieui,Carex durieui,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex duriaei,Carex durieui,Carex durieui,Carex durieui,Carex durieui,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carea echinata,Carex echinata,Carex echinata,Carex echinata,Carex echinata,sp.,Carea,NA,NA,NA,tracheophytes,Yes
Carex elata subsp. reuterana,Carex elata subsp. elata,Carex elata subsp. elata,Carex elata subsp. elata,Carex elata,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex elata,Carex elata subsp. elata,Carex elata subsp. elata,Carex elata subsp. elata,Carex elata,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex ericetorum,Carex ericetorum,Carex ericetorum,Carex ericetorum,Carex ericetorum,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,No
Carex extensa,Carex extensa,Carex extensa,Carex extensa,Carex extensa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex flacca,Carex flacca,Carex flacca,Carex flacca,Carex flacca,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex flava,Carex flava subsp. alpina,Carex flava,Carex,Carex,gen.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex foetida,Carex foetida,Carex foetida,Carex parviflora,Carex parviflora,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex furva,Carex furva,Carex furva,Carex furva,Carex furva,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex halleriana,Carex halleriana,Carex halleriana,Carex halleriana,Carex halleriana,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex hirta,Carex hirta,Carex hirta,Carex hirta,Carex hirta,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex hispida,Carex hispida,Carex hispida,Carex,Carex,gen.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex hordeistichos,Carex hordeistichos,Carex hordeistichos,Carex hordeistichos,Carex hordeistichos,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,No
Carex hostiana,Carex hostiana,Carex hostiana,Carex hostiana,Carex hostiana,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex humdis,Carex humilis,Carex humilis,Carex humilis,Carex humilis,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex humilis,Carex humilis,Carex humilis,Carex humilis,Carex humilis,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex laevigata,Carex laevigata,Carex laevigata,Carex laevigata,Carex laevigata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex odeocarpa,Carex lepidocarpa,Carex lepidocarpa,Carex lepidocarpa,Carex lepidocarpa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pedocarpa,Carex lepidocarpa,Carex lepidocarpa,Carex lepidocarpa,Carex lepidocarpa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex flava subsp. brachyrrhyncha,Carex flava subsp. brachyrrhyncha,Carex lepidocarpa subsp. lepidocarpa,Carex lepidocarpa subsp. lepidocarpa,Carex lepidocarpa,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex nevadensis,Carex nevadensis,Carex lepidocarpa subsp. nevadensis,Carex lepidocarpa subsp. nevadensis,Carex lepidocarpa,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,No
Carex leporina,Carex leporina,Carex leporina,Carex leporina,Carex leporina,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex liparocarpos,Carex liparocarpos,Carex liparocarpos,Carex liparocarpos,Carex liparocarpos,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex macrostyla,Carex macrostyla,Carex macrostyla,Carex macrostyla,Carex macrostyla,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex mairei,Carex mairei,Carex mairei,Carex mairei,Carex mairei,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex montana,Carex montana,Carex montana,Carex montana,Carex montana,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex muricata subsp. muricata,Carex muricata subsp. muricata,Carex muricata subsp. muricata,Carex muricata subsp. muricata,Carex muricata,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex muricata,Carex muricata subsp. muricata,Carex muricata subsp. muricata,Carex muricata subsp. muricata,Carex muricata,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex muricata subsp. camprocarpa,Carex muricata subsp. muricata,Carex muricata subsp. muricata,Carex muricata subsp. muricata,Carex muricata,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex muricata subsp. pairaei,Carex muricata var. pairaei,Carex muricata subsp. pairae,Carex muricata subsp. pairae,Carex muricata,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex nigra,Carex nigra subsp. alpina,Carex nigra,Carex nigra,Carex nigra,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex ornithopoda subsp. ornithopoda,Carex ornithopoda,Carex ornithopoda,Carex ornithopoda,Carex ornithopoda,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex ornithopoda,Carex ornithopoda,Carex ornithopoda,Carex ornithopoda,Carex ornithopoda,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex ornithopoda subsp. ornithopodioides,Carex ornithopoda subsp. ornithopodioides,Carex ornithopoda,Carex ornithopoda,Carex ornithopoda,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pallescens,Carex pallescens,Carex pallescens,Carex pallescens,Carex pallescens,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex panicea,Carex panicea,Carex panicea,Carex panicea,Carex panicea,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex paniculata,Carex paniculata,Carex paniculata,Carex paniculata,Carex paniculata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex paniculata subsp. lusitanica,Carex paniculata subsp. lusitanica,Carex paniculata subsp. lusitanica,Carex paniculata subsp. lusitanica,Carex paniculata,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex parviflora,Carex parviflora,Carex parviflora,Carex parviflora,Carex parviflora,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pendula,Carex pendula,Carex pendula,Carex pendula,Carex pendula,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pilulifera,Carex pilulifera,Carex pilulifera,Carex pilulifera,Carex pilulifera,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pilulifera subsp. pilulifera,Carex pilulifera subsp. pilulifera,Carex pilulifera subsp. pilulifera,Carex pilulifera subsp. pilulifera,Carex pilulifera,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pseudocyperus,Carex pseudocyperus,Carex pseudocyperus,Carex pseudocyperus,Carex pseudocyperus,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pulicaris,Carex pulicaris,Carex pulicaris,Carex pulicaris,Carex pulicaris,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pulicularis,Carex pulicaris,Carex pulicaris,Carex pulicaris,Carex pulicaris,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex punctata,Carex punctata,Carex punctata,Carex punctata,Carex punctata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex pyrenaica,Carex pyrenaica,Carex pyrenaica,Carex pyrenaica,Carex pyrenaica,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex remota,Carex remota,Carex remota,Carex remota,Carex remota,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex elata subsp. reuteriana,Carex elata subsp. reuteriana,Carex reuteriana,Carex reuteriana,Carex reuteriana,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex riparia,Carex riparia,Carex riparia,Carex riparia,Carex riparia,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex rostrata,Carex rostrata,Carex rostrata,Carex rostrata,Carex rostrata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex rupestris,Carex rupestris,Carex rupestris,Carex rupestris,Carex rupestris,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex sempevirens subsp. sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex sempervirens subsp. sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens subsp. sempervirens,Carex sempervirens,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex spicata,Carex spicata,Carex spicata,Carex spicata,Carex spicata,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex strigosa,Carex strigosa,Carex strigosa,Carex strigosa,Carex strigosa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex sylyatica,Carex sylvatica,Carex sylvatica,Carex sylvatica,Carex sylvatica,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex sylvatica,Carex sylvatica,Carex sylvatica,Carex sylvatica,Carex sylvatica,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex sylvatica subsp. sylvatica,Carex sylvatica subsp. sylvatica,Carex sylvatica subsp. sylvatica,Carex sylvatica subsp. sylvatica,Carex sylvatica,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex umbrosa,Carex umbrosa,Carex umbrosa,Carex umbrosa,Carex umbrosa,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex umbrosa subsp. umbrosa,Carex umbrosa subsp. umbrosa,Carex umbrosa subsp. umbrosa,Carex umbrosa subsp. umbrosa,Carex umbrosa,subsp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex vesicaria,Carex vesicaria,Carex vesicaria,Carex vesicaria,Carex vesicaria,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex viridula,Carex viridula,Carex viridula,Carex viridula,Carex viridula,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex flava subsp. viridula,Carex viridula,Carex viridula,Carex viridula,Carex viridula,sp.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex Xbiharica,Carex x biharica,Carex x biharica,Carex x biharica,Carex x biharica,hyb.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carex Xdeserta,Carex x deserta,Carex x deserta,Carex x deserta,Carex x deserta,hyb.,Carex,Cyperaceae,Poales,Liliopsida,tracheophytes,Yes
Carlina,Carlina,Carlina,Carlina,Carlina,gen.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina acanthifolia,Carlina acanthifolia subsp. acanthifolia,Carlina acanthifolia subsp. acanthifolia,Carlina acanthifolia subsp. acanthifolia,Carlina acanthifolia,subsp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina acanthifolia subsp. cynara,Carlina acanthifolia subsp. cynara,Carlina acanthifolia subsp. cynara,Carlina acanthifolia subsp. cynara,Carlina acanthifolia,subsp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina acaulis,Carlina acaulis,Carlina acaulis,Carlina acaulis,Carlina acaulis,sp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina acaulis subsp. acaulis,Carlina acaulis subsp. acaulis,Carlina acaulis subsp. acaulis,Carlina acaulis subsp. acaulis,Carlina acaulis,subsp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina acaulis subsp. simplex,Carlina acaulis subsp. simplex,Carlina acaulis subsp. caulescens,Carlina acaulis subsp. caulescens,Carlina acaulis,subsp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina vulgaris,Carlina vulgaris subsp. longifolia,Carlina biebersteinii,Carlina biebersteinii,Carlina biebersteinii,sp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Carlina vulgaris subsp. vulgaris,Carlina vulgaris subsp. longifolia,Carlina biebersteinii,Carlina biebersteinii,Carlina biebersteinii,sp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Carlina corymbosa subsp. hispanica,Carlina corymbosa subsp. hispanica,Carlina hispanica,Carlina hispanica,Carlina hispanica,sp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina corymbosa,Carlina corymbosa subsp. hispanica,Carlina hispanica,Carlina hispanica,Carlina hispanica,sp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina corymbosa subsp. corymbosa,Carlina corymbosa subsp. hispanica,Carlina hispanica,Carlina hispanica,Carlina hispanica,sp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina corymbosa subsp. major,Carlina corymbosa subsp. major,Carlina hispanica subsp. major,Carlina hispanica subsp. major,Carlina hispanica,subsp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carlina major,Carlina hispanica subsp. major,Carlina hispanica subsp. major,Carlina hispanica subsp. major,Carlina hispanica,subsp.,Carlina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carpinus betulus,Carpinus betulus,Carpinus betulus,Carpinus betulus,Carpinus betulus,sp.,Carpinus,Betulaceae,Fagales,Magnoliopsida,tracheophytes,Yes
Carpobrotus acinaciformis,Carpobrotus acinaciformis,Carpobrotus acinaciformis,Carpobrotus acinaciformis,Carpobrotus acinaciformis,sp.,Carpobrotus,Aizoaceae,Caryophyllales,Magnoliopsida,tracheophytes,No
Carpobrotus edulis,Carpobrotus edulis,Carpobrotus edulis,Carpobrotus edulis,Carpobrotus edulis,sp.,Carpobrotus,Aizoaceae,Caryophyllales,Magnoliopsida,tracheophytes,No
Carduncellus monspelliensium,Carduncellus monspelliensium,Carthamus carduncellus,Carthamus carduncellus,Carthamus carduncellus,sp.,Carduncellus,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carthamus lanatus,Carthamus lanatus,Carthamus lanatus,Carthamus lanatus,Carthamus lanatus,sp.,Carthamus,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carduncellus mitissimus,Carduncellus mitissimus,Carthamus mitissimus,Carthamus mitissimus,Carthamus mitissimus,sp.,Carduncellus,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carduncellus mitissimus subsp. mitissimus,Carduncellus mitissimus,Carthamus mitissimus,Carthamus mitissimus,Carthamus mitissimus,sp.,Carduncellus,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carum carvi,Carum carvi,Carum carvi,Carum carvi,Carum carvi,sp.,Carum,Apiaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Cirsium verticillatum,Carum verticillatum,Carum verticillatum,Carum verticillatum,Carum verticillatum,sp.,Cirsium,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Carum verticillatum,Carum verticillatum,Carum verticillatum,Carum verticillatum,Carum verticillatum,sp.,Carum,Apiaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Carum vertcillatum,Carum verticillatum,Carum verticillatum,Carum verticillatum,Carum verticillatum,sp.,Carum,Apiaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Trocdaris verticillatum,Trocdaris verticillatum,Carum verticillatum,Carum verticillatum,Carum verticillatum,sp.,Trocdaris,Apiaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Castanea sativa,Castanea sativa,Castanea sativa,Castanea sativa,Castanea sativa,sp.,Castanea,Fagaceae,Fagales,Magnoliopsida,tracheophytes,Yes
Catabrosa aquatica,Catabrosa aquatica,Catabrosa aquatica,Catabrosa aquatica,Catabrosa aquatica,sp.,Catabrosa,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Catananche caerulea,Catananche caerulea,Catananche caerulea,Catananche caerulea,Catananche caerulea,sp.,Catananche,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Catapodium,Catapodium,Catapodium,Catapodium,Catapodium,gen.,Catapodium,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Catapodium marinum,Catapodium marinum,Catapodium marinum,Catapodium marinum,Catapodium marinum,sp.,Catapodium,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Catapodium rigidum,Catapodium rigidum,Catapodium rigidum,Catapodium rigidum,Catapodium rigidum,sp.,Catapodium,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Catapodium rigidum subsp. rigidum,Catapodium rigidum subsp. rigidum,Catapodium rigidum subsp. rigidum,Catapodium rigidum subsp. rigidum,Catapodium rigidum,sp.,Catapodium,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Caucalis platycarpos,Caucalis platycarpos,Caucalis platycarpos,Caucalis platycarpos,Caucalis platycarpos,sp.,Caucalis,Apiaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Celtica gigantea,Celtica gigantea,Celtica gigantea,Celtica gigantea,Celtica gigantea,sp.,Celtica,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Celtis australis,Celtis australis,Celtis australis,Celtis australis,Celtis australis,sp.,Celtis,Cannabaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,gen.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centurea,Centaurea,Centaurea,Centaurea,Centaurea,gen.,Centurea,NA,NA,NA,tracheophytes,Yes
Centaurea gr.,Centaurea,Centaurea,Centaurea,Centaurea,gen.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea aristata,Centaurea aristata,Centaurea aristata,Centaurea,Centaurea,gen.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea aspera,Centaurea aspera,Centaurea aspera,Centaurea aspera,Centaurea aspera,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea borjae,Centaurea borjae,Centaurea borjae,Centaurea borjae,Centaurea borjae,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea calcitrapa,Centaurea calcitrapa,Centaurea calcitrapa,Centaurea calcitrapa,Centaurea calcitrapa,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Hieracium castellana,Centaurea castellana,Centaurea castellana,Centaurea castellana,Centaurea castellana,sp.,Hieracium,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea paniculata subsp. castellana,Centaurea paniculata subsp. castellana,Centaurea castellana,Centaurea castellana,Centaurea castellana,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea corcubionensis,Centaurea corcubionensis,Centaurea corcubionensis,Centaurea corcubionensis,Centaurea corcubionensis,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea nigra subsp. endressii,Centaurea nigra subsp. endressii,Centaurea coronata,Centaurea coronata,Centaurea coronata,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea debeauxii subsp. grandiflora,Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea debauxii,Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Centaurea debeauxii subsp. debeauxii,Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,Centaurea debeauxii,sp.,Centaurea,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
