Accepted.SIVIM,Original.EuroMed,Accepted.EuroMed,Expert.Revision,Analysis.Names,Rank,Genus,Family,Order,Class,Group,Native
Aconitum vulparia subsp. ranunculifolia,Aconitum vulparia,Aconitum lycoctonum subsp. vulparia,Aconitum lycoctonum subsp. vulparia,Aconitum vulparia,subsp.,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Aconitum napellus,Aconitum napellus,Aconitum napellus,Aconitum napellus,Aconitum napellus,sp.,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Aconitum napellus subsp. lusitanicum,Aconitum napellus subsp. lusitanicum,Aconitum napellus subsp. lusitanicum,Aconitum napellus subsp. lusitanicum,Aconitum napellus,subsp.,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Aconitum napellus subsp. vulgare,Aconitum napellus subsp. vulgare,Aconitum napellus subsp. vulgare,Aconitum napellus subsp. vulgare,Aconitum napellus,subsp.,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Aconitum variegatum subsp. pyrenaicum,Aconitum variegatum subsp. pyrenaicum,Aconitum variegatum subsp. pyrenaicum,Aconitum variegatum subsp. pyrenaicum,Aconitum variegatum,subsp.,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Actaea sulcata,Actaea spicata,Actaea spicata,Actaea spicata,Actaea spicata,sp.,Actaea,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Actaea spicata,Actaea spicata,Actaea spicata,Actaea spicata,Actaea spicata,sp.,Actaea,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Adenocarpus complicatus,Adenocarpus complicatus,Adenocarpus complicatus,Adenocarpus complicatus,Adenocarpus complicatus,sp.,Adenocarpus,Fabaceae,Fabales,Magnoliopsida,tracheophytes,Yes
Adenocarpus complicates,Adenocarpus complicatus,Adenocarpus complicatus,Adenocarpus complicatus,Adenocarpus complicatus,sp.,Adenocarpus,Fabaceae,Fabales,Magnoliopsida,tracheophytes,Yes
Adenocarpus anisochilus,Adenocarpus complicatus subsp. anisochilus,Adenocarpus complicatus subsp. anisochilus,Adenocarpus complicatus subsp. anisochilus,Adenocarpus complicatus,subsp.,Adenocarpus,Fabaceae,Fabales,Magnoliopsida,tracheophytes,No
Adenocarpus complicatus subsp. lainzii,Adenocarpus complicatus subsp. complicatus,Adenocarpus complicatus subsp. complicatus,Adenocarpus complicatus subsp. complicatus,Adenocarpus complicatus,subsp.,Adenocarpus,Fabaceae,Fabales,Magnoliopsida,tracheophytes,Yes
Adenocarpus foliolosus,Adenocarpus foliolosus,Adenocarpus foliolosus,Adenocarpus foliolosus,Adenocarpus foliolosus,sp.,Adenocarpus,Fabaceae,Fabales,Magnoliopsida,tracheophytes,No
Adenostyles alliariae,Adenostyles alliariae,Adenostyles alliariae,Adenostyles alliariae,Adenostyles alliariae,sp.,Adenostyles,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
