TaxonConcept,AccordingTo,TaxonRank,Hybrid,EIVE1-M,EIVE1-M.nw3,EIVE1-M.n,EIVE1-N,EIVE1-N.nw3,EIVE1-N.n,EIVE1-R,EIVE1-R.nw3,EIVE1-R.n,EIVE1-L,EIVE1-L.nw3,EIVE1-L.n,EIVE1-T,EIVE1-T.nw3,EIVE1-T.n
×Agropogon lutosus,addition,hyb.-g.,,"2,9","2,1",1,,,,"9,4","1,7",1,,,,"5,8","2,2",1
×Dactylocamptis arbostii,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"7,3","1,9",1,"9,5","2,0",1,"4,2","2,1",1
×Dactylocamptis boudieri,addition,hyb.-g.,,"6,8","2,5",1,"2,8","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"4,2","2,1",1
×Dactylocamptis timbaliana,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"4,9","1,9",1,"7,0","2,0",1,"4,2","2,1",1
×Dactylodenia lebrunii,addition,hyb.-g.,,"6,8","2,5",1,"2,8","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"4,2","2,1",1
×Dactylodenia legrandiana,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"4,9","1,9",1,"7,0","2,0",1,"4,2","2,1",1
×Dactylodenia wintonii,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"7,3","1,9",1,"9,5","2,0",1,"4,2","2,1",1
×Elytrordeum rouxii,addition,hyb.-g.,,"5,0","2,5",1,"2,8","2,0",1,"8,4","1,9",1,"8,2","2,0",1,"8,1","2,1",1
×Festulolium loliaceum,addition,hyb.-g.,,"5,1","2,2",2,"6,6","2,0",1,"6,7","5,5",2,"8,2","2,2",1,"4,1","2,2",1
×Orchidactyla kromayeri,addition,hyb.-g.,,"6,8","2,5",1,"1,6","2,0",1,"4,9","1,9",1,"7,0","2,0",1,"4,2","2,1",1
×Schedolium loliaceum,addition,hyb.-g.,,"4,1","2,5",1,"5,1","2,0",1,"4,9","1,9",1,"8,2","2,0",1,"4,2","2,1",1
×Triticosecale rimpaui,addition,hyb.-g.,,"4,1","2,5",1,"6,3","2,0",1,"3,8","1,9",1,"9,5","2,0",1,"4,2","2,1",1
Abies alba,Euro+Med,Species,,"5,2","4,4",18,"5,0","6,1",13,"5,3","4,7",15,"3,0","6,9",15,"3,7","3,0",18
Abies balsamea,Euro+Med,Species,,"4,9","6,8",2,"5,1","2,0",1,"3,8","1,9",1,"5,0","8,8",2,"3,5","3,2",2
Abies cephalonica,Euro+Med,Species,,"3,3","2,5",1,"5,1","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"6,2","2,1",1
Abies concolor,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"7,0","2,0",1,"3,3","2,1",1
Abies grandis,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",2,"3,8","1,9",1,"5,3","4,7",2,"3,9","3,1",2
Abies lasiocarpa,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"7,0","2,0",1,"3,3","2,1",1
Abies lowiana,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"7,0","2,0",1,"3,3","2,1",1
Abies nebrodensis,Euro+Med,Species,,"2,5","2,2",1,"3,1","2,0",1,"6,5","1,9",1,"2,3","1,9",1,"5,5","2,3",1
Abies nephrolepis,addition,,,"4,9","1,5",1,,,,,,,"3,1","5,6",1,"4,3","2,8",1
Abies nordmanniana,Euro+Med,Species,,"4,7","3,2",2,"5,3","6,4",2,"5,7","9,0",2,"5,0","8,8",2,"4,2","2,9",2
Abies pinsapo,Euro+Med,Species,,"3,3","2,5",1,"3,9","2,0",1,"7,3","1,9",1,"8,2","2,0",1,"6,2","2,1",1
Abies sibirica,Euro+Med,Species,,"5,2","3,1",1,,,,,,,"3,1","5,6",1,"2,8","2,2",1
Abies veitchii,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"5,7","2,0",1,"3,3","2,1",1
Abutilon theophrasti,Euro+Med,Species,,"3,9","4,4",11,"6,3","5,4",10,"6,4","3,6",10,"7,7","3,1",9,"6,3","4,1",11
Acacia baileyana,addition,,,"3,3","2,5",1,"5,1","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"7,2","2,1",1
Acacia dealbata,Euro+Med,Species,,"3,8","3,7",3,"4,4","5,6",3,"5,6","4,2",3,"8,4","3,0",3,"7,1","2,6",3
Acacia karroo,Euro+Med,Species,,"3,3","2,5",1,"5,1","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"7,2","2,1",1
Acacia longifolia,Euro+Med,Species,,"5,0","2,2",1,"3,1","2,0",1,"5,3","1,9",1,"9,4","1,9",1,"8,2","2,3",1
Acacia mearnsii,Euro+Med,Species,,"4,1","4,2",2,"4,1","3,8",2,"5,7","2,6",2,"8,8","3,0",2,"7,7","3,2",2
Acacia melanoxylon,Euro+Med,Species,,"4,1","4,2",2,"4,1","3,8",2,"5,7","2,6",2,"8,8","3,0",2,"7,7","3,2",2
Acacia pycnantha,Euro+Med,Species,,"4,1","4,2",2,"4,1","3,8",2,"5,7","2,6",2,"8,8","3,0",2,"7,7","3,2",2
Acacia retinodes,Euro+Med,Species,,"3,3","2,5",1,"5,1","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"7,2","2,1",1
Acacia retinoides,addition,,,"4,2","2,2",1,"5,4","2,0",1,"6,5","1,9",1,"8,2","1,9",1,"6,4","2,3",1
Acacia saligna,Euro+Med,Species,,"4,1","4,2",2,"4,1","3,8",2,"5,7","2,6",2,"8,8","3,0",2,"7,7","3,2",2
Acaena novae-zelandiae,Euro+Med,Species,,"2,7","2,3",1,"3,1","2,0",1,"5,7","2,0",1,"8,2","2,2",1,,,
Acalypha australis,Euro+Med,Species,,"3,4","2,2",1,"10,0","2,0",1,"6,5","1,9",1,"8,2","1,9",1,"6,4","2,3",1
Acalypha virginica,Euro+Med,Species,,"4,1","3,9",2,"6,3","6,4",2,"5,3","1,9",2,"7,3","2,3",2,"6,1","3,2",2
Acantholimon ulicinum,Euro+Med,Species,,"2,8","4,4",1,"3,7","2,0",1,"7,1","2,2",1,"9,8","2,0",1,"5,0","1,9",1
Acanthophyllum pungens,addition,,,"0,7","1,0",1,,,,,,,,,,,,
Acanthus hungaricus,Euro+Med,Species,,"2,2","2,1",1,,,,"7,4","1,7",1,,,,"4,9","2,2",1
Acanthus mollis,Euro+Med,Species,,"3,3","3,2",3,"7,9","3,0",3,"6,8","3,8",3,"5,7","3,4",3,"6,8","2,7",3
Acanthus spinosus,Euro+Med,Species,,"2,7","4,6",2,"5,7","4,5",2,"6,5","8,7",2,"7,8","2,6",2,"8,2","3,9",2
Acer campestre,Euro+Med,Species,,"4,2","3,0",24,"5,9","4,2",19,"6,8","3,5",21,"5,0","5,0",18,"5,0","2,9",20
Acer cappadocicum,Euro+Med,Species,,"4,1","2,5",1,"6,3","2,0",1,"6,1","1,9",1,"7,0","2,0",1,"4,2","2,1",1
Acer ginnala,Euro+Med,Species,,"4,7","1,0",1,,,,,,,"5,1","6,7",1,"4,3","1,7",1
Acer granatense,Euro+Med,Species,,"3,3","2,5",1,"5,1","2,0",1,"7,3","1,9",1,"7,0","2,0",1,"6,2","2,1",1
Acer heldreichii,Euro+Med,Species,,"4,7","2,5",1,"5,6","1,9",1,"5,9","1,6",1,"3,5","1,8",1,"3,9","1,7",1
Acer hyrcanum subsp. intermedium,Euro+Med,Subspecies,,"4,7","2,5",1,"5,6","1,9",1,"3,9","1,6",1,"3,5","1,8",1,"3,9","1,7",1
Acer hyrcanum subsp. stevenii,Euro+Med,Subspecies,,"4,5","3,8",1,"5,3","5,6",1,"6,0","3,6",1,"3,8","4,6",1,"4,9","0,6",1
Acer lobelii,Euro+Med,Species,,"2,5","2,2",1,"4,2","2,0",1,"8,8","1,9",1,"5,9","1,9",1,"6,4","2,3",1
Acer monspessulanum,Euro+Med,Species,,"2,9","2,7",8,"4,0","3,3",7,"7,8","3,0",8,"6,0","3,4",7,"6,3","3,3",8
Acer monspessulanum subsp. loscosii,Euro+Med,Subspecies,,"3,3","2,5",1,"5,1","2,0",1,"7,3","1,9",1,"8,2","2,0",1,"7,2","2,1",1
Acer negundo,Euro+Med,Species,,"5,1","3,3",16,"6,8","4,2",14,"6,6","3,1",13,"5,4","5,0",14,"5,0","3,2",15
Acer obtusatum,Euro+Med,Species,,"4,2","3,6",3,"5,8","5,2",2,"7,5","2,2",2,"6,5","4,9",2,"5,5","5,4",2
Acer obtusatum subsp. neapolitanum,Euro+Med,Subspecies,,"4,2","2,2",1,"6,5","2,0",1,"5,3","1,9",1,"3,5","1,9",1,"2,9","2,3",1
Acer opalus,Euro+Med,Species,,"3,3","2,4",4,"5,8","3,3",4,"8,0","2,8",4,"5,4","3,5",4,"6,2","2,6",4
Acer opalus agg.,addition,Species Aggregate.,,"3,4","2,8",2,"5,8","3,3",2,"7,7","2,7",2,"5,7","4,2",2,"6,3","2,4",2
Acer palmatum,Euro+Med,Species,,"4,1","2,5",1,"6,3","2,0",1,"6,1","1,9",1,"7,0","2,0",1,"3,3","2,1",1
Acer platanoides,Euro+Med,Species,,"4,7","3,9",20,"5,7","5,8",13,"6,3","4,1",16,"3,9","5,4",16,"4,5","2,3",18
Acer pseudoplatanus,Euro+Med,Species,,"5,0","3,4",24,"6,9","4,1",19,"5,9","4,4",18,"3,8","5,1",18,"4,2","3,9",17
Acer rubrum,Euro+Med,Species,,"4,6","4,5",3,"5,5","5,3",2,"5,3","3,6",2,"4,9","7,0",3,"4,7","6,9",3
Acer saccharinum,Euro+Med,Species,,"4,5","2,6",2,"5,0","2,1",2,"5,2","2,2",2,"5,3","7,2",3,"5,0","4,2",3
Acer saccharum,Euro+Med,Species,,"5,4","3,6",1,,,,,,,"3,1","5,6",1,"5,5","2,8",1
Acer semenovii,Euro+Med,Species,,"3,2","2,1",1,,,,,,,"5,1","4,5",1,"5,8","2,2",1
Acer sempervirens,Euro+Med,Species,,"3,6","4,4",1,"3,7","2,0",1,"7,1","2,2",1,"5,1","2,0",1,"6,6","3,8",1
Acer tataricum,Euro+Med,Species,,"3,8","3,5",10,"4,2","6,6",6,"7,0","3,2",7,"5,2","7,9",5,"5,4","3,0",9
Acer tegmentosum,addition,,,"4,7","1,0",1,,,,,,,"3,1","5,6",1,"4,0","1,1",1
Acer trautvetteri,Euro+Med,Species,,"5,2","4,2",2,"6,5","1,4",1,"4,2","1,2",1,"6,3","8,6",2,"3,8","3,7",2
Acer velutinum,Euro+Med,Species,,"5,7","1,0",1,,,,,,,"3,1","5,6",1,"5,5","1,7",1
Acer x coriaceum,addition,hyb.-sp.,TRUE,"4,1","2,5",1,"5,1","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"6,2","2,1",1
Acer x hybridum,addition,hyb.-sp.,TRUE,"3,3","2,5",1,"5,1","2,0",1,"7,3","1,9",1,"7,0","2,0",1,"6,2","2,1",1
Acer x peronai,addition,hyb.-sp.,TRUE,"3,3","2,5",1,"5,1","2,0",1,"7,3","1,9",1,"7,0","2,0",1,"6,2","2,1",1
Achillea ageratum,Euro+Med,Species,,"5,5","2,7",3,"4,4","4,6",3,"6,0","2,5",3,"8,0","2,3",3,"6,8","2,7",3
Achillea asiatica,Euro+Med,Species,,"4,0","4,6",1,,,,,,,"7,2","3,4",1,"3,4","3,4",1
Achillea aspleniifolia,Euro+Med,Species,,"5,1","3,1",9,"3,1","4,9",6,"7,0","2,5",8,"8,0","2,1",5,"5,2","2,5",8
Achillea atrata,Euro+Med,Species,,"4,5","2,6",5,"3,1","2,4",5,"9,0","3,1",5,"9,6","2,2",5,"0,7","3,1",5
Achillea atrata agg.,addition,Species Aggregate.,,"4,6","2,4",2,"2,9","2,5",2,"9,0","3,1",2,"9,6","2,2",2,"0,9","4,3",2
Achillea barrelieri,Euro+Med,Species,,"1,7","2,2",1,"0,8","2,0",1,"7,6","1,9",1,"9,4","1,9",1,"2,0","2,3",1
Achillea barrelieri subsp. mucronulata,Euro+Med,Subspecies,,"1,7","2,2",1,"0,8","2,0",1,"7,6","1,9",1,"9,4","1,9",1,"2,9","2,3",1
Achillea carpatica,Euro+Med,Species,,"4,5","2,7",1,"3,6","6,6",1,"4,2","3,0",1,"7,4","3,5",1,"2,7","1,2",1
Achillea clavennae,Euro+Med,Species,,"3,5","3,6",5,"3,1","2,4",5,"8,8","3,4",5,"9,1","3,1",5,"1,5","3,5",5
Achillea clusiana,Euro+Med,Species,,"4,5","2,6",3,"3,0","2,4",3,"9,5","2,2",3,"9,6","2,1",3,"0,9","2,3",3
Achillea clypeolata,Euro+Med,Species,,"3,4","4,8",2,"3,3","1,9",1,"8,2","4,6",2,"7,8","1,8",1,"4,9","3,9",2
Achillea coarctata,Euro+Med,Species,,"2,2","2,1",1,,,,"6,4","1,7",1,,,,"4,9","2,2",1
Achillea collina,Euro+Med,Species,,"2,6","3,2",15,"2,8","3,5",12,"6,8","3,8",13,"8,6","2,9",11,"4,9","2,6",14
Achillea cretica,Euro+Med,Species,,"1,9","4,4",1,"6,0","2,0",1,"8,4","2,2",1,"8,7","2,0",1,"8,1","1,9",1
Achillea crithmifolia,Euro+Med,Species,,"3,7","3,0",7,"4,2","4,8",5,"5,4","3,7",6,"8,1","1,8",5,"5,5","2,3",6
Achillea distans,Euro+Med,Species,,"3,8","2,9",7,"4,6","5,8",5,"6,1","3,0",6,"6,6","2,9",4,"3,9","3,9",6
Achillea distans subsp. alpina,Euro+Med,Subspecies,,"3,7","2,1",1,,,,"5,4","1,7",1,,,,"2,3","2,2",1
Achillea distans subsp. distans,Euro+Med,Subspecies,,"3,9","2,6",2,"5,1","2,0",1,"6,2","3,7",2,"7,0","2,0",1,"3,2","3,8",2
Achillea distans subsp. stricta,Euro+Med,Subspecies,,"4,2","2,8",8,"4,8","4,6",6,"5,1","2,8",7,"7,2","3,3",5,"2,4","3,2",7
Achillea distans subsp. tanacetifolia,Euro+Med,Subspecies,,"4,7","2,5",1,"3,3","1,9",1,"5,9","1,6",1,"5,7","1,8",1,"2,6","1,7",1
Achillea erba-rotta,Euro+Med,Species,,"3,7","4,3",2,"2,3","2,6",2,"2,5","3,0",2,"9,6","2,2",2,"0,6","3,1",2
Achillea erba-rotta subsp. moschata,Euro+Med,Subspecies,,"4,6","3,6",4,"1,9","3,2",4,"2,4","2,7",4,"9,5","2,1",4,"0,3","3,1",4
Achillea euxina,Euro+Med,Species,,"3,5","3,8",1,"5,3","5,6",1,"6,0","3,6",1,"8,8","1,2",1,"5,5","0,6",1
Achillea filipendulina,Euro+Med,Species,,"4,3","4,6",2,"4,5","4,9",2,"6,9","2,9",2,"7,5","2,0",2,"5,5","2,8",2
Achillea glaberrima,Euro+Med,Species,,"3,5","4,9",1,"3,6","4,7",1,"6,4","4,2",1,"8,8","1,2",1,"4,9","0,6",1
Achillea impatiens,Euro+Med,Species,,"5,2","2,1",1,,,,"4,3","1,7",1,,,,"3,2","2,2",1
Achillea inundata,Euro+Med,Species,,"5,3","3,3",1,"5,3","5,6",1,"5,7","1,8",1,"8,1","2,3",1,"4,6","1,2",1
Achillea leptophylla,Euro+Med,Species,,"1,3","3,6",3,"4,7","2,8",1,"7,1","2,5",2,"8,8","1,2",1,"4,9","2,0",2
Achillea ligustica,Euro+Med,Species,,"3,0","5,6",3,"4,8","2,7",3,"5,6","3,8",4,"7,6","2,6",3,"7,0","3,9",4
Achillea lingulata,Euro+Med,Species,,"3,8","3,4",2,"5,6","1,9",1,"4,6","3,8",2,"7,8","1,8",1,"2,7","4,5",2
Achillea macrophylla,Euro+Med,Species,,"5,0","2,3",5,"8,2","3,1",5,"6,2","3,1",5,"5,9","2,7",5,"1,2","2,8",5
Achillea maritima,Euro+Med,Species,,"2,6","4,5",5,"4,5","5,2",5,"6,0","5,1",5,"9,1","3,3",5,"7,0","4,2",4
Achillea maritima subsp. atlantica,Euro+Med,Subspecies,,"4,1","2,5",1,"5,1","2,0",1,"7,3","1,9",1,"9,5","2,0",1,"4,2","2,1",1
Achillea maritima subsp. maritima,Euro+Med,Subspecies,,"4,1","2,5",1,"5,1","2,0",1,"7,3","1,9",1,"9,5","2,0",1,"7,2","2,1",1
Achillea micrantha,Euro+Med,Species,,"2,3","3,7",3,"2,5","4,7",1,"5,7","5,4",1,"8,0","2,5",2,"5,5","1,8",2
Achillea micranthoides,Euro+Med,Species,,"2,7","2,2",1,"4,7","2,8",1,"9,0","1,2",1,"8,8","1,2",1,"5,5","0,6",1
Achillea millefolium,Euro+Med,Species,,"3,7","3,7",21,"5,1","3,9",16,"5,5","5,5",14,"7,3","3,7",16,"3,6","5,2",12
Achillea millefolium agg.,addition,Species Aggregate.,,"4,2","4,2",5,"5,0","4,8",3,"5,8","4,0",3,"7,6","3,2",3,"3,9","4,1",4
Achillea millefolium subsp. millefolium,Euro+Med,Subspecies,,"4,1","3,1",3,"5,3","2,3",2,"6,2","5,2",3,"7,6","3,1",2,"4,0","6,4",3
Achillea millefolium subsp. sudetica,Euro+Med,Subspecies,,"4,2","2,6",6,"5,2","2,3",3,"5,8","4,0",4,"7,3","2,5",4,"2,4","4,8",5
Achillea nana,Euro+Med,Species,,"4,6","3,6",4,"1,9","3,2",4,"5,0","3,9",4,"8,9","3,0",4,"0,1","2,4",4
Achillea nobilis,Euro+Med,Species,,"3,2","3,7",13,"2,2","4,8",10,"7,5","3,1",11,"7,9","3,1",9,"5,2","2,9",11
Achillea nobilis agg.,addition,Species Aggregate.,,"2,3","3,9",1,"2,6","4,0",1,"7,6","3,6",1,"7,6","1,8",1,"4,2","6,3",1
Achillea nobilis subsp. neilreichii,Euro+Med,Subspecies,,"2,8","3,3",4,"2,5","5,3",3,"7,9","3,2",4,"8,0","2,5",3,"5,5","2,7",4
Achillea ochroleuca,Euro+Med,Species,,"2,7","3,1",6,"2,1","5,0",4,"7,0","3,0",5,"8,6","2,1",3,"5,4","2,0",5
Achillea odorata,Euro+Med,Species,,"2,4","2,1",2,"2,2","2,8",2,"7,9","2,2",2,"7,8","2,2",2,"4,4","2,4",2
Achillea oxyloba,Euro+Med,Species,,"4,4","2,5",3,"2,6","2,9",3,"8,6","3,3",3,"8,8","3,8",3,"1,3","3,0",3
Achillea oxyloba subsp. schurii,Euro+Med,Subspecies,,"5,2","2,1",1,,,,"4,3","1,7",1,,,,"2,3","2,2",1
Achillea pannonica,Euro+Med,Species,,"3,1","2,8",15,"2,9","3,7",11,"6,7","4,0",14,"7,7","2,7",11,"5,3","2,4",14
Achillea pratensis,Euro+Med,Species,,"4,4","2,7",3,"5,9","3,2",3,"5,2","2,3",3,"7,2","2,4",3,"3,9","2,6",3
Achillea pseudopectinata,Euro+Med,Species,,"2,2","2,1",1,,,,"6,4","5,0",1,,,,"5,8","2,2",1
Achillea ptarmica,Euro+Med,Species,,"6,2","3,3",21,"3,4","4,7",17,"4,0","3,4",18,"7,5","3,6",15,"4,1","4,0",14
Achillea ptarmica agg.,addition,Species Aggregate.,,"5,9","2,3",2,"3,9","2,0",1,"3,8","1,9",1,"8,2","2,0",1,"4,3","1,7",2
Achillea ptarmicifolia,Euro+Med,Species,,"3,0","2,0",1,"3,4","1,4",1,"7,1","1,2",1,"7,4","1,7",1,"2,5","1,6",1
Achillea pyrenaica,Euro+Med,Species,,"5,6","5,1",2,"2,8","2,0",1,"2,6","1,9",1,"8,2","2,0",1,"2,3","2,1",1
Achillea roseoalba,Euro+Med,Species,,"3,6","3,7",4,"6,1","6,5",4,"6,5","3,0",4,"7,7","2,6",4,"4,7","3,3",5
Achillea rupestris,Euro+Med,Species,,"1,7","2,2",1,"0,8","2,0",1,"7,6","1,9",1,"7,0","1,9",1,"2,9","2,3",1
Achillea rupestris subsp. lucana,Euro+Med,Subspecies,,"1,7","2,2",1,"0,8","2,0",1,"7,6","1,9",1,"7,0","1,9",1,"3,8","2,3",1
Achillea salicifolia,Euro+Med,Species,,"6,1","4,9",8,"6,4","2,4",5,"6,2","3,9",6,"7,2","3,9",6,"3,9","4,1",7
Achillea setacea,Euro+Med,Species,,"2,4","3,9",18,"2,0","5,1",13,"7,3","4,0",15,"8,5","3,5",13,"5,0","3,0",16
Achillea styriaca,Euro+Med,Species,,"4,2","3,4",2,"4,4","3,0",2,"5,7","2,4",2,"7,3","2,5",2,"4,0","3,3",2
Achillea thracica,Euro+Med,Species,,"2,2","2,1",1,,,,"6,4","1,7",1,,,,"5,8","2,2",1
Achillea tomentosa,Euro+Med,Species,,"2,4","3,9",2,"2,3","2,6",2,"3,1","2,0",2,"8,5","3,3",2,"4,4","3,3",2
Achillea virescens,Euro+Med,Species,,"3,2","2,2",2,"2,3","2,6",2,"7,6","1,8",2,"7,3","2,3",2,"4,0","2,5",2
Achillea virescens subsp. tenorei,Euro+Med,Subspecies,,"2,5","2,2",1,"0,8","2,0",1,"7,6","1,9",1,"7,0","1,9",1,"2,0","2,3",1
Achnatherum bromoides,Euro+Med,Species,,"2,8","4,2",10,"2,2","5,3",8,"7,9","3,6",10,"8,0","5,8",8,"6,3","3,6",10
Achnatherum calamagrostis,Euro+Med,Species,,"2,6","2,6",5,"2,2","2,4",4,"8,5","3,8",5,"9,0","3,1",4,"4,6","4,2",5
Achnatherum caragana,Euro+Med,Species,,"0,8","2,0",1,,,,,,,,,,,,
Achnatherum sibiricum,Euro+Med,Species,,"3,2","3,1",1,,,,,,,"7,9","2,2",1,"4,3","1,7",1
Achnatherum splendens,Euro+Med,Species,,"2,1","4,3",1,,,,,,,,,,,,
Achyranthes aspera,Euro+Med,Species,,"1,7","2,2",1,"0,8","2,0",1,"4,1","1,9",1,"8,2","1,9",1,"10,0","2,3",1
Achyranthes sicula,Euro+Med,Species,,"1,7","2,2",1,"0,8","2,0",1,"4,1","1,9",1,"8,2","1,9",1,"8,2","2,3",1
Acis autumnalis,Euro+Med,Species,,"0,9","2,2",1,"1,9","2,0",1,"5,3","1,9",1,"9,4","1,9",1,"7,3","2,3",1
Acis fabrei,Euro+Med,Species,,"2,3","1,9",1,"2,6","2,0",1,"7,6","1,8",1,"7,6","1,8",1,"6,7","2,1",1
Acis nicaeensis,Euro+Med,Species,,"2,8","3,0",2,"2,7","2,1",2,"7,4","2,1",2,"7,9","2,3",2,"6,9","2,6",2
Acis rosea,Euro+Med,Species,,"1,6","3,9",2,"2,9","3,8",2,"6,3","3,5",2,"9,4","2,0",2,"8,2","2,3",2
Aconitum angustifolium,Euro+Med,Species,,"3,7","2,6",2,"6,3","4,4",2,"7,0","2,7",2,"8,5","5,1",2,"2,7","3,4",2
Aconitum anthora,Euro+Med,Species,,"3,4","3,4",14,"4,9","3,6",8,"7,5","4,5",11,"6,7","4,9",9,"4,4","4,2",12
Aconitum anthora subsp. confertiflorum,Euro+Med,Subspecies,,"4,1","3,9",2,"4,0","5,9",2,"6,4","4,2",2,"6,0","4,5",2,"3,4","3,4",2
Aconitum besserianum,Euro+Med,Species,,"4,8","3,3",1,"6,9","2,8",1,"5,7","1,8",1,"3,8","4,6",1,"4,3","0,6",1
Aconitum bucovinense,Euro+Med,Species,,"4,8","2,9",2,"4,2","2,4",2,"4,3","1,9",2,"6,3","2,4",2,"1,6","1,2",2
Aconitum burnatii,Euro+Med,Species,,"6,1","2,5",3,"7,1","2,7",3,"6,8","3,4",3,"6,4","4,1",3,"1,7","2,6",3
Aconitum carmichaelii,Euro+Med,Species,,"5,8","2,2",1,"7,7","2,0",1,"7,6","1,9",1,"7,0","1,9",1,"2,9","2,3",1
Aconitum cymbulatum,Euro+Med,Species,,"4,4","2,0",1,"3,4","1,4",1,"5,7","1,2",1,"5,4","1,7",1,"2,5","1,6",1
Aconitum degenii,Euro+Med,Species,,"5,6","3,1",7,"7,4","2,9",6,"6,8","2,8",7,"5,1","4,1",6,"1,7","3,4",7
Aconitum degenii subsp. valesiacum,Euro+Med,Subspecies,,"5,8","2,2",2,"7,4","2,2",2,"6,3","3,3",2,"4,9","2,6",2,"1,9","3,2",2
Aconitum firmum,Euro+Med,Species,,"5,7","2,9",3,"6,6","3,9",2,"5,3","3,4",2,"4,8","5,2",2,"2,3","2,5",2
Aconitum firmum subsp. firmum,Euro+Med,Subspecies,,"3,7","2,1",1,,,,"8,4","1,7",1,,,,"3,2","2,2",1
Aconitum firmum subsp. moravicum,Euro+Med,Subspecies,,"5,9","2,3",1,"6,3","2,1",1,"6,0","2,0",1,"4,4","2,1",1,"2,9","2,2",1
Aconitum flerovii,Euro+Med,Species,,"5,2","2,1",1,"7,9","2,0",1,"6,7","1,5",1,"3,8","4,5",1,"4,0","1,1",1
Aconitum karakolicum,addition,,,"4,7","1,0",1,,,,,,,"4,5","5,6",1,"5,2","1,1",1
Aconitum lasiocarpum,Euro+Med,Species,,"6,0","0,9",2,"6,6","1,0",1,"6,2","0,4",1,"6,6","0,4",1,"3,2","0,3",1
Aconitum lupicida,Euro+Med,Species,,"5,8","2,2",1,"7,7","2,0",1,"7,6","1,9",1,"3,5","1,9",1,"2,9","2,3",1
Aconitum lycoctonum,Euro+Med,Species,,"5,2","4,1",9,"7,1","4,2",8,"6,8","2,9",9,"4,3","5,3",7,"2,7","4,0",9
Aconitum lycoctonum subsp. lasiostomum,Euro+Med,Subspecies,,"5,3","3,7",3,"6,4","3,8",1,"6,0","1,7",2,"4,5","6,9",2,"3,8","3,3",3
Aconitum lycoctonum subsp. lycoctonum,Euro+Med,Subspecies,,"5,9","2,3",2,"8,1","3,1",2,"7,1","2,1",2,"2,5","3,1",2,"3,2","3,2",2
Aconitum lycoctonum subsp. neapolitanum,Euro+Med,Subspecies,,"5,8","3,5",7,"7,3","2,2",5,"7,2","3,7",6,"5,1","4,4",5,"2,6","4,0",6
Aconitum lycoctonum subsp. septentrionale,Euro+Med,Subspecies,,"5,2","3,5",2,,,,,,,"3,1","5,6",1,"3,1","3,9",1
Aconitum lycoctonum subsp. vulparia,Euro+Med,Subspecies,,"5,5","3,1",17,"7,6","3,8",12,"7,0","2,6",15,"3,1","3,3",12,"3,4","3,1",15
Aconitum moldavicum,Euro+Med,Species,,"5,2","2,9",6,"6,9","3,2",4,"6,2","2,0",5,"4,7","4,7",4,"3,8","2,5",5
Aconitum moldavicum subsp. hosteanum,Euro+Med,Subspecies,,"4,5","2,6",2,"4,2","1,9",1,"5,9","2,6",2,"4,5","5,8",1,"3,0","2,6",2
Aconitum moldavicum subsp. moldavicum,Euro+Med,Subspecies,,"4,4","2,1",1,,,,"5,4","1,7",1,,,,"2,3","2,2",1
Aconitum nanum,addition,,,"5,0","2,7",1,"2,5","2,8",1,"4,9","3,0",1,"6,7","4,6",1,"1,4","1,2",1
Aconitum napellus,Euro+Med,Species,,"6,0","2,4",13,"7,6","3,9",10,"6,8","3,9",10,"6,1","5,2",9,"3,2","5,9",8
Aconitum napellus agg.,addition,Species Aggregate.,,"5,1","5,5",3,"7,0","3,0",3,"6,2","3,9",3,"6,0","3,9",3,"2,1","3,8",3
Aconitum napellus subsp. corsicum,Euro+Med,Subspecies,,"5,9","2,5",1,"7,5","2,0",1,"7,3","1,9",1,"7,0","2,0",1,"1,3","2,1",1
Aconitum napellus subsp. lusitanicum,Euro+Med,Subspecies,,"6,0","2,5",5,"7,3","3,4",5,"6,5","4,1",5,"6,5","3,5",5,"2,8","3,1",4
Aconitum napellus subsp. napellus,Euro+Med,Subspecies,,"5,9","2,3",2,"7,5","4,1",2,"7,7","3,1",2,"6,3","3,0",2,"4,1","7,3",2
Aconitum napellus subsp. vulgare,Euro+Med,Subspecies,,"6,3","2,3",4,"8,2","4,5",4,"6,3","4,1",4,"6,4","4,3",4,"2,0","3,0",4
