TaxonConcept,AccordingTo,TaxonRank,Hybrid,EIVE1-M,EIVE1-M.nw3,EIVE1-M.n,EIVE1-N,EIVE1-N.nw3,EIVE1-N.n,EIVE1-R,EIVE1-R.nw3,EIVE1-R.n,EIVE1-L,EIVE1-L.nw3,EIVE1-L.n,EIVE1-T,EIVE1-T.nw3,EIVE1-T.n
Rosa rugosa,Euro+Med,Species,,"3,8","3,8",9,"4,8","4,2",8,"6,8","3,6",8,"7,7","4,1",9,"4,5","3,8",7
Rosa sempervirens,Euro+Med,Species,,"3,3","3,8",6,"4,5","4,2",6,"6,2","3,6",6,"6,1","4,6",6,"6,6","3,3",6
Rosa serafinii,Euro+Med,Species,,"2,8","2,5",2,"2,3","2,6",2,"3,7","2,6",2,"7,9","4,2",2,"5,3","4,7",2
Rosa sherardii,Euro+Med,Species,,"4,4","2,4",7,"4,4","3,8",6,"6,5","3,3",6,"6,8","3,6",6,"4,8","2,7",5
Rosa spinosissima,Euro+Med,Species,,"3,2","3,3",20,"3,0","3,4",16,"7,8","3,1",18,"7,7","3,7",15,"4,6","2,7",17
Rosa stylosa,Euro+Med,Species,,"3,6","2,8",10,"4,2","5,4",9,"7,9","3,1",10,"7,4","3,7",9,"5,5","2,6",9
Rosa subcanina,Euro+Med,Species,,"3,5","2,9",5,"3,8","3,9",4,"6,8","3,6",5,"7,2","5,8",4,"3,9","3,2",5
Rosa subcollina,Euro+Med,Species,,"3,3","3,1",5,"4,4","4,2",4,"7,5","3,0",5,"7,2","5,8",4,"4,1","3,1",5
Rosa tomentella agg.,addition,Species Aggregate.,,"4,0","1,9",1,"5,0","2,0",1,"7,6","3,6",1,"7,6","1,8",1,"4,2","4,2",1
Rosa tomentosa,Euro+Med,Species,,"3,7","4,0",16,"4,2","4,7",14,"6,9","3,8",15,"7,3","5,4",13,"4,8","3,2",14
Rosa turcica,Euro+Med,Species,,"2,2","2,1",1,,,,"7,4","1,7",1,,,,"4,1","2,2",1
Rosa uriensis,Euro+Med,Species,,"3,2","2,2",2,"4,6","2,7",2,"5,9","2,7",2,"7,9","2,3",2,"2,7","2,4",2
Rosa villosa,Euro+Med,Species,,"3,3","3,8",16,"3,5","4,9",14,"7,1","4,1",15,"6,6","4,2",14,"4,2","4,2",14
Rosa virginiana,Euro+Med,Species,,"4,1","4,2",2,"5,5","2,9",2,"5,2","3,8",2,"6,4","5,3",2,"3,6","2,5",2
Rosa x damascena,addition,hyb.-sp.,TRUE,"3,7","2,5",1,"5,0","1,8",1,"7,4","1,7",1,"8,7","1,6",1,,,
