Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	505975	1	T-P05975	V32	5	
2	213524	1	Q-P13524	V32	5	
3	213526	1	Q-P13526	V32	5	
4	213517	1	Q-P13517	V32	5	
5	213511	1	Q-P13511	V32	5	
6	518128	1	T-P18128	?	5	
7	508257	1	T-P08257	?	5	
8	213513	1	Q-P13513	V	5	
9	518442	1	T-P18442	?	5	
10	208540	1	Q-P08540	?	5	
11	213528	1	Q-P13528	V32	5	
12	518447	1	T-P18447	?	5	
13	419580	1	S-P19580	?	5	
14	213512	1	Q-P13512	V32	5	
15	518133	1	T-P18133	?	5	
16	324356	1	R-P24356	?	5	
17	213515	1	Q-P13515	V32	5	
18	213522	1	Q-P13522	V32	5	
19	505973	1	T-P05973	V32	5	
20	213520	1	Q-P13520	V32	5	
21	505976	1	T-P05976	V32	5	
22	213514	1	Q-P13514	V32	5	
23	213523	1	Q-P13523	V32	5	
24	213519	1	Q-P13519	V32	5	
25	213529	1	Q-P13529	V32	5	
26	210005	2	Q-P10005	V32	5	
27	323851	2	R-P23851	V32	5	
28	432136	2	S-P32136	V32	5	
29	207051	2	Q-P07051	V32	5	
30	613532	2	U-P13532	V32	5	
31	613531	2	U-P13531	V32	5	
32	214987	3	Q-P14987	V32	5	
33	325151	3	R-P25151	V32	5	
34	324841	3	R-P24841	V32	5	
35	505962	3	T-P05962	V32	5	
36	209971	3	Q-P09971	V32	5	
37	323773	3	R-P23773	V32	5	
38	615525	3	U-P15525	V32	5	
39	421343	3	S-P21343	V	5	
40	516003	3	T-P16003	?	5	
41	209965	3	Q-P09965	V32	5	
42	513239	3	T-P13239	V32	5	
43	322295	3	R-P22295	V32	5	
44	415118	3	S-P15118	V32	5	
45	324837	3	R-P24837	V32	5	
46	507742	3	T-P07742	+	5	
47	210001	3	Q-P10001	V32	5	
48	420385	3	S-P20385	V32	5	
49	322326	3	R-P22326	?	5	
50	419331	3	S-P19331	?	5	
