Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
51	208361	3	Q-P08361	V32	5	
52	535812	3	T-P35812	?	5	
53	420368	3	S-P20368	V32	5	
54	505978	3	T-P05978	V32	5	
55	210132	3	Q-P10132	V	5	
56	207905	3	Q-P07905	?	5	
57	324801	3	R-P24801	V32	5	
58	421342	3	S-P21342	V	5	
59	209955	3	Q-P09955	V32	5	
60	209968	3	Q-P09968	V32	5	
61	207041	3	Q-P07041	V32	5	
62	315135	3	R-P15135	V32	5	
63	513247	3	T-P13247	V32	5	
64	324470	3	R-P24470	V	5	
65	210028	3	Q-P10028	V32	5	
66	210012	3	Q-P10012	V32	5	
67	210020	3	Q-P10020	V32	5	
68	522472	3	T-P22472	V32	5	
69	420377	3	S-P20377	V	5	
70	411148	3	S-P11148	V32	5	
71	421345	3	S-P21345	V	5	
72	210016	3	Q-P10016	V32	5	
73	210035	3	Q-P10035	V32	5	
74	615811	3	U-P15811	?	5	
75	328934	3	R-P28934	V32	5	
76	505170	3	T-P05170	V32	5	
77	324023	3	R-P24023	V32	5	
78	513251	3	T-P13251	V32	5	
79	531627	3	T-P31627	V32	5	
80	324028	3	R-P24028	V32	5	
81	615807	3	U-P15807	V32	5	
82	214941	3	Q-P14941	V	5	
83	210129	3	Q-P10129	V32	5	
84	324027	3	R-P24027	V32	5	
85	505971	3	T-P05971	V32	5	
86	210013	3	Q-P10013	V32	5	
87	209810	3	Q-P09810	V	5	
88	511660	3	T-P11660	V32	5	
89	420408	3	S-P20408	V	5	
90	615809	3	U-P15809	V32	5	
91	513347	3	T-P13347	V32	5	
92	420403	3	S-P20403	V	5	
93	425131	3	S-P25131	V32	5	
94	327094	3	R-P27094	V32	5	
95	210032	3	Q-P10032	V32	5	
96	536765	3	T-P36765	V32	5	
97	210034	3	Q-P10034	V32	5	
98	533546	3	T-P33546	V32	5	
99	506634	3	T-P06634	V32	5	
100	511484	3	T-P11484	V	5	
101	513234	3	T-P13234	V32	5	
102	515401	3	T-P15401	V32	5	
103	412069	3	S-P12069	V32	5	
104	513212	3	T-P13212	V32	5	
105	505173	3	T-P05173	V32	5	
106	513216	3	T-P13216	V32	5	
107	324032	3	R-P24032	V32	5	
108	322297	3	R-P22297	V32	5	
109	536746	3	T-P36746	V32	5	
110	600149	3	U-P00149	+	5	
111	209967	3	Q-P09967	V32	5	
112	420253	3	S-P20253	V32	5	
113	507738	3	T-P07738	+	5	
114	613534	3	U-P13534	V32	5	
115	517218	3	T-P17218	V	5	
116	324031	3	R-P24031	V32	5	
117	415075	3	S-P15075	?	5	
118	420375	3	S-P20375	V32	5	
119	214942	3	Q-P14942	V	5	
120	506636	3	T-P06636	V32	5	
121	425125	3	S-P25125	V32	5	
122	522464	3	T-P22464	V32	5	
123	522470	3	T-P22470	V32	5	
124	536744	3	T-P36744	V32	5	
125	513238	3	T-P13238	V32	5	
126	522476	3	T-P22476	V32	5	
127	324654	3	R-P24654	V32	5	
128	613537	3	U-P13537	V32	5	
129	322030	3	R-P22030	?	5	
130	420363	3	S-P20363	V32	5	
131	522466	3	T-P22466	V32	5	
132	327091	3	R-P27091	V32	5	
133	324040	3	R-P24040	V32	5	
134	513245	3	T-P13245	V32	5	
135	613539	3	U-P13539	V32	5	
136	312833	3	R-P12833	V32	5	
137	600512	3	U-P00512	?	5	
138	419330	3	S-P19330	?	5	
139	324097	3	R-P24097	?	5	
140	214944	3	Q-P14944	V	5	
141	324586	3	R-P24586	V32	5	
142	209928	3	Q-P09928	V	5	
143	209914	3	Q-P09914	?	5	
144	420374	3	S-P20374	V32	5	
145	522473	3	T-P22473	V32	5	
146	513249	3	T-P13249	V32	5	
147	420424	3	S-P20424	V32	5	
148	323857	3	R-P23857	V32	5	
149	324800	3	R-P24800	V32	5	
150	209962	3	Q-P09962	V32	5	
151	208687	3	Q-P08687	V32	5	
152	210031	3	Q-P10031	V32	5	
153	315131	3	R-P15131	V32	5	
154	324025	3	R-P24025	V32	5	
155	420369	3	S-P20369	V32	5	
156	511584	3	T-P11584	+	5	
157	511865	3	T-P11865	V32	5	
158	521471	3	T-P21471	V32	5	
159	505151	3	T-P05151	V32	5	
160	431462	3	S-P31462	V32	5	
161	420384	3	S-P20384	V32	5	
162	536760	3	T-P36760	V32	5	
163	323867	3	R-P23867	V32	5	
164	207010	3	Q-P07010	V32	5	
165	209946	3	Q-P09946	V32	5	
166	210025	3	Q-P10025	V32	5	
167	314772	3	R-P14772	?	5	
168	210124	3	Q-P10124	V32	5	
169	522450	3	T-P22450	V32	5	
170	324026	3	R-P24026	V32	5	
171	209948	3	Q-P09948	V32	5	
172	324049	3	R-P24049	V32	5	
173	327078	3	R-P27078	V32	5	
174	210027	3	Q-P10027	V32	5	
175	333439	3	R-P33439	V32	5	
176	420366	3	S-P20366	V32	5	
177	317468	3	R-P17468	?	5	
178	420386	3	S-P20386	V32	5	
179	324030	3	R-P24030	V32	5	
180	323860	3	R-P23860	V32	5	
181	506632	3	T-P06632	V32	5	
182	324033	3	R-P24033	V32	5	
183	327082	3	R-P27082	V32	5	
184	207847	3	Q-P07847	V	5	
185	327098	3	R-P27098	V32	5	
186	324864	3	R-P24864	V32	5	
187	210017	3	Q-P10017	V32	5	
188	420404	3	S-P20404	V32	5	
189	324650	3	R-P24650	V32	5	
190	503081	3	T-P03081	V32	5	
191	536766	3	T-P36766	V32	5	
192	321303	3	R-P21303	V32	5	
193	122132	3	P-P22132	V	5	
194	501412	3	T-P01412	V	5	
195	324627	3	R-P24627	V32	5	
196	210128	3	Q-P10128	V32	5	
197	420382	3	S-P20382	V32	5	
198	323931	3	R-P23931	V32	5	
199	615453	3	U-P15453	V32	5	
200	505967	3	T-P05967	V32	5	
201	522465	3	T-P22465	V32	5	
202	415126	3	S-P15126	V32	5	
203	420360	3	S-P20360	V32	5	
204	327075	3	R-P27075	V32	5	
205	522460	3	T-P22460	V32	5	
206	507740	3	T-P07740	+	5	
207	327105	3	R-P27105	V32	5	
208	415116	3	S-P15116	V32	5	
209	505171	3	T-P05171	V32	5	
210	327089	3	R-P27089	V32	5	
211	324905	3	R-P24905	V32	5	
212	420373	3	S-P20373	V32	5	
213	522463	3	T-P22463	V32	5	
214	526065	3	T-P26065	+	5	
215	322299	3	R-P22299	V32	5	
216	613540	3	U-P13540	V32	5	
217	420420	3	S-P20420	V	5	
218	507739	3	T-P07739	+	5	
219	420400	3	S-P20400	V32	5	
220	324021	3	R-P24021	V32	5	
221	324623	3	R-P24623	V32	5	
222	502593	3	T-P02593	V32	5	
223	513246	3	T-P13246	V32	5	
224	214982	3	Q-P14982	V32	5	
225	324916	3	R-P24916	V32	5	
226	210329	3	Q-P10329	V32	5	
227	208170	3	Q-P08170	V32	5	
228	415124	3	S-P15124	V32	5	
229	214836	3	Q-P14836	V32	5	
230	324017	3	R-P24017	+	5	
231	511758	3	T-P11758	?	5	
232	420437	3	S-P20437	V32	5	
233	615524	3	U-P15524	V32	5	
234	506635	3	T-P06635	V32	5	
235	420367	3	S-P20367	V32	5	
236	536770	3	T-P36770	V32	5	
237	315133	3	R-P15133	V32	5	
238	536738	3	T-P36738	V32	5	
239	420457	3	S-P20457	V32	5	
240	419338	3	S-P19338	?	5	
241	419571	3	S-P19571	?	5	
242	327107	3	R-P27107	V32	5	
243	420383	3	S-P20383	V32	5	
244	505963	3	T-P05963	V32	5	
245	522438	3	T-P22438	V32	5	
246	324029	3	R-P24029	V32	5	
247	327092	3	R-P27092	V32	5	
248	420378	3	S-P20378	V32	5	
249	420414	3	S-P20414	V	5	
250	315132	3	R-P15132	V32	5	
251	415131	3	S-P15131	V	5	
252	327076	3	R-P27076	V32	5	
253	210015	3	Q-P10015	V32	5	
254	210127	3	Q-P10127	V32	5	
255	209957	3	Q-P09957	V32	5	
256	420349	3	S-P20349	V	5	
257	522443	3	T-P22443	V32	5	
258	506640	3	T-P06640	V32	5	
259	327097	3	R-P27097	V32	5	
260	324653	3	R-P24653	V32	5	
261	324034	3	R-P24034	V32	5	
262	207050	3	Q-P07050	V32	5	
263	420371	3	S-P20371	V	5	
264	324622	3	R-P24622	V32	5	
265	324652	3	R-P24652	V32	5	
266	420411	3	S-P20411	V	5	
267	536820	3	T-P36820	V32	5	
268	412026	3	S-P12026	V32	5	
269	327086	3	R-P27086	V32	5	
270	210011	3	Q-P10011	V32	5	
271	503079	3	T-P03079	V32	5	
272	327084	3	R-P27084	V32	5	
273	504834	3	T-P04834	?	5	
274	420410	3	S-P20410	V	5	
275	513243	3	T-P13243	V32	5	
276	536814	3	T-P36814	V32	5	
277	420452	3	S-P20452	V32	5	
278	207736	3	Q-P07736	V	5	
279	615818	3	U-P15818	V	5	
280	502978	3	T-P02978	V	5	
281	513248	3	T-P13248	V32	5	
282	207042	3	Q-P07042	V32	5	
283	314896	3	R-P14896	V	5	
284	536819	3	T-P36819	V32	5	
285	420412	3	S-P20412	V	5	
286	513250	3	T-P13250	V32	5	
287	511885	3	T-P11885	+	5	
288	513240	3	T-P13240	V32	5	
289	420399	3	S-P20399	V32	5	
290	513209	3	T-P13209	V32	5	
291	420429	3	S-P20429	V32	5	
292	210026	3	Q-P10026	V32	5	
293	425141	3	S-P25141	V32	5	
294	513227	3	T-P13227	V32	5	
295	420372	3	S-P20372	V32	5	
296	327093	3	R-P27093	V32	5	
297	210010	3	Q-P10010	V32	5	
298	415123	3	S-P15123	V32	5	
299	209961	3	Q-P09961	V32	5	
300	424456	3	S-P24456	V	5	
301	327079	3	R-P27079	V32	5	
302	506637	3	T-P06637	V32	5	
303	210019	3	Q-P10019	V32	5	
304	328933	3	R-P28933	V32	5	
305	324621	3	R-P24621	V32	5	
306	324035	3	R-P24035	V32	5	
307	323859	3	R-P23859	V32	5	
308	420456	3	S-P20456	V32	5	
309	207850	3	Q-P07850	V	5	
310	324047	3	R-P24047	V32	5	
311	424431	3	S-P24431	V32	5	
312	517223	3	T-P17223	V	5	
313	536821	3	T-P36821	V32	5	
314	327090	3	R-P27090	V32	5	
315	420362	3	S-P20362	V32	5	
316	210091	3	Q-P10091	V32	5	
317	327101	3	R-P27101	V32	5	
318	324789	3	R-P24789	V32	5	
319	522439	3	T-P22439	V32	5	
320	322298	3	R-P22298	V32	5	
321	210018	3	Q-P10018	V32	5	
322	505968	3	T-P05968	V32	5	
323	504832	3	T-P04832	V	5	
324	214998	3	Q-P14998	V32	5	
325	513208	3	T-P13208	V32	5	
326	513233	3	T-P13233	V32	5	
327	503078	3	T-P03078	V32	5	
328	424467	3	S-P24467	V32	5	
329	415119	3	S-P15119	V32	5	
330	327081	3	R-P27081	V32	5	
331	210130	3	Q-P10130	V32	5	
332	536781	3	T-P36781	V32	5	
333	513242	3	T-P13242	V32	5	
334	315127	3	R-P15127	V32	5	
335	210004	3	Q-P10004	V32	5	
336	536745	3	T-P36745	V32	5	
337	501418	3	T-P01418	V	5	
