Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	536748	1	T-P36748	V33	6	
2	307588	2	R-P07588	V	6	
3	307585	2	R-P07585	V	6	
4	307579	2	R-P07579	V	6	
5	505191	2	T-P05191	?	6	
6	511952	2	T-P11952	V	6	
7	505190	2	T-P05190	V33	6	
8	312749	2	R-P12749	V33	6	
9	511953	2	T-P11953	V33	6	
10	420432	3	S-P20432	V	6	
11	536815	3	T-P36815	V33	6	
12	420428	3	S-P20428	V	6	
13	327100	3	R-P27100	V33	6	
14	327073	3	R-P27073	V33	6	
15	420427	3	S-P20427	?	6	
16	327088	3	R-P27088	V33	6	
17	327085	3	R-P27085	V33	6	
18	327103	3	R-P27103	V	6	
19	327106	3	R-P27106	V33	6	
20	327096	3	R-P27096	V33	6	
21	327095	3	R-P27095	V33	6	
22	327074	3	R-P27074	V	6	
23	420425	3	S-P20425	V	6	
24	327080	3	R-P27080	V33	6	
25	209951	4	Q-P09951	V33	6	
26	209954	4	Q-P09954	V33	6	
27	322028	4	R-P22028	V33	6	
28	536762	5	T-P36762	V33	6	
29	536764	5	T-P36764	V33	6	
30	209952	5	Q-P09952	V33	6	
31	536763	5	T-P36763	V33	6	
32	536816	6	T-P36816	V33	6	
33	522353	6	T-P22353	V33	6	
34	536817	6	T-P36817	V33	6	
35	506646	6	T-P06646	V33	6	
36	536818	6	T-P36818	V33	6	
37	515409	6	T-P15409	V33	6	
38	324042	7	R-P24042	V33	6	
39	513205	7	T-P13205	V33	6	
40	324045	7	R-P24045	V33	6	
41	322237	7	R-P22237	V33	6	
42	322236	7	R-P22236	V33	6	
43	536743	7	T-P36743	V33	6	
44	324041	7	R-P24041	V33	6	
45	209959	8	Q-P09959	V33	6	
46	209964	8	Q-P09964	V33	6	
47	506641	8	T-P06641	V33	6	
48	209963	8	Q-P09963	V33	6	
49	209960	8	Q-P09960	V33	6	
50	209958	8	Q-P09958	V33	6	
51	209956	8	Q-P09956	V33	6	
