Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	411980	1	S-P11980	V37	9	
2	411973	1	S-P11973	V37	9	
3	324643	1	R-P24643	V37	9	
4	320736	1	R-P20736	V37	9	
5	505146	1	T-P05146	V37	9	
6	411991	1	S-P11991	V37	9	
7	502598	1	T-P02598	V37	9	
8	536811	1	T-P36811	V	9	
9	536804	1	T-P36804	V37	9	
10	322275	1	R-P22275	V	9	
11	324644	1	R-P24644	V	9	
12	532610	1	T-P32610	V37	9	
13	523946	1	T-P23946	V37	9	
14	320751	1	R-P20751	V37	9	
15	207767	1	Q-P07767	V37	9	
16	507961	1	T-P07961	V37	9	
17	323977	1	R-P23977	V37	9	
18	615500	1	U-P15500	V37	9	
19	505149	1	T-P05149	V37	9	
20	207766	1	Q-P07766	V37	9	
21	532613	1	T-P32613	V37	9	
22	505148	1	T-P05148	V37	9	
23	207765	1	Q-P07765	V37	9	
24	532609	1	T-P32609	V	9	
25	512295	1	T-P12295	V37	9	
26	510739	1	T-P10739	V37	9	
27	420261	1	S-P20261	V37	9	
28	210021	1	Q-P10021	V37	9	
29	536799	1	T-P36799	V	9	
30	527802	1	T-P27802	V37	9	
31	210072	1	Q-P10072	V	9	
32	324633	1	R-P24633	V37	9	
33	322280	1	R-P22280	V37	9	
34	324640	1	R-P24640	V37	9	
35	510738	1	T-P10738	V37	9	
36	324641	1	R-P24641	V	9	
37	323979	1	R-P23979	V	9	
38	512293	1	T-P12293	V	9	
39	418304	1	S-P18304	V37	9	
40	536800	1	T-P36800	V37	9	
41	324635	1	R-P24635	V	9	
42	324637	1	R-P24637	V37	9	
43	532614	1	T-P32614	V37	9	
44	536803	1	T-P36803	V37	9	
45	532621	1	T-P32621	V	9	
46	323983	1	R-P23983	V37	9	
47	505144	1	T-P05144	V37	9	
48	322287	1	R-P22287	V37	9	
49	322286	1	R-P22286	V37	9	
50	322277	1	R-P22277	V	9	
51	421794	1	S-P21794	V37	9	
52	207763	1	Q-P07763	V37	9	
53	324634	1	R-P24634	V37	9	
54	532611	1	T-P32611	V37	9	
55	207045	1	Q-P07045	V37	9	
56	411127	1	S-P11127	V37	9	
57	324638	1	R-P24638	V37	9	
58	210075	1	Q-P10075	V37	9	
59	536801	1	T-P36801	V37	9	
60	324642	1	R-P24642	V37	9	
61	512049	1	T-P12049	V37	9	
62	615499	1	U-P15499	V37	9	
63	323980	1	R-P23980	V	9	
64	505150	1	T-P05150	V37	9	
65	418305	1	S-P18305	V37	9	
66	415183	2	S-P15183	V37	9	
67	424965	2	S-P24965	V37	9	
68	418302	2	S-P18302	V37	9	
69	522431	2	T-P22431	V37	9	
70	522468	2	T-P22468	V37	9	
71	320936	2	R-P20936	V37	9	
72	431488	2	S-P31488	V37	9	
73	505161	2	T-P05161	V37	9	
74	322258	2	R-P22258	V37	9	
75	522442	2	T-P22442	V37	9	
76	522454	2	T-P22454	V37	9	
77	519856	2	T-P19856	V37	9	
78	421325	2	S-P21325	V37	9	
79	522451	2	T-P22451	V37	9	
80	324491	2	R-P24491	V37	9	
81	324593	2	R-P24593	V37	9	
82	505165	2	T-P05165	V37	9	
83	505162	2	T-P05162	V37	9	
84	532591	2	T-P32591	V37	9	
85	522456	2	T-P22456	V37	9	
86	505166	2	T-P05166	V37	9	
87	614215	2	U-P14215	V37	9	
88	424430	2	S-P24430	V37	9	
89	320138	2	R-P20138	V37	9	
90	324859	2	R-P24859	V37	9	
91	324684	2	R-P24684	V37	9	
92	323990	2	R-P23990	V37	9	
93	511528	2	T-P11528	V37	9	
94	324687	2	R-P24687	V37	9	
95	324686	2	R-P24686	V37	9	
96	536767	2	T-P36767	V37	9	
97	324507	2	R-P24507	V37	9	
98	324685	2	R-P24685	V37	9	
99	600630	2	U-P00630	V37	9	
100	615579	2	U-P15579	V37	9	
101	511858	2	T-P11858	V37	9	
102	511691	2	T-P11691	V37	9	
103	536749	2	T-P36749	V37	9	
104	615578	2	U-P15578	V37	9	
105	412072	2	S-P12072	V37	9	
106	418294	2	S-P18294	V37	9	
107	418296	2	S-P18296	V37	9	
108	420453	2	S-P20453	V37	9	
109	312791	2	R-P12791	V37	9	
110	412071	2	S-P12071	V37	9	
111	417956	2	S-P17956	V37	9	
112	415121	2	S-P15121	V37	9	
113	511861	2	T-P11861	V37	9	
114	418291	2	S-P18291	V37	9	
115	412077	2	S-P12077	V37	9	
116	418292	2	S-P18292	V37	9	
117	412073	2	S-P12073	V37	9	
118	412075	2	S-P12075	V37	9	
119	536813	2	T-P36813	V37	9	
120	511690	2	T-P11690	V37	9	
121	418293	2	S-P18293	V37	9	
122	322293	2	R-P22293	V37	9	
123	412049	2	S-P12049	V37	9	
124	417960	2	S-P17960	V37	9	
125	418277	2	S-P18277	V37	9	
126	412076	2	S-P12076	V37	9	
127	412078	2	S-P12078	V37	9	
128	418290	2	S-P18290	V37	9	
129	412074	2	S-P12074	V37	9	
130	504815	2	T-P04815	V37	9	
131	322296	2	R-P22296	V37	9	
132	324649	2	R-P24649	V37	9	
133	315139	2	R-P15139	V37	9	
134	505177	2	T-P05177	V37	9	
135	315136	2	R-P15136	V37	9	
136	323985	2	R-P23985	V37	9	
137	210023	2	Q-P10023	V37	9	
138	315138	2	R-P15138	V37	9	
139	208742	2	Q-P08742	V37	9	
140	324575	2	R-P24575	V37	9	
141	511684	2	T-P11684	V37	9	
142	511687	2	T-P11687	V37	9	
143	323932	2	R-P23932	V37	9	
144	600593	2	U-P00593	V37	9	
145	502594	2	T-P02594	V37	9	
146	411128	2	S-P11128	V37	9	
147	600121	2	U-P00121	V37	9	
148	512301	2	T-P12301	V37	9	
149	315137	2	R-P15137	V37	9	
150	511640	2	T-P11640	V37	9	
151	606048	2	U-P06048	V37	9	
152	511855	2	T-P11855	V37	9	
153	511686	2	T-P11686	V37	9	
154	513241	2	T-P13241	V37	9	
155	504825	2	T-P04825	V37	9	
156	511681	2	T-P11681	V37	9	
157	506989	2	T-P06989	V37	9	
158	210033	2	Q-P10033	V37	9	
159	511860	2	T-P11860	V37	9	
160	323933	2	R-P23933	V37	9	
161	511638	2	T-P11638	V37	9	
162	210030	2	Q-P10030	V37	9	
163	512305	2	T-P12305	V37	9	
164	513235	2	T-P13235	V37	9	
165	600631	2	U-P00631	V37	9	
166	324651	2	R-P24651	V37	9	
167	210029	2	Q-P10029	V37	9	
168	512302	2	T-P12302	V37	9	
169	324648	2	R-P24648	V37	9	
170	511856	2	T-P11856	V37	9	
171	511859	2	T-P11859	V37	9	
172	502595	2	T-P02595	V37	9	
173	600629	2	U-P00629	V37	9	
174	208743	2	Q-P08743	V37	9	
175	606054	2	U-P06054	V37	9	
176	502592	2	T-P02592	V37	9	
177	328993	2	R-P28993	V37	9	
178	527785	2	T-P27785	V37	9	
179	512303	2	T-P12303	V37	9	
180	513237	2	T-P13237	V37	9	
181	606053	2	U-P06053	V37	9	
182	324647	2	R-P24647	V37	9	
183	600115	2	U-P00115	V37	9	
184	324022	2	R-P24022	V37	9	
185	606055	2	U-P06055	V37	9	
186	600594	2	U-P00594	V37	9	
187	315143	2	R-P15143	V37	9	
188	324024	2	R-P24024	V37	9	
189	511689	2	T-P11689	V37	9	
190	315142	2	R-P15142	V37	9	
191	511857	2	T-P11857	V37	9	
