Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	315178	1	R-P15178	V35	8	
2	417978	1	S-P17978	V35	8	
3	417977	1	S-P17977	V35	8	
4	415177	1	S-P15177	V35	8	
5	503127	1	T-P03127	V35	8	
6	505137	1	T-P05137	V35	8	
7	503128	1	T-P03128	V35	8	
8	417979	1	S-P17979	V35	8	
9	511850	1	T-P11850	V35	8	
10	417974	1	S-P17974	V35	8	
11	528146	1	T-P28146	V35	8	
12	505134	1	T-P05134	V35	8	
13	503132	1	T-P03132	V35	8	
14	324613	1	R-P24613	V35	8	
15	503126	1	T-P03126	V35	8	
16	511680	1	T-P11680	V35	8	
17	315170	1	R-P15170	V35	8	
18	511851	1	T-P11851	V35	8	
19	315175	1	R-P15175	V35	8	
20	315174	1	R-P15174	V35	8	
21	515240	1	T-P15240	V35	8	
22	315171	1	R-P15171	V35	8	
23	511848	1	T-P11848	V35	8	
24	515244	1	T-P15244	V35	8	
25	417973	1	S-P17973	V35	8	
26	315172	1	R-P15172	V35	8	
27	515246	1	T-P15246	V35	8	
28	511679	1	T-P11679	V35	8	
29	515247	1	T-P15247	V35	8	
30	315176	1	R-P15176	V35	8	
31	503131	1	T-P03131	V35	8	
32	512314	1	T-P12314	V35	8	
33	511849	1	T-P11849	V35	8	
34	417976	1	S-P17976	V35	8	
35	503129	1	T-P03129	V35	8	
36	512313	1	T-P12313	V35	8	
37	504827	1	T-P04827	V35	8	
38	612219	1	U-P12219	V35	8	
39	515245	1	T-P15245	V35	8	
40	315173	1	R-P15173	V35	8	
41	527851	2	T-P27851	V35	8	
42	527852	2	T-P27852	V35	8	
43	324594	2	R-P24594	V35	8	
44	600620	2	U-P00620	V35	8	
45	511838	2	T-P11838	V35	8	
46	535970	2	T-P35970	V35	8	
47	535972	2	T-P35972	V35	8	
48	324597	2	R-P24597	V	8	
49	309860	3	R-P09860	V35	8	
50	412091	3	S-P12091	V35	8	
51	208150	3	Q-P08150	V35	8	
52	412085	3	S-P12085	V35	8	
53	412104	3	S-P12104	V35	8	
54	418273	3	S-P18273	?	8	
55	415169	3	S-P15169	V35	8	
56	412089	3	S-P12089	V35	8	
57	412093	3	S-P12093	V35	8	
58	412087	3	S-P12087	V35	8	
59	412107	3	S-P12107	V35	8	
60	415172	3	S-P15172	V35	8	
61	415170	3	S-P15170	V35	8	
62	505326	3	T-P05326	V35	8	
63	415168	3	S-P15168	V35	8	
64	412100	3	S-P12100	V35	8	
65	322199	3	R-P22199	V35	8	
66	418274	3	S-P18274	V35	8	
67	315163	3	R-P15163	V35	8	
68	415174	3	S-P15174	V35	8	
69	606057	3	U-P06057	V35	8	
70	420440	3	S-P20440	V35	8	
71	210416	3	Q-P10416	V35	8	
72	503121	3	T-P03121	V35	8	
73	527837	3	T-P27837	V35	8	
74	418271	3	S-P18271	V35	8	
75	505322	3	T-P05322	V35	8	
76	322201	3	R-P22201	V35	8	
77	323912	3	R-P23912	V	8	
78	415171	3	S-P15171	V35	8	
79	323907	3	R-P23907	V35	8	
80	420449	3	S-P20449	V35	8	
81	415117	3	S-P15117	V35	8	
82	527838	3	T-P27838	V35	8	
83	536822	3	T-P36822	V35	8	
84	412086	3	S-P12086	V35	8	
85	415173	3	S-P15173	V35	8	
86	412095	3	S-P12095	V35	8	
87	412106	3	S-P12106	V35	8	
88	418272	3	S-P18272	V35	8	
89	420434	3	S-P20434	V	8	
90	415160	3	S-P15160	V35	8	
91	412094	3	S-P12094	V35	8	
92	209996	3	Q-P09996	V35	8	
93	315169	3	R-P15169	V35	8	
94	511673	3	T-P11673	V35	8	
95	208773	3	Q-P08773	V35	8	
96	322307	3	R-P22307	V35	8	
97	503130	3	T-P03130	V35	8	
98	208769	3	Q-P08769	V35	8	
99	420448	3	S-P20448	V35	8	
100	209993	3	Q-P09993	V35	8	
101	322308	3	R-P22308	V35	8	
102	600621	3	U-P00621	V35	8	
103	315158	3	R-P15158	V35	8	
104	606399	3	U-P06399	V	8	
105	328990	3	R-P28990	V35	8	
106	511678	3	T-P11678	V35	8	
107	511672	3	T-P11672	V35	8	
108	600618	3	U-P00618	V35	8	
109	600619	3	U-P00619	V35	8	
110	315177	3	R-P15177	V35	8	
111	323961	3	R-P23961	V	8	
112	322303	3	R-P22303	V35	8	
113	322304	3	R-P22304	V35	8	
114	407351	3	S-P07351	V35	8	
115	503123	3	T-P03123	V35	8	
116	412092	3	S-P12092	V35	8	
117	515237	3	T-P15237	V35	8	
118	315166	3	R-P15166	V35	8	
119	315168	3	R-P15168	V35	8	
120	511854	3	T-P11854	V35	8	
121	420442	3	S-P20442	V35	8	
122	512308	3	T-P12308	V35	8	
123	527840	3	T-P27840	V35	8	
124	328989	3	R-P28989	V35	8	
125	536825	3	T-P36825	V35	8	
126	503124	3	T-P03124	V35	8	
127	502599	3	T-P02599	V35	8	
128	506980	3	T-P06980	V35	8	
129	506974	3	T-P06974	V35	8	
130	615820	3	U-P15820	V	8	
131	208774	3	Q-P08774	V35	8	
132	600289	3	U-P00289	V35	8	
133	512306	3	T-P12306	V35	8	
134	324599	3	R-P24599	V35	8	
135	511840	3	T-P11840	V35	8	
136	513254	3	T-P13254	V35	8	
137	328987	3	R-P28987	V35	8	
138	515238	3	T-P15238	V35	8	
139	411166	3	S-P11166	V35	8	
140	411169	3	S-P11169	V35	8	
141	322306	3	R-P22306	V35	8	
142	315161	3	R-P15161	V35	8	
143	315160	3	R-P15160	V35	8	
144	506971	3	T-P06971	V35	8	
145	606056	3	U-P06056	V35	8	
146	328991	3	R-P28991	V35	8	
147	515243	3	T-P15243	V35	8	
148	513258	3	T-P13258	V35	8	
149	420445	3	S-P20445	V35	8	
150	511837	3	T-P11837	V35	8	
151	515266	3	T-P15266	V35	8	
152	315164	3	R-P15164	V35	8	
153	515241	3	T-P15241	V35	8	
154	324603	3	R-P24603	V35	8	
155	411168	3	S-P11168	V35	8	
156	506979	3	T-P06979	V35	8	
157	511675	3	T-P11675	V35	8	
158	512311	3	T-P12311	V35	8	
159	527839	3	T-P27839	V35	8	
160	504826	3	T-P04826	V35	8	
161	420446	3	S-P20446	V35	8	
162	504831	3	T-P04831	V35	8	
