Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	511493	1	T-P11493	V39	11	
2	504751	1	T-P04751	V39	11	
3	419753	1	S-P19753	V39	11	
4	504754	1	T-P04754	V39	11	
5	504753	1	T-P04753	V39	11	
6	504757	1	T-P04757	V39	11	
7	208542	2	Q-P08542	V39	11	
8	517228	3	T-P17228	V39	11	
9	517222	3	T-P17222	V	11	
10	517220	3	T-P17220	V	11	
11	420416	3	S-P20416	V39	11	
12	517226	3	T-P17226	V	11	
13	517224	3	T-P17224	V39	11	
14	517232	3	T-P17232	V39	11	
15	207071	3	Q-P07071	V39	11	
16	517221	3	T-P17221	V	11	
17	420231	3	S-P20231	V	11	
18	307589	4	R-P07589	V39	11	
19	324508	4	R-P24508	V39	11	
20	605024	4	U-P05024	V39	11	
21	506543	4	T-P06543	V39	11	
22	505977	5	T-P05977	V39	11	
23	323951	5	R-P23951	V39	11	
24	505964	5	T-P05964	V39	11	
25	213521	5	Q-P13521	V39	11	
26	213525	5	Q-P13525	V39	11	
27	522475	5	T-P22475	V39	11	
28	213518	5	Q-P13518	V39	11	
29	324469	5	R-P24469	V	11	
30	505972	5	T-P05972	V39	11	
31	505974	5	T-P05974	V39	11	
32	522474	5	T-P22474	V39	11	
33	213530	5	Q-P13530	V39	11	
34	522469	5	T-P22469	V39	11	
35	213527	5	Q-P13527	V39	11	
36	509644	5	T-P09644	V39	11	
37	415157	5	S-P15157	V	11	
38	210125	5	Q-P10125	V39	11	
39	213516	5	Q-P13516	V39	11	
40	324688	5	R-P24688	V39	11	
41	536759	5	T-P36759	V39	11	
42	505966	5	T-P05966	V39	11	
43	324661	5	R-P24661	V39	11	
44	522461	5	T-P22461	V39	11	
45	536758	5	T-P36758	V39	11	
46	505965	5	T-P05965	V39	11	
47	536753	5	T-P36753	V39	11	
48	323997	5	R-P23997	V39	11	
49	209913	5	Q-P09913	V39	11	
50	324662	5	R-P24662	V39	11	
51	511637	6	T-P11637	V	11	
52	421809	6	S-P21809	V	11	
53	535974	6	T-P35974	V39	11	
54	504814	6	T-P04814	V39	11	
55	418289	6	S-P18289	V	11	
