Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	511949	1	T-P11949	V11	1	
2	512298	1	T-P12298	V11	1	
3	505961	2	T-P05961	V11	1	
4	209921	2	Q-P09921	V	1	
5	322340	2	R-P22340	?	1	
6	435338	2	S-P35338	?	1	
7	209917	2	Q-P09917	V	1	
8	209918	2	Q-P09918	?	1	
9	435337	2	S-P35337	?	1	
10	209920	3	Q-P09920	V	1	
11	600531	3	U-P00531	?	1	
12	503110	3	T-P03110	?	1	
13	527777	3	T-P27777	?	1	
14	322339	3	R-P22339	?	1	
15	503107	3	T-P03107	?	1	
16	600529	3	U-P00529	?	1	
17	315123	3	R-P15123	?	1	
18	315125	3	R-P15125	?	1	
19	536846	3	T-P36846	V	1	
20	323777	3	R-P23777	?	1	
21	504879	3	T-P04879	?	1	
22	511547	3	T-P11547	?	1	
23	511544	3	T-P11544	?	1	
24	420222	3	S-P20222	?	1	
25	511546	3	T-P11546	?	1	
26	411763	3	S-P11763	?	1	
27	324474	3	R-P24474	?	1	
28	209919	3	Q-P09919	?	1	
29	600528	3	U-P00528	?	1	
30	600530	3	U-P00530	?	1	
31	511545	3	T-P11545	?	1	
32	412040	4	S-P12040	V	1	
33	503089	4	T-P03089	?	1	
34	532455	4	T-P32455	?	1	
35	412042	4	S-P12042	?	1	
36	504880	4	T-P04880	?	1	
37	202779	4	Q-P02779	?	1	
38	531619	4	T-P31619	?	1	
39	417950	4	S-P17950	?	1	
40	504877	4	T-P04877	?	1	
41	315114	4	R-P15114	?	1	
42	202785	4	Q-P02785	?	1	
43	315118	4	R-P15118	?	1	
44	503101	4	T-P03101	?	1	
45	513304	4	T-P13304	?	1	
46	532469	4	T-P32469	?	1	
47	504882	4	T-P04882	?	1	
48	531620	4	T-P31620	?	1	
49	531622	4	T-P31622	?	1	
50	531610	4	T-P31610	?	1	
51	531625	4	T-P31625	?	1	
52	532472	4	T-P32472	?	1	
53	504876	4	T-P04876	?	1	
54	531608	4	T-P31608	?	1	
55	420229	4	S-P20229	V	1	
56	531611	4	T-P31611	?	1	
57	412041	4	S-P12041	?	1	
58	532458	4	T-P32458	?	1	
59	531609	4	T-P31609	?	1	
60	532467	4	T-P32467	?	1	
61	532466	4	T-P32466	?	1	
62	531623	4	T-P31623	?	1	
63	503097	4	T-P03097	?	1	
64	531605	4	T-P31605	?	1	
65	531617	4	T-P31617	?	1	
66	513306	4	T-P13306	V	1	
67	504881	4	T-P04881	?	1	
68	207031	4	Q-P07031	?	1	
69	504874	4	T-P04874	?	1	
70	315119	4	R-P15119	?	1	
71	315102	4	R-P15102	?	1	
72	315103	4	R-P15103	?	1	
73	315120	4	R-P15120	?	1	
74	532459	4	T-P32459	?	1	
75	532454	4	T-P32454	?	1	
76	532461	4	T-P32461	?	1	
77	202786	4	Q-P02786	?	1	
78	532465	4	T-P32465	?	1	
79	504875	4	T-P04875	?	1	
80	532463	4	T-P32463	?	1	
81	513305	4	T-P13305	?	1	
82	315115	4	R-P15115	?	1	
83	202792	4	Q-P02792	?	1	
84	503088	4	T-P03088	?	1	
85	315109	4	R-P15109	?	1	
86	315110	4	R-P15110	?	1	
87	532471	4	T-P32471	?	1	
88	202793	4	Q-P02793	?	1	
89	315121	4	R-P15121	?	1	
90	532468	4	T-P32468	?	1	
91	315106	4	R-P15106	?	1	
92	324468	4	R-P24468	V	1	
93	202788	4	Q-P02788	?	1	
94	315104	4	R-P15104	?	1	
95	532457	4	T-P32457	?	1	
96	503095	4	T-P03095	?	1	
97	532456	4	T-P32456	?	1	
98	503090	4	T-P03090	?	1	
99	315111	4	R-P15111	?	1	
100	513302	4	T-P13302	?	1	
101	202794	4	Q-P02794	?	1	
102	513307	4	T-P13307	?	1	
103	504887	4	T-P04887	?	1	
104	532460	4	T-P32460	?	1	
