Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	606050	1	U-P06050	V15	4	
2	606052	1	U-P06052	V15	4	
3	512296	1	T-P12296	V15	4	
4	512297	1	T-P12297	V15	4	
5	606051	1	U-P06051	V15	4	
6	606049	1	U-P06049	V15	4	
7	208735	2	Q-P08735	V15	4	
8	208738	2	Q-P08738	V15	4	
9	527812	2	T-P27812	V15	4	
10	527823	2	T-P27823	V15	4	
11	208739	2	Q-P08739	V15	4	
12	208736	2	Q-P08736	V15	4	
13	207852	3	Q-P07852	V15	4	
14	207851	3	Q-P07851	V15	4	
15	512077	3	T-P12077	V15	4	
16	512108	3	T-P12108	V15	4	
17	503533	3	T-P03533	V15	4	
18	512054	3	T-P12054	V15	4	
19	512078	3	T-P12078	V15	4	
20	210055	3	Q-P10055	V15	4	
21	536788	4	T-P36788	V15	4	
22	536789	4	T-P36789	V15	4	
23	324620	4	R-P24620	V15	4	
24	532599	4	T-P32599	V15	4	
25	320923	4	R-P20923	V15	4	
26	533535	4	T-P33535	V15	4	
27	533537	4	T-P33537	V15	4	
28	532598	4	T-P32598	V15	4	
29	510447	4	T-P10447	V15	4	
30	324860	5	R-P24860	V15	4	
31	419648	5	S-P19648	V15	4	
32	512104	5	T-P12104	V15	4	
33	503469	5	T-P03469	V15	4	
34	503503	5	T-P03503	V15	4	
35	210051	5	Q-P10051	V15	4	
36	424422	5	S-P24422	V15	4	
37	324852	5	R-P24852	V15	4	
38	600734	5	U-P00734	V15	4	
39	512097	5	T-P12097	V15	4	
40	503470	5	T-P03470	V15	4	
41	503472	5	T-P03472	V15	4	
42	503512	5	T-P03512	V15	4	
43	527948	5	T-P27948	V15	4	
44	512095	5	T-P12095	V15	4	
45	503480	5	T-P03480	V15	4	
46	424437	5	S-P24437	V15	4	
47	515408	5	T-P15408	V15	4	
48	503492	5	T-P03492	V15	4	
49	503468	5	T-P03468	V15	4	
50	324846	5	R-P24846	V15	4	
51	503479	5	T-P03479	V15	4	
52	210065	5	Q-P10065	V15	4	
53	515406	5	T-P15406	V15	4	
54	210060	5	Q-P10060	V15	4	
55	324791	5	R-P24791	V15	4	
56	503471	5	T-P03471	V15	4	
57	503473	5	T-P03473	V15	4	
58	503482	5	T-P03482	V15	4	
59	210070	5	Q-P10070	V15	4	
60	527807	6	T-P27807	V15	4	
61	210046	6	Q-P10046	V15	4	
62	533567	6	T-P33567	V15	4	
63	210052	6	Q-P10052	V15	4	
64	324001	6	R-P24001	V15	4	
65	210327	6	Q-P10327	V15	4	
66	324008	6	R-P24008	V15	4	
67	512050	6	T-P12050	V15	4	
68	323856	6	R-P23856	V15	4	
69	419642	6	S-P19642	V15	4	
70	533564	6	T-P33564	V15	4	
71	321297	6	R-P21297	V15	4	
72	533565	6	T-P33565	V15	4	
73	533561	6	T-P33561	V15	4	
74	210043	6	Q-P10043	V15	4	
75	512088	6	T-P12088	V15	4	
76	210036	6	Q-P10036	V15	4	
77	512099	6	T-P12099	V15	4	
78	536778	6	T-P36778	V15	4	
79	533545	6	T-P33545	V15	4	
80	321300	6	R-P21300	V15	4	
81	210042	6	Q-P10042	V15	4	
82	324006	6	R-P24006	V15	4	
83	533562	6	T-P33562	V15	4	
84	324010	6	R-P24010	V15	4	
85	210054	6	Q-P10054	V15	4	
