Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
1	536806	1	T-P36806	V34	7	
2	210074	1	Q-P10074	V34	7	
3	536812	1	T-P36812	V34	7	
4	323959	1	R-P23959	V34	7	
5	324614	1	R-P24614	V34	7	
6	532616	1	T-P32616	V34	7	
7	322282	1	R-P22282	V34	7	
8	600423	1	U-P00423	V34	7	
9	532622	1	T-P32622	V34	7	
10	209995	2	Q-P09995	V34	7	
11	322314	2	R-P22314	V34	7	
12	209989	2	Q-P09989	V34	7	
13	322313	2	R-P22313	V34	7	
14	515267	2	T-P15267	V34	7	
15	615844	2	U-P15844	V34	7	
16	615821	2	U-P15821	V34	7	
17	615845	2	U-P15845	V34	7	
18	615819	2	U-P15819	V34	7	
19	616371	2	U-P16371	V34	7	
20	615822	2	U-P15822	V34	7	
21	507866	3	T-P07866	V	7	
22	420436	3	S-P20436	V34	7	
23	420444	3	S-P20444	V34	7	
24	412097	3	S-P12097	V34	7	
25	420447	3	S-P20447	V34	7	
26	511846	3	T-P11846	V34	7	
27	420441	3	S-P20441	V34	7	
28	511845	3	T-P11845	V34	7	
29	527833	3	T-P27833	V34	7	
30	511842	3	T-P11842	V34	7	
31	420450	3	S-P20450	V34	7	
32	527834	3	T-P27834	V34	7	
33	210002	4	Q-P10002	V	7	
34	211853	4	Q-P11853	V34	7	
35	502916	4	T-P02916	V34	7	
36	209999	4	Q-P09999	V	7	
37	211857	4	Q-P11857	V34	7	
38	502918	4	T-P02918	V34	7	
39	502917	4	T-P02917	V34	7	
40	505333	5	T-P05333	V34	7	
41	210411	5	Q-P10411	V	7	
42	513097	5	T-P13097	V34	7	
43	513101	5	T-P13101	V34	7	
44	513103	5	T-P13103	V	7	
45	412103	5	S-P12103	V	7	
46	210409	5	Q-P10409	V	7	
47	505332	5	T-P05332	V34	7	
48	507881	5	T-P07881	V34	7	
49	505335	5	T-P05335	V	7	
50	212632	5	Q-P12632	V	7	
51	513102	5	T-P13102	V	7	
52	505336	5	T-P05336	V	7	
53	513099	5	T-P13099	V34	7	
54	513100	5	T-P13100	V34	7	
55	505334	5	T-P05334	V34	7	
