Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
166	424286	2	S-P24286	V38	10	
167	600114	2	U-P00114	V38	10	
168	208768	2	Q-P08768	V38	10	
169	503075	2	T-P03075	V38	10	
170	522334	2	T-P22334	V38	10	
171	324676	2	R-P24676	V38	10	
172	518091	2	T-P18091	V38	10	
173	512291	2	T-P12291	V38	10	
174	512286	2	T-P12286	V38	10	
175	411152	2	S-P11152	V38	10	
176	517238	2	T-P17238	V38	10	
177	616704	2	U-P16704	V38	10	
178	616703	2	U-P16703	V38	10	
179	511874	2	T-P11874	V38	10	
180	506627	2	T-P06627	V38	10	
181	421801	2	S-P21801	V38	10	
182	600109	2	U-P00109	V38	10	
183	610328	2	U-P10328	V38	10	
184	523959	2	T-P23959	V38	10	
185	208754	2	Q-P08754	V38	10	
186	329000	2	R-P29000	V38	10	
187	421802	2	S-P21802	V38	10	
188	208766	2	Q-P08766	V38	10	
189	522327	2	T-P22327	V38	10	
190	517234	2	T-P17234	V38	10	
191	517236	2	T-P17236	V38	10	
192	421800	2	S-P21800	V38	10	
193	515413	2	T-P15413	V38	10	
194	511668	2	T-P11668	V38	10	
195	522340	2	T-P22340	V	10	
196	411157	2	S-P11157	V38	10	
197	613628	2	U-P13628	V38	10	
198	324576	2	R-P24576	V38	10	
199	504817	2	T-P04817	V38	10	
200	504821	2	T-P04821	V38	10	
201	522326	2	T-P22326	V38	10	
202	600602	2	U-P00602	V38	10	
203	527869	2	T-P27869	V38	10	
204	421798	2	S-P21798	V38	10	
205	511645	2	T-P11645	V38	10	
206	527870	2	T-P27870	V38	10	
207	522343	2	T-P22343	V38	10	
208	522328	2	T-P22328	V38	10	
209	523967	2	T-P23967	V38	10	
210	517240	2	T-P17240	V38	10	
211	208758	2	Q-P08758	V38	10	
212	512292	2	T-P12292	V38	10	
213	208765	2	Q-P08765	V38	10	
214	411139	2	S-P11139	V	10	
215	522356	2	T-P22356	V38	10	
216	511665	2	T-P11665	V38	10	
217	208767	2	Q-P08767	V38	10	
218	421799	2	S-P21799	V	10	
219	600611	2	U-P00611	V38	10	
220	600107	2	U-P00107	V38	10	
221	522336	2	T-P22336	V38	10	
222	411159	2	S-P11159	V38	10	
223	522359	2	T-P22359	V38	10	
224	616706	2	U-P16706	V38	10	
225	522338	2	T-P22338	V38	10	
226	328995	2	R-P28995	V38	10	
227	511666	2	T-P11666	V38	10	
228	600610	2	U-P00610	V38	10	
229	518092	2	T-P18092	V38	10	
230	512290	2	T-P12290	V38	10	
231	518960	2	T-P18960	V38	10	
232	606409	2	U-P06409	V38	10	
233	411153	2	S-P11153	V38	10	
234	522363	2	T-P22363	V38	10	
235	616702	2	U-P16702	V38	10	
236	522333	2	T-P22333	V38	10	
237	511881	2	T-P11881	V	10	
238	600113	2	U-P00113	V38	10	
239	208763	2	Q-P08763	V38	10	
240	523969	2	T-P23969	V38	10	
241	324573	2	R-P24573	V38	10	
242	600603	2	U-P00603	V38	10	
243	512287	2	T-P12287	V38	10	
244	600116	2	U-P00116	V38	10	
245	411150	2	S-P11150	V38	10	
246	600609	2	U-P00609	V38	10	
247	522358	2	T-P22358	V38	10	
248	504823	2	T-P04823	V38	10	
249	522342	2	T-P22342	V38	10	
250	208755	2	Q-P08755	V38	10	
251	600110	2	U-P00110	V38	10	
252	411161	2	S-P11161	V38	10	
253	600111	2	U-P00111	V38	10	
254	512289	2	T-P12289	V38	10	
255	506628	2	T-P06628	V38	10	
256	328999	2	R-P28999	V38	10	
257	208756	2	Q-P08756	V38	10	
258	324574	2	R-P24574	V38	10	
259	600108	2	U-P00108	V38	10	
260	209947	2	Q-P09947	V38	10	
261	502602	2	T-P02602	V38	10	
262	208761	2	Q-P08761	V38	10	
263	511667	2	T-P11667	V38	10	
264	522360	2	T-P22360	V38	10	
265	615570	2	U-P15570	V38	10	
266	616705	2	U-P16705	V38	10	
