Alliance,Association,Autores
Scleranthion annui,Spergulario purpureae-Arnoseridetum minimae,Rivas-Martínez & C. Rivas-Martínez 1970
Senecionion fluviatilis,Arundini donacis-Convolvuletum sepium,Tüxen & Oberdorfer ex O. Bolòs 1962
Senecionion fluviatilis,Solano dulcamarae-Epilobietum hirsuti,"Biurrun, García-Mijangos, Benito Crespo & Fernández-González 2008"
Sisymbrion officinalis,Bromo diandri-Carduetum tenuiflori,Ortiz inéd.
Sisymbrion officinalis,Hordeetum murini,Libbert 1933
Sisymbrion officinalis,Sisymbrio officinalis-Hordeetum murini,Br.-Bl. 1967
Spergulo arvensis-Erodion cicutariae,Amarantho hybridi-Chenopodietum polyspermi,Tüxen & Oberdofer 1958
Spergulo arvensis-Erodion cicutariae,Lamio dissecti-Panicetum cruris-galli,Tüxen & Oberdorfer 1958
Spergulo arvensis-Erodion cicutariae,Setario verticillatae-Echinochloetum cruris-galli,Bartolomé & Martínez-Parras 1985
Echio-Galactition tomentosae,Coleostepho myconis-Galactitetum tomentosae,Izco & Collado 1985
Carduo carpetani-Cirsion odontolepidis,Carduo carpetani-Onopordetum acanthii,"Rivas-Martínez, Penas & T.E. Díaz 1986"
Convolvulo arvensis-Agropyrion repentis,Cardario drabae-Agropyretum repentis,Müller & Görs 1969
Chenopodion muralis,Chenopodio muralis-Malvetum parviflorae,Lohmeyer & Trautmann 1970
Chenopodion muralis,Chenopodio albi-Conyzetum sumatrensis,Carretero 1994
Chenopodion muralis,Sisymbrietum erysimoidis,"(Ladero, Socorro, Molero, M.López, Zafra, Marín, Hurtado & Pérez-Raya 1981) Rivas-Martínez & Ladero ass. nova (addenda)"
Chenopodion muralis,Urtico urentis-Malvetum neglectae,(Knapp 1945) Lohmeyer in Tüxen 1950
Caucalidion lappulae,Biforo radiantis-Centaureetum cyani,"Vigo, Carreras, Carrillo & I. Soriano in Carreras, Carrillo, X. Font, Masalles, Ninot, I. Soriano & Vigo 1998"
Caucalidion lappulae,Caucalido lappulae-Neslietum apiculatae,Tüxen & Oberdorfer 1958
