Alliance (Mucina et al. 2016),Association,Authors of associations,Original association names,Taxonomic references used to revise association names
Bidention tripartitae,Gnaphalio uliginosae-Bidentetum frondosae,Amigo 2006 nom. mut. nov.,"Filaginello uliginosae-Bidentetum tripartitae, Amigo 2006.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Bidention tripartitae,Persicario hydropiperis-Bidentetum tripartitae,"Sissingh in Westhoff, van Dijk, Passchier & Sissingh 1946 nom. mut. nov.","Polygono hydropiperis-Bidentetum tripartitae, Sissingh in Westhoff, van Dijk, Passchier & Sissingh 1946.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Bidention tripartitae,Xanthio italici-Persicarietum maculosae,O. Bolòs 1957 nom. mut. nov.,"Xanthio italici-Polygonetum persicariae, O. Bolòs 1957.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Carduo carpetani-Cirsion odontolepidis,Carduo carpetani-Onopordetum acanthii,"Rivas-Martínez, Penas & T.E. Díaz 1986",,
Chenopodion muralis,Chenopodiastro muralis-Malvetum parviflorae,Lohmeyer & Trautmann 1970 nom. mut. nov.,"Chenopodio muralis-Malvetum parviflorae, Lohmeyer & Trautmann 1970.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Chenopodion muralis,Chenopodio albi-Erigerontetum sumatrensis,Carretero 1994 nom. mut. nov.,"Chenopodio albi-Conyzetum sumatrensis, Carretero 1994., Br.-Bl. 1936.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Chenopodion muralis,Sisymbrietum erysimoidis,"(Ladero, Socorro, Molero, M.López, Zafra, Marín, Hurtado & Pérez-Raya 1981) Rivas-Martínez & Ladero ass. nova (addenda)",,
Chenopodion muralis,Urtico urentis-Malvetum neglectae,(Knapp 1945) Lohmeyer in Tüxen 1950,,
Cirsion richterano-chodati,Carduo nutantis-Cirsietum chodati,"Rivas-Martínez & F. Prieto in Penas, T.E. Díaz, M.E. García, López Pacheco, Puente & L. Herrero 1988",,
Cirsion richterano-chodati,Carduo nutantis-Cirsietum richterani,Loidi 1983,,
Cirsion richterano-chodati,Cirsio chodati-Carduetum cantabrici,"Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984",,
Cirsion richterano-chodati,Cirsio chodati-Carduetum carpetani,"Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984",,
Cymbalario-Asplenion,Cymbalarietum muralis,Görs 1966,,
Cymbalario-Asplenion,Cymbalario-Trachelietum caerulei,Rivas-Martínez 1969,,
Dauco-Melilotion,Echio rosulati-Picridetum echioidis,P. Alves & J. Honrado,,
Dauco-Melilotion,Helminthio echioidis-Melilotetum albae,Loidi & C. Navarro 1988,,
Echio-Galactition tomentosae,Coleostepho myconis-Galactitetum tomentosae,Izco & Collado 1985,,
Epilobion angustifolii,Asphodelo arrondeaui-Epilobietum angustifolii,"Izco, J. Guitián & Amigo 1986 corr. Izco & Amigo 2001",,
Galio valantiae-Parietarion judaicae,Centrantho-Hypericetum hircini,Rivas-Martínez 1969,,
Galio valantiae-Parietarion judaicae,Hedero-Polypodietum cambrici,Loriente Escallada 1985,,
Galio valantiae-Parietarion judaicae,Parietarietum judaicae,K. Buchwald 1952,,
Geo urbani-Alliarion officinalis,Geranietum robertiano-lucidi,"Loidi, Berastegi, Biurrun, García-Mijangos & Herrera 1995",,
Geo urbani-Alliarion officinalis,Geranio robertiani-Caryolophetum sempervirentis,"Izco, J. Guitián & Amigo 1986",,
Geo urbani-Alliarion officinalis,Oxalido acetosellae-Geranietum robertiani,"Loidi, Berastegi, Biurrun, García Mijangos & Herrera 1996",,
Geranio pusilli-Anthriscion caucalidis,Anthrisco caucalidis-Geranietum lucidi,O. Bolòs & Vigo in O. Bolòs 1967,,
Geranio pusilli-Anthriscion caucalidis,Galio-Anthriscetum caucalidis,Rivas-Martínez 1978,,
Linario polygalifoliae-Vulpion alopecuri,Scrophulario frutescentis-Vulpietum alopecuroris,"Br.-Bl., Rozeira & P. Silva in Br.-Bl., G. Br.-Bl., Rozeira & P. Silva 1972",,
Oxalidion europeae,Fumario capreolatae-Veronicetum persicae,"Aedo, Herrera, F. Prieto & T.E. Díaz 1988",,
Oxalidion europeae,Holosteo umbellati-Veronicetum persicae,"Penas, T.E. Díaz, C. Pérez, Puente, M.E. García & Terrón 1988",,
Oxalidion europeae,Lamio amplexicaulis-Veronicetum hederifoliae,"Aedo, Herrera, F. Prieto & T.E. Díaz 1988",,
Paspalo-Agrostion semiverticillati,Paspalo distichi-Polypogonetum viridis,Br.-Bl. 1936 nom. mut. nov.,"Paspalo distichi-Agrostietum verticillatae, Br.-Bl. 1936.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Polycarpion tetraphylli,Crassulo tillaeae-Saginetum apetalae,Rivas-Martínez 1975,,
Polycarpion tetraphylli,Polycarpo tetraphylli-Cotuletum australis,"Wildpret, Pérez de Paz, Del Arco & García Gallo 1988",,
Polycarpion tetraphylli,Poo annuae-Spergularietum marinae,"Herrera, Aedo, T.E.Díaz & F. Prieto 1988 nom. corr.","Poo annuae-Spergularietum salinae, Herrera, Aedo, T.E.Díaz & F. Prieto 1988 nom. inept.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Polygono-Coronopodion,Lepidio squamati-Sclerochloetum durae,"Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936 nom. mut. nov.","Coronopodo procumbentis-Sclerochloetum durae, Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Polygono-Coronopodion,Matricario-Polygonetum arenastri,Müller ex Oberdorfer 1971 corr. Passarge 1996,,
