Authors	Year	Title	Publication
"Guitián, J.; Guitián, P."	1989	La influencia de las colonias de aves marinas en la vegetación de los acantilados del noroeste ibérico.	"Bol. Soc. Brot., Sér 2, 62:"
"Guitián, P."	1989	Ecosistemas litorales del noroeste de la Península Ibérica: Complejos de vegetación psamífila e higrófila.	"Memoria Doctoral, Fac. Biología Univ. Santiago de Compostela, 273"
"Herrera, Mercedes"	1995	Estudio de la vegetación y flora vascular de la cuenca del río Asón (Cantabria).	" Guineana, 1: 1-453."
"Herrera, Mercedes; Aedo, Carlos; Díaz, Tomás E. & Fernández-Prieto, José A."	1988	Una nueva asociación cantábrica de la clase Polygono-Poetea annuae: Poo annuae-Spergularietum salinae.	" Acta Bot. Malacitana, 13:326-332."
"Herrero Cembranos, Luís"	1989	Flora y vegetación de la margen izquierda de la cuenca alta del río Pisuerga (Palencia).	" Tesis doctoral Universidad de León, Facultad de Biología, 569"
"Honrado, J.; Alves, P.; Lomba, A.; Rocha, I.; Torres, J.; Ortiz, S. & Barreto Caldas, F."	2004	A new association of perennial nitrophilous vegetation from North-Western Iberian Peninsula.	Acta Botanica Gallica vol. 151(4):
"Honrado, J.; Alves, P.; Nepomuceno, H. & Barreto Caldas, F."	2002	XXXIII: Ten new syntaxa from the Miniensean biogeographic subsector (northwestern Portugal). In. Notas do Herbário da Estação Florestal Nacional (LISFA): Fasc. XVI	Silva Lusitana 10(2):
"Honrado, João; Alves, Paulo & Barreto Caldas, Francisco"	2003	"Sagino procumbentis-Sibthorpietum europaeae, a new association within Montio fontanae-Cardaminetea amarae from Northwestern Portugal."	" Lazaroa, 24:"
"Izco J., J. Guitián & J. Amigo"	1987	Datos sobre la vegetación herbácea del Caurel (Lugo).	 Studia Bot. Univ. Salamanca 5:
"Izco, J."	1982	"Linario amethysteae-Calenduletum, asociación de los viñedos mediterráneos gallegos."	An. Real Acad. Farm. 48:
"Izco, J.; Amigo, J.; Guitián Rivera, J.; Rodríguez Oubiña, J.; Ortiz, S."	1982	Guia de la excursion. II Jornadas de fitosociologia.	"II Jornadas de fitosociologia. Santiago 23-26 de junio, 1982. 42"
"Izco, J.; Collado, M."	1985	Los herbazales con Galactites tomentosa (Coleostepho myconis-Galactitetum) del noroeste ibérico (Prov. Cántabro-Atlántica)	"Colloques Phytosociologiques, XII:"
"Izco, J.; Rodríguez-Dacal, C.; Sánchez, J.M."	1994	Análisis geobotánico de las Caldas de Lugo. Estudios sobre el Balneario de Lugo.	Memoria de la Real Academia de Farmacia 20:
"Lazare, J.J."	2005	Miscellanées phytosociologiques.	J. Bot. Soc. Bot. France 31:
"Lazare, J.J."	2010	Le Picrido hieracioidis-Eupatorietum cannabini Loidi & N. Navarro 1988: habitat naturel d'intérêt communautaire méconnu en France.	J. Bot. Soc. Bot. France 49:
"Lence Paz, C."	2001	Evaluación del estado de conservación de la vegetación del Valle de Valdeburón (León). Propuestas de uso y ordenación territorial.	 Memoria doctoral. Universidad de
"Lence Paz, Carmen"	2009	Flora y Vegetación del transecto Acebedo-Maraña-Mampodre (León).	" Llamas, F. & Acedo, C. (eds.) Botánica Pirenaico-Cantábrica en el siglo XXI. Área Puvl. Univ. León. León:"
"Llamas Garcia, Felix"	1984	Flora y vegetación de la Maragateria (León)'.	" Institución Fray Bernardino de Sahagún, : 1-273."
"Loidi Arriegui, Javier; Biurrun Galarraga, Idoia & Herrera Gallastegui, Mercedes"	1997	La vegetación del centro-septentrional de España.	" Itinera Geobot., 9:161-618."
"Loidi, A."	1983	Estudio de la flora y vegetación de las cuencas de los rios Deva y Urola en la provincia de Guipuzcoa.	" Tesi Doctoral,"
"Loidi, J."	1982	Datos sobre la vegetación de Guipúzcoa (País Vasco).	" Lazaroa, 4: 63-90."
"Loidi, J., Berastegi, A., Biurrun, I., García-Mijangos, I. & Herrera, M."	1995	Data on Artemisietea vulgaris in the Basque country.	" Botanica Helvetica, 105: 165-185."
"Loidi, J.; Fernández Prieto, J.A:; Herrera, M.; Bueno, A."	2014	La vegetación de la comarca burgalesa de Espinosa de los Monteros.	"Guineana, Vol. 20:"
"Loidi, Javier & Navarro, Carmen"	1988	Datos sobre las alianzas Dauco-Melilotion Görs 1966 y Convolvulion sepium R.Tx. 1947 en el País Vasco.	" Acta Bot. Barc., 37: 257-264."
"López Pacheco, María José."	1988	Flora y vegetación de las cuencas alta y media del río Curueño (León).	 Institución Fray Bernardino de Sahagun. Diputación provincial de León. pp.
"Mato Iglesias, Maria-Cruz ."	1968	Estudio de la vegetación del partido judicial de Caldas de Reyes .	" Botánica complutensis n 1, 2, 59-114"
"Nava, Herminio."	1988	Flora y vegetación orófila de los Picos de europa.	" Ruizia, 6: 7-243."
"Navarro Andres, F."	1974	La vegetación de la Sierra del Aramo y sus estribaciones (Asturias)	Separata de la Rev. de la Facultad de Ciencias vol. XV: num.
"Navarro Andrés, F. & Valle Gutiérrez, C.J."	1984	Vegetación herbácea del centro-occidente zamorano.	" Studia Botanica, 3:63-177."
"Navarro, C."	1982	Contribución al estudio de la flora y vegetación del Duranguesado y la Busturia (Vizcaya).	Publ. Univ. Complutense de Madrid. Tesis Doct. 398
"Nezadal, W."	1989	La vegetación arvense (Stellarietea mediae) de los cultivos de primavera de Ibe.	" Dissertationes Botanicae, 143: 1-205."
"Onaindia Olalde, Miren"	1986	"Ecología vegetal de las Encartaciones y Macizo del Gorbea, Vizcaya'."	" Universidad del País Vasco, : 1-271."
"Onaindica Olalde, Miren; Olea Baza, Itziar; Martínez Hortal, Emilio & Benito Iza, Iñaki"	1988	Comunidades nitrófilas de los ríos de la província de Vizcaya.	" Acta Bot. Barc., 37: 297-305."
"Ortiz, S."	1986	Series de vegetación y su zonación altitudinal en el macizo de Peña Trevinca y serra do Eixo.	Tesis doctoral. Universidade de Santiago de Compostela.
"Ortiz, S. & Rodríguez-Oubiña, J."	1987	Las comunidades pratenses de Oenanthe crocata L. en Galicia.	Publicaciones de la Universidad de La Laguna. Serie Informes 22:
"Ortiz, S. & Rodríguez-Oubiña, J."	1990	Contribución al conocimiento de la alianza Polycarpion tetraphylli en Portugal.	 Botánica Complutensis
"Penas Merino, Ángel; Díaz González, Tomás E.; García González, Marta E.; López Pacheco, Mª José; Puente García, Emilio & Herrero Cembranos, Luis"	1988	Datos sobre los cardales y tobales (Onoportetea acanthii) en la provincia de León.	" Lazaroa, 10: 65-79."
"Penas Merino, Ángel; Díaz González, Tomás E.; Puente García, Emilio; García González, Marta E. & Terrón Alfonso, Arsenio"	1988	Aportaciones al conocimiento de las comunidades de malas hierbas de cultivo en la província de León.	" Acta Bot. Barc., 37: 317-330."
"Penas, A.; Rivas-Martínez, S.; Díaz González, T.E."	2001	Un itinerario botánico por los alrededores de León.	"Servicio de Publicaciones de la Universidad de León, León."
"Puente García, Emilio"	1988	Flora y vegetación de la cuenca alta del río Sil.	 Instituación Fray Bernardino de Sahagún. Diput. Prov. de León. 536 pp.
"Pulgar, I."	1999	La vegetación de la Baixa Limia y sierras del entorno.	Tesis doctoral. Universidade de Santiago de Compostela.
"Pérez Morales, Carmen"	1988	Flora y vegetación de la cuenca alta del río Bernesga.	 Institución Fray Bernardino de Sahagún. Diput. Prov. de León. 437 pp.
"Rivas Martínez, S."	1969	Vegetatio Hispaniae. Notula I.	" Publ. Inst. Biol. Apl., XLVI: 5-34."
"Rivas Martínez, S.; Penas, A. & Díaz González, T.E."	1986	Datos sobre la vegetación terofítica y nitrófila leonesa. Nota II.	" Acta Bot. Malacitana, 11:273-288."
"Rivas-Martínez, S ; Izco, J & Costa, M"	1971	Sobre la flora y la vegetación del macizo de Peña Ubiña	 Trab. Dep. Botánica y F. Veg. 3:
"Rivas-Martínez, S.; T.E. Diaz; J.A.F. Prieto; J. Loidi & A. Penas"	1984	Los Picos de Europa.	 Ediciones
"Romero Abello, A."	1991	"Contribución al estudio de la flora y vegetación vascular de las cuencas inferiores de los ríos Arlanza, Arlanzón y Carrión (provincias de Palencia y Burgos, España)"	 Tesis doctoral. Universidad complutense de
"Romero Buján, M. I."	1993	"La vegetación del valle del río Cabe (Terra de Lemos, Lugo)"	Tesis Doctoral. Universidade de Santiago de Compostela.
"Romero, C.M."	1983	Flora y vegetación de la cuenca alta del río Luna (León)	"Icona. Monografias 29, 273"
"Romero, M.I. & Amigo, J."	1995	"Las comunidades arvenses del area de Monforte de Lemos (Lugo, NO Península Ibérica); posición sintaxonómica y corológica"	Documents phytosociologiques vol. XV:
"Romero, M.I.; Amigo, J."	1995	Acerca de la vegetación arvense en Galicia: Las comunidades mesegueras.	Stud. bot. 14:
"Tüxen, R. & E. Oberdorfer"	1958	Die Pflanzenwelts Spaniens. Teil II.	" Veröff. Geob. Inst. Rübel Zurich, 32, 328"
