Alliance (Mucina et al. 2016),Association,Authors of associations
Senecionion fluviatilis,Picrido hieracioidis-Eupatorietum cannabini,Loidi & C. Navarro 1988
Dauco-Melilotion,Helminthio echioidis-Melilotetum albae,Loidi & C. Navarro 1988
Dauco-Melilotion,Echio rosulati-Picridetum echioidis,P. Alves & J. Honrado
Echio-Galactition tomentosae,Coleostepho myconis-Galactitetum tomentosae,Izco & Collado 1985
Epilobion angustifolii,Asphodelo arrondeaui-Epilobietum angustifolii,"Izco, J. Guitián & Amigo 1986 corr. Izco & Amigo 2001"
Galio valantiae-Parietarion judaicae,Centrantho-Hypericetum hircini,Rivas-Martínez 1969
Galio valantiae-Parietarion judaicae,Hedero-Polypodietum cambrici,Loriente Escallada 1985
Galio valantiae-Parietarion judaicae,Parietarietum judaicae,K. Buchwald 1952
Geo urbani-Alliarion officinalis,Geranio robertiani-Caryolophetum sempervirentis,"Izco, J. Guitián & Amigo 1986"
Geo urbani-Alliarion officinalis,Geranietum robertiano-lucidi,"Loidi, Berastegi, Biurrun, García-Mijangos & Herrera 1995"
Geo urbani-Alliarion officinalis,Oxalido acetosellae-Geranietum robertiani,"Loidi, Berastegi, Biurrun, García Mijangos & Herrera 1996"
Geranio pusilli-Anthriscion caucalidis,Anthrisco caucalidis-Geranietum lucidi,O. Bolòs & Vigo in O. Bolòs 1967
Geranio pusilli-Anthriscion caucalidis,Galio-Anthriscetum caucalidis,Rivas-Martínez 1978
Linario polygalifoliae-Vulpion alopecuri,Scrophulario frutescentis-Vulpietum alopecuroris,"Br.-Bl., Rozeira & P. Silva in Br.-Bl., G. Br.-Bl., Rozeira & P. Silva 1972"
Oxalidion europeae,Fumario capreolatae-Veronicetum persicae,"Aedo, Herrera, F. Prieto & T.E. Díaz 1988"
Oxalidion europeae,Holosteo umbellati-Veronicetum persicae,"Penas, T.E. Díaz, C. Pérez, Puente, M.E. García & Terrón 1988"
Oxalidion europeae,Lamio amplexicaulis-Veronicetum hederifoliae,"Aedo, Herrera, F. Prieto & T.E. Díaz 1988"
Paspalo-Agrostion semiverticillati,Paspalo distichi-Polypogonetum viridis,Braun-Blanq. 1936 nom. mut.
Polycarpion tetraphylli,Crassulo tillaeae-Saginetum apetalae,Rivas-Martínez 1975
Polycarpion tetraphylli,Polycarpo tetraphylli-Cotuletum australis,"Wildpret, Pérez de Paz, Del Arco & García Gallo 1988"
Polycarpion tetraphylli,Poo annuae-Spergularietum marinae,"Herrera, Aedo, T.E.Díaz & F. Prieto 1988 nom. mut."
Polygono-Coronopodion,Lepidio squamati-Sclerochloetum durae,"Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936 nom. mut."
Polygono-Coronopodion,Matricario-Polygonetum arenastri,Müller ex Oberdorfer 1971 corr. Passarge 1996
Polygono-Coronopodion,Polycarpo tetraphylli-Lepidietum squamati,"Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993 nom. mut."
Saginion procumbentis,Sagino-Bryetum argentei,"Diemont, Sissingh & Westhoff 1940"
Scleranthion annui,Bunio erucagini-Vicietum tetraspermae,"Rivas-Martínez, Izco & Costa 1971"
Scleranthion annui,Catapodietum patentis,"Br.-Bl., P. Silva, Rozeira & Fontes 1952"
Scleranthion annui,Centaureo cyani-Raphanetum raphanistri,"Penas, T.E. Díaz, P. Morales, Puente, M.E. García & Terrón 1988 nom. mut."
Scleranthion annui,Glebiono segeti-Raphanetum raphanistri,Bellot 1951 nom. mut.
Scleranthion annui,Linario amethysteae-Calenduletum arvensis,Izco 1982
Scleranthion annui,Linario elegantis-Arnoseridetum minimae,Bellot & Casaseca in Casaseca 1959 nom. mut.
Scleranthion annui,Linario elegantis-Anthoxanthetum aristati,Tüxen & Oberdorfer 1958
Scleranthion annui,Miboro minimae-Arabidopsietum thalianae,Rivas-Martínez & C. Rivas-Martínez 1970
Scleranthion annui,Spergulario purpureae-Arnoseridetum minimae,Rivas-Martínez & C. Rivas-Martínez 1970
Senecionion fluviatilis,Arundini donacis-Calystegio sepium,Tüxen & Oberdorfer ex O. Bolòs 1962 nom. mut.
Senecionion fluviatilis,Solano dulcamarae-Epilobietum hirsuti,"Biurrun, García-Mijangos, Benito Crespo & Fernández-González 2008"
Silybo mariani-Urticion piluliferae,Carduo bourgeani-Silybetum mariani,"Rivas-Martínez ex Rivas-Martínez, Costa & Loidi 1992"
Silybo mariani-Urticion piluliferae,Echio rosulati-Silybetum mariani,"Pulgar, Ortiz & Rodríguez-Oubiña inéd."
Sisymbrion officinalis,Bromo diandri-Carduetum tenuiflori,Ortiz inéd.
Sisymbrion officinalis,Hordeetum murini,Libbert 1933
Sisymbrion officinalis,Sisymbrio officinalis-Hordeetum murini,Br.-Bl. 1967
Spergulo arvensis-Erodion cicutariae,Amarantho hybridi-Lipandretum polyspermae,Tüxen & Oberdofer 1958 nom. mut.
Spergulo arvensis-Erodion cicutariae,Lamio dissecti-Echinochloetum cruris-galli,Tüxen & Oberdorfer 1958 nom. mut.
Spergulo arvensis-Erodion cicutariae,Setario verticillatae-Echinochloetum cruris-galli,Bartolomé & Martínez-Parras 1985
