Releve Number;ReleveID;Name;Cover.percent
21;CS21;Leontodon sp.;0.1
21;CS21;Clinopodium vulgare;0.1
21;CS21;Cardamine hirsuta;0.1
21;CS21;Trifolium repens;1
21;CS21;Plantago lanceolata;0.1
21;CS21;Mentha suaveolens;0.5
21;CS21;Lysimachia arvensis;1
21;CS21;Urtica dioica;1
21;CS21;Sonchus terrenimus;0.1
21;CS21;Dactylis glomerata;2
21;CS21;Cynodon dactylon;2
21;CS21;Lotus corniculatus;1
21;CS21;Melilotus albus;1
22;CS22;Cortaderia selloana;50
22;CS22;Dittrichia viscosa;2
22;CS22;Beta vulgaris subsp.maritima;0.5
22;CS22;Lotus corniculatus;0.5
22;CS22;Leontodon saxatilis;0.1
22;CS22;Senecio vulgaris;0.1
22;CS22;Helmintotheca echioides;0.1
22;CS22;Foeniculum vulgare;1
22;CS22;Calystegia sepium;0.5
22;CS22;Ulex europaeus;2
22;CS22;Dactylis glomerata;1
22;CS22;Agrostis stolonifera;30
22;CS22;Elytrigia atherica;5
22;CS22;Silene vulgaris;0.5
22;CS22;Teucrium scorodonia;0.1
22;CS22;Geranium robertianum;0.5
22;CS22;Euphorbia portlandica;0.1
22;CS22;Rubus ulmifolius aggr.;5
22;CS22;Rumex crispus;2
22;CS22;Medicago orbicularis;0.1
22;CS22;Sonchus terrenimus;0.1
22;CS22;Trifolium repens;0.1
22;CS22;Stenotaphrum secundatum;0.5
22;CS22;Galium mollugo;2
22;CS22;Centaurea nigra;0.5
22;CS22;Medicago sativa;0.5
22;CS22;Lathyrus pratensis;0.1
22;CS22;Potentilla reptans;0.1
23;CS23;Cortaderia selloana;30
23;CS23;Agrostis stolonifera;1
23;CS23;Galium mollugo;0.5
23;CS23;Rubus ulmifolius aggr.;5
23;CS23;Dactylis glomerata;50
23;CS23;Lotus corniculatus;1
23;CS23;Dittrichia viscosa;5
23;CS23;Ulex europaeus;5
23;CS23;Centaurea nigra;1
23;CS23;Equisetum telmateia;10
23;CS23;Rubia peregrina;0.1
23;CS23;Medicago sativa;0.1
23;CS23;Cirsium arvense;0.1
31;CS31;Cortaderia selloana;5
31;CS31;Erica mackayana;5
31;CS31;Erica ciliaris;10
31;CS31;Erica cinera;5
31;CS31;Calluna vulgaris;10
31;CS31;Ulex europaeus;55
31;CS31;Rubus ulmifolius aggr.;5
31;CS31;Salix repens;1
31;CS31;Asphodelus albus;0.5
31;CS31;Smilas aspera;0.5
31;CS31;Laurus nobilis;5
31;CS31;Agrostis capillaris;1
