Euphorbia stricta,Euphorbia platyphyllos
Rhinanthus alectorolophus,Rhinanthus mediterraneus
Verbascum phlomoides,Verbascum thapsus
Doronicum austriacum,Doronicum carpetanum
Achillea thracica,Achillea millefolium
Plantago subulata,Plantago holosteum
Cochlearia officinalis,Cochlearia aestuaria
