"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"27","R-P15140","Sisymbrio officinalis-Hordeetum murini",4,1983,-2.508787101,43.09841323,"1 - UTM1x1 + Elevation",400,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"28","R-P15141","Sisymbrio officinalis-Hordeetum murini",10,1983,-2.476101198,43.18471474,"2 - UTM1x1 + Centroid",120,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"29","R-P15142","Sisymbrio officinalis-Hordeetum murini",4,1983,-2.394417429,42.98260123,"1 - UTM1x1 + Elevation",910,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"30","R-P15143","Sisymbrio officinalis-Hordeetum murini",4,1983,-2.422586771,43.11782149,"1 - UTM1x1 + Elevation",200,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"31","R-P22293","Sisymbrio officinalis-Hordeetum murini",2,1999,-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",390,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"32","R-P22294","Sisymbrio officinalis-Hordeetum murini",2,1999,-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",392,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"33","R-P22295","Sisymbrio officinalis-Hordeetum murini",3,1999,-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"34","R-P22296","Sisymbrio officinalis-Hordeetum murini",2,1999,-8.116205221,41.9316354,"1 - UTM1x1 + Elevation",490,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"35","R-P22297","Sisymbrio officinalis-Hordeetum murini",3,1999,-8.11125611,41.93005582,"1 - UTM1x1 + Elevation",500,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"36","R-P22298","Bromo diandri-Carduetum tenuiflori",10,1999,-7.941424446,41.97892401,"1 - UTM1x1 + Elevation",580,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"37","R-P22299","Bromo diandri-Carduetum tenuiflori",10,1999,-7.943690447,41.97702558,"1 - UTM1x1 + Elevation",590,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"38","R-P24021","Sisymbrio officinalis-Hordeetum murini",2,1986,-6.797279383,42.33951481,"3 - UTM10x10 + Elevation",1000,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"39","R-P24022","Sisymbrio officinalis-Hordeetum murini",2,1986,-6.826874911,42.38715228,"3 - UTM10x10 + Elevation",680,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"40","R-P24023","Sisymbrio officinalis-Hordeetum murini",2,1986,-7.048826985,42.36330962,"3 - UTM10x10 + Elevation",960,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"41","R-P24024","Sisymbrio officinalis-Hordeetum murini",2,1986,-6.792326103,42.33787812,"3 - UTM10x10 + Elevation",950,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"42","R-P24040","Bromo diandri-Carduetum tenuiflori",15,1986,-6.826418776,42.41958264,"3 - UTM10x10 + Elevation",350,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"43","R-P24041","Bromo diandri-Carduetum tenuiflori",15,1986,-6.871727466,42.40545324,"3 - UTM10x10 + Elevation",350,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"44","R-P24042","Bromo diandri-Carduetum tenuiflori",10,1986,-6.859602957,42.40586269,"3 - UTM10x10 + Elevation",350,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"45","R-P24045","Bromo diandri-Carduetum tenuiflori",10,1986,-6.849793121,42.40439221,"3 - UTM10x10 + Elevation",350,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
