"SIVIMID","CANTEUNIS","Original","Alliance","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation"
"Q-P08762","V38Y","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,1990,-4.543611372,42.89815216,"3 - UTM10x10 + Elevation",1070
"Q-P08760","V38Y","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1990,-4.498878138,42.87173158,"3 - UTM10x10 + Elevation",1000
"U-P00603","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,2002,-4.932829752,42.96788147,"1 - UTM1x1 + Elevation",1100
"U-P00604","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,2002,-4.934378278,42.93903997,"1 - UTM1x1 + Elevation",1170
"U-P00601","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",40,2002,-4.916000901,42.89972784,"1 - UTM1x1 + Elevation",1410
"S-P11149","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1989,-4.478014555,43.02328609,"2 - UTM1x1 + Centroid",1170
"T-P06631","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1995,-2.612017576,43.09700882,"1 - UTM1x1 + Elevation",980
"Q-P08755","V38Y",NA,"Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",70,NA,-4.749295633,42.89519337,"3 - UTM10x10 + Elevation",1240
"T-P22331","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-4.822576379,43.05433533,"3 - UTM10x10 + Elevation",1390
"S-P21800","V38Y","Onopordion acanthii","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1981,-6.210751669,42.9733659,"3 - UTM10x10 + Elevation",1290
"T-P17238","V38Y","Rhamno-Juniperetum lyciae","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",NA,1975,-7.105934156,42.75190131,"4 - UTM10x10 + Centroid",979
"T-P17236","V38Y","Rhamno-Juniperetum lyciae","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",NA,1975,-7.228140842,42.75379587,"4 - UTM10x10 + Centroid",898
"U-P16704","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,2009,-5.116788343,43.04026513,"2 - UTM1x1 + Centroid",1120
"U-P00113","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,2001,-5.152963185,43.02158083,"1 - UTM1x1 + Elevation",1560
"T-P06628","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,1995,-2.082350989,43.01834572,"1 - UTM1x1 + Elevation",1120
"T-P12287","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1988,-6.208583593,42.97882923,"3 - UTM10x10 + Elevation",1320
"R-P28997","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,2014,-3.698486559,43.11534549,"1 - UTM1x1 + Elevation",1130
"R-P28996","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",40,2014,-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820
"S-P11155","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1989,-4.451060757,42.92097492,"1 - UTM1x1 + Elevation",1140
"U-P00609","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",40,2002,-5.038905037,42.83817203,"1 - UTM1x1 + Elevation",1140
"S-P11133","V38Y","Senecioni duriaei-Chenopodietum boni-henrici","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",12,1989,-4.341871144,42.97093409,"2 - UTM1x1 + Centroid",1710
"T-P23967","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",5,1982,-1.973740791,43.05524401,"3 - UTM10x10 + Elevation",600
"T-P23968","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",8,1982,-2.141645668,43.16648575,"3 - UTM10x10 + Elevation",900
