"SIVIMID","CANTEUNIS","Original","Alliance","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation"
"R-P24631","V10X","Holosteo umbellati-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",3,2012,-6.815928343,42.44694537,"1 - UTM1x1 + Elevation",402
"S-P15115","V10X",NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,NA,-1.808015186,43.36879982,"2 - UTM1x1 + Centroid",5
"T-P22435","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-3.477017479,43.4028313,"3 - UTM10x10 + Elevation",5
"T-P22450","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-5.416943327,43.49172912,"3 - UTM10x10 + Elevation",10
"NEW-OMAR-PA35","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1981,-5.669491805,43.30818588,"500",335
"T-P03083","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1986,-3.340208214,43.23043218,"3 - UTM10x10 + Elevation",200
"T-P22467","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",3,1986,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"T-P22456","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-5.934878094,43.35894913,"3 - UTM10x10 + Elevation",200
"T-P22441","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-3.470713616,43.22636775,"3 - UTM10x10 + Elevation",280
"R-P23973","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1986,-6.968374135,42.39674089,"3 - UTM10x10 + Elevation",750
"T-P22458","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-5.9930734,43.38805252,"3 - UTM10x10 + Elevation",100
"T-P22444","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1986,-4.500212887,43.32915398,"3 - UTM10x10 + Elevation",50
"S-P19643","V10X","Chenopodietalia albi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1972,-8.051502377,43.11207612,"3 - UTM10x10 + Elevation",480
"T-P22452","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-5.586823857,43.53122797,"3 - UTM10x10 + Elevation",100
"T-P05167","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1995,-3.487751603,43.20108313,"1 - UTM1x1 + Elevation",280
"T-P22432","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",80,1986,-3.46567853,43.2119808,"3 - UTM10x10 + Elevation",280
"T-P22434","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",200,1986,-3.422305453,43.34901953,"3 - UTM10x10 + Elevation",10
"U-P00123","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,2001,-5.092924788,43.06051431,"1 - UTM1x1 + Elevation",1295
"R-P23968","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1986,-6.797279383,42.33951481,"3 - UTM10x10 + Elevation",1000
"T-P27794","V10X","Comunidad de Convolvulus sepium y Oxalis violacea","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1958,-5.796417456,43.35341735,"3 - UTM10x10 + Elevation",280
"S-P12047","V10X","Chrysanthemum-Oxalidetum","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1975,-6.954206155,43.54969201,"3 - UTM10x10 + Elevation",30
"T-P27798","V10X","Comunidad de Brassica nigra","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1958,-5.599883033,43.54713832,"3 - UTM10x10 + Elevation",30
"T-P32590","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1995,-7.433705561,42.51831349,"3 - UTM10x10 + Elevation",390
"S-P15107","V10X",NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,NA,-1.795782014,43.36326901,"1 - UTM1x1 + Elevation",4
"T-P36780","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1993,-7.480197365,42.48769066,"1 - UTM1x1 + Elevation",390
"T-P23952","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-2.410312515,43.11595792,"3 - UTM10x10 + Elevation",160
"T-P23954","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-2.371945337,43.26163083,"3 - UTM10x10 + Elevation",200
"T-P05142","V10X","Lamio (hybridi) dissecti-Panicetum crus-galli","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1995,-3.459347722,43.35247857,"1 - UTM1x1 + Elevation",200
"T-P33572","V10X","Panicum crus galli-Spergula arvensis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.594558349,42.86889032,"1 - UTM1x1 + Elevation",100
"Q-P14986","V10X","Linario amethysteae-Calenduletum arvensis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1982,-7.492084004,41.94706717,"4 - UTM10x10 + Centroid",515
"R-P22257","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1999,-8.10724013,41.87981846,"1 - UTM1x1 + Elevation",380
"R-P22269","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",80,1999,-8.062488437,41.92321902,"1 - UTM1x1 + Elevation",450
"T-P05159","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1995,-3.571297047,43.18448787,"2 - UTM1x1 + Centroid",400
"T-P05162","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1995,-3.402981194,43.41212059,"1 - UTM1x1 + Elevation",10
"R-P22272","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1999,-8.033090552,41.91731228,"3 - UTM10x10 + Elevation",665
"T-P22482","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-6.245555276,43.12184999,"3 - UTM10x10 + Elevation",820
"U-P13632","V10X","Lamio (hybridi) dissecti-Panicetum crus-galli","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1994,-7.117203278,43.54392905,"3 - UTM10x10 + Elevation",30
"T-P36784","V10X","Linario amethysteae-Calenduletum arvensis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1993,-7.521829235,42.49164613,"2 - UTM1x1 + Centroid",380
"T-P36783","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1993,-7.54560456,42.41668386,"1 - UTM1x1 + Elevation",530
"R-P24630","V10X","Holosteo umbellati-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,2012,-6.501782801,42.30751177,"1 - UTM1x1 + Elevation",833
"Q-P14983","V10X","Linario amethysteae-Calenduletum arvensis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",80,1982,-7.235944714,42.48391415,"4 - UTM10x10 + Centroid",547
"T-P23950","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1982,-2.21354416,43.12377952,"3 - UTM10x10 + Elevation",230
"S-P18298","V10X","Polygono-Chenopodion polyspermi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1974,-6.064759579,43.19346982,"1 - UTM1x1 + Elevation",450
"T-P33573","V10X","Panicum sanguinale-Mercurialis annua","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.561086779,42.87772787,"1 - UTM1x1 + Elevation",200
"R-P23966","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1986,-6.701848045,42.36785213,"3 - UTM10x10 + Elevation",1260
"R-P22256","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1999,-8.064703041,41.9663355,"2 - UTM1x1 + Centroid",480
"S-P20401","V10X","Panicum sanguinale-Mercurialis annua","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",2,1972,-8.725391995,42.29707719,"3 - UTM10x10 + Elevation",50
"T-P22480","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",5,1986,-6.254133909,43.09819583,"3 - UTM10x10 + Elevation",700
"S-P12048","V10X","Chrysanthemum-Oxalidetum","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1975,-6.729088145,43.51225124,"3 - UTM10x10 + Elevation",5
"R-P23972","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1986,-6.951458027,42.35950892,"3 - UTM10x10 + Elevation",950
"Q-P14977","V10X","Linario amethysteae-Calenduletum arvensis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1982,-7.697828016,42.53477826,"3 - UTM10x10 + Elevation",380
"R-P22263","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1999,-8.51023593,41.85933625,"3 - UTM10x10 + Elevation",700
"T-P22446","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1986,-4.841238636,43.43042106,"3 - UTM10x10 + Elevation",50
"T-P05168","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1995,-3.599284675,43.27799351,"1 - UTM1x1 + Elevation",250
"S-P18297","V10X","Polygono-Chenopodion polyspermi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1974,-5.92292549,43.16116851,"1 - UTM1x1 + Elevation",930
"S-P15113","V10X",NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,NA,-1.506623868,42.97446032,"1 - UTM1x1 + Elevation",640
"T-P22431","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-2.886899551,43.29751671,"3 - UTM10x10 + Elevation",40
"T-P05160","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",12,1995,-3.447737463,43.45157345,"1 - UTM1x1 + Elevation",150
"T-P05158","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1995,-3.472939711,43.19574246,"1 - UTM1x1 + Elevation",450
"S-P12045","V10X","Chrysanthemum-Oxalidetum","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1975,-6.594979936,43.54536292,"3 - UTM10x10 + Elevation",90
"T-P03082","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1986,-3.12590575,43.21826213,"3 - UTM10x10 + Elevation",150
"R-P22271","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1999,-7.973276132,41.95413704,"1 - UTM1x1 + Elevation",630
"T-P32594","V10X","Linario amethysteae-Calenduletum arvensis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1995,-7.485371056,42.49123445,"2 - UTM1x1 + Centroid",300
"T-P32589","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",35,1995,-7.517978838,42.471799,"3 - UTM10x10 + Elevation",390
"R-P22274","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1999,-7.926537639,41.91114109,"1 - UTM1x1 + Elevation",860
"T-P05164","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",80,1995,-3.363306397,43.38704106,"1 - UTM1x1 + Elevation",60
"S-P15094","V10X",NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,NA,-2.209646581,43.04450955,"1 - UTM1x1 + Elevation",160
"S-P15110","V10X",NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,NA,-2.023639242,43.31501636,"1 - UTM1x1 + Elevation",185
"S-P15109","V10X",NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,NA,-2.021202131,43.31319463,"1 - UTM1x1 + Elevation",180
"T-P22451","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-5.468363792,43.35737155,"3 - UTM10x10 + Elevation",200
"R-P24632","V10X","Holosteo umbellati-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,2012,-6.506327354,42.30196998,"1 - UTM1x1 + Elevation",826
"T-P22430","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-2.923873267,43.3065519,"3 - UTM10x10 + Elevation",50
"R-P22266","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1999,-8.084514966,41.89703488,"1 - UTM1x1 + Elevation",420
"S-P21793","V10X","Polygono-Chenopodion polyspermi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1981,-6.265099743,42.98083098,"3 - UTM10x10 + Elevation",1580
"S-P21795","V10X","Polygono-Chenopodion polyspermi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",8,1981,-6.202027389,43.13568315,"3 - UTM10x10 + Elevation",1200
"T-P22438","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-3.902340798,43.43628368,"3 - UTM10x10 + Elevation",50
"R-P23971","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1986,-6.817286682,42.38927325,"3 - UTM10x10 + Elevation",880
"S-P12049","V10X","Chrysanthemum-Oxalidetum","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1975,-6.763199329,43.54354374,"3 - UTM10x10 + Elevation",80
"S-P19639","V10X","Chenopodietalia albi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1972,-8.088912404,43.14822496,"3 - UTM10x10 + Elevation",490
"S-P15108","V10X",NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",200,NA,-1.927720021,43.29975007,"1 - UTM1x1 + Elevation",120
"T-P03087","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-2.703917117,43.40524377,"3 - UTM10x10 + Elevation",80
"T-P03086","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1986,-2.881950808,43.30651632,"3 - UTM10x10 + Elevation",100
"R-P24628","V10X","Holosteo umbellati-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,2012,-6.803001823,42.4743881,"1 - UTM1x1 + Elevation",499
"T-P05154","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1995,-3.427152425,43.33639519,"3 - UTM10x10 + Elevation",10
"R-P22264","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",70,1999,-8.085228607,41.90600619,"1 - UTM1x1 + Elevation",350
"S-P18301","V10X","Polygono-Chenopodion polyspermi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1974,-5.976103332,43.17763085,"4 - UTM10x10 + Centroid",300
"S-P12052","V10X","Chrysanthemum-Oxalidetum","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1975,-6.348044528,43.55647123,"3 - UTM10x10 + Elevation",10
"R-P22268","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1999,-8.062346234,41.9214247,"1 - UTM1x1 + Elevation",450
"R-P22258","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1999,-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410
"T-P22459","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-6.153642168,43.48457423,"3 - UTM10x10 + Elevation",200
"T-P05165","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",8,1995,-3.456138786,43.25344087,"1 - UTM1x1 + Elevation",90
"T-P05166","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1995,-3.490660904,43.25689987,"1 - UTM1x1 + Elevation",90
"R-P22273","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1999,-7.921455893,41.90775824,"1 - UTM1x1 + Elevation",880
"T-P36798","V10X","Lamio hybridi-Echinochloetum crus-gallii","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1993,-7.465546396,42.62331529,"1 - UTM1x1 + Elevation",380
"T-P22484","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-6.598283383,43.30936914,"3 - UTM10x10 + Elevation",800
"T-P22445","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-4.86319028,43.42106124,"3 - UTM10x10 + Elevation",30
"S-P12051","V10X","Chrysanthemum-Oxalidetum","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1975,-6.345618503,43.36734135,"4 - UTM10x10 + Centroid",5
"T-P05152","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1995,-3.427658288,43.4084292,"3 - UTM10x10 + Elevation",6
"T-P06609","V10X","Urtico dioicae-Sambucetum ebuli","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",4,1995,-2.396940742,42.97541048,"1 - UTM1x1 + Elevation",750
"T-P05146","V10X","Lamio (hybridi) dissecti-Panicetum crus-galli","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1995,-3.482386039,43.45683514,"1 - UTM1x1 + Elevation",8
"T-P22486","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1986,-6.889377502,43.19538825,"3 - UTM10x10 + Elevation",560
"T-P11662","V10X","Geranio robertiani-Caryolophetum sempervirentis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",4,1988,-5.635423289,42.88181811,"3 - UTM10x10 + Elevation",1030
"Q-P10084","V10X","Comunidad de Lamium amplexicaule y Stellaria media","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",6,2000,-6.731706991,41.88604061,"3 - UTM10x10 + Elevation",650
"Q-P10085","V10X","Comunidad de Lamium amplexicaule y Stellaria media","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",4,2000,-6.632890883,41.80096541,"3 - UTM10x10 + Elevation",870
"S-P21797","V10X","Polygono-Chenopodion polyspermi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",5,1981,-6.142268107,43.12113437,"3 - UTM10x10 + Elevation",1100
"R-P22262","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1999,-8.005130567,41.86653533,"2 - UTM1x1 + Centroid",395
"T-P23948","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1982,-2.322404618,43.28476011,"3 - UTM10x10 + Elevation",200
"T-P22483","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-6.632644522,43.38931291,"3 - UTM10x10 + Elevation",400
"T-P22485","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1986,-6.536122491,43.30050595,"3 - UTM10x10 + Elevation",520
"NEW-OMAR-BA38","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1981,-5.707241301,43.32530597,"500",190
"Q-P10088","V10X","Comunidad de Lamium amplexicaule y Stellaria media","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",4,2000,-6.614058215,41.93663371,"1 - UTM1x1 + Elevation",750
"S-P18299","V10X","Polygono-Chenopodion polyspermi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",35,1974,-5.971801567,43.15450593,"1 - UTM1x1 + Elevation",480
"T-P05156","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1995,-3.370812932,43.40322498,"1 - UTM1x1 + Elevation",40
"T-P05163","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1995,-3.410221807,43.3868824,"1 - UTM1x1 + Elevation",220
"T-P22479","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-6.200057025,43.09792166,"3 - UTM10x10 + Elevation",900
"T-P03084","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1986,-3.089134191,43.33175535,"3 - UTM10x10 + Elevation",200
"T-P22457","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-5.873763189,43.42352915,"3 - UTM10x10 + Elevation",150
"T-P23949","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1982,-2.447056458,43.13054916,"3 - UTM10x10 + Elevation",200
"T-P03085","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",45,1986,-2.76917404,43.13165238,"3 - UTM10x10 + Elevation",250
"T-P22440","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-4.191815172,43.32738123,"3 - UTM10x10 + Elevation",100
"T-P05153","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1995,-3.412385948,43.34185211,"3 - UTM10x10 + Elevation",20
"T-P22437","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-3.40740299,43.33466633,"3 - UTM10x10 + Elevation",60
"T-P05151","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",8,1995,-3.407921691,43.41210307,"3 - UTM10x10 + Elevation",6
"R-P23970","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1986,-6.852661296,42.37188065,"1 - UTM1x1 + Elevation",670
"S-P21796","V10X","Polygono-Chenopodion polyspermi","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1981,-6.196105687,43.06921939,"3 - UTM10x10 + Elevation",1240
"R-P22265","V10X","Chrysantemo segeti-Raphanetum raphanistri","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1999,-8.085371374,41.90780044,"1 - UTM1x1 + Elevation",350
"R-P23969","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1986,-6.873388684,42.43240945,"3 - UTM10x10 + Elevation",780
"T-P05157","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1995,-3.434207631,43.28774388,"1 - UTM1x1 + Elevation",60
"T-P23945","V10X","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1982,-2.283282256,43.2575078,"3 - UTM10x10 + Elevation",50
"S-P12053","V10X","Chrysanthemum-Oxalidetum","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1975,-6.538568606,43.55432769,"3 - UTM10x10 + Elevation",15
"S-P15106","V10X",NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,NA,-1.865987453,43.30455734,"1 - UTM1x1 + Elevation",80
"T-P22481","V10X","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-6.260856633,43.1322192,"3 - UTM10x10 + Elevation",820
"T-P13207","V10X","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1997,-4.226814825,43.35042265,"2 - UTM1x1 + Centroid",40
"Q-P14974","V10X","Linario amethysteae-Calenduletum arvensis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.673543129,42.56818508,"3 - UTM10x10 + Elevation",380
