"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"29","R-P15144","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R",15,1983,-2.420077433,43.12321172,"1 - UTM1x1 + Elevation",140,"",NA,"Balloto-Conion maculati"
"30","R-P15145","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",10,1983,-2.432353444,43.12507425,"1 - UTM1x1 + Elevation",200,"",NA,"Balloto-Conion maculati"
"31","R-P15147","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",20,1983,-2.268671539,43.24300789,"1 - UTM1x1 + Elevation",300,"",NA,"Balloto-Conion maculati"
"32","R-P15148","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",10,1983,-2.384338285,43.25449448,"1 - UTM1x1 + Elevation",50,"",NA,"Balloto-Conion maculati"
"33","R-P15149","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",15,1983,-2.56853975,42.98879308,"1 - UTM1x1 + Elevation",450,"",NA,"Balloto-Conion maculati"
"34","R-P15150","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",6,1983,-2.563582342,42.99597836,"2 - UTM1x1 + Centroid",300,"",NA,"Balloto-Conion maculati"
"35","R-P15151","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",5,1983,-2.563582342,42.99597836,"2 - UTM1x1 + Centroid",300,"",NA,"Balloto-Conion maculati"
"36","R-P15152","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",10,1983,-2.571093135,42.97439452,"1 - UTM1x1 + Elevation",600,"",NA,"Balloto-Conion maculati"
"37","R-P15153","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",5,1983,-2.571093135,42.97439452,"1 - UTM1x1 + Elevation",600,"",NA,"Balloto-Conion maculati"
"38","R-P15154","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V39",15,1983,-2.518772508,43.07864482,"1 - UTM1x1 + Elevation",450,"",NA,"Balloto-Conion maculati"
