"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"159","T-P36803","Lamio hybridi-Echinochloetum crus-gallii","V10W",50,1993,-7.528987429,42.69104574,"2 - UTM1x1 + Centroid",290,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"160","T-P36804","Lamio hybridi-Echinochloetum crus-gallii","V10W",50,1993,-7.388302417,42.56508219,"1 - UTM1x1 + Elevation",400,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"161","T-P36805","Lamio hybridi-Echinochloetum crus-gallii","V10W",25,1993,-7.504256247,42.55157042,"1 - UTM1x1 + Elevation",320,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"162","T-P36806","Lamio hybridi-Echinochloetum crus-gallii","V10W",40,1993,-7.528987429,42.69104574,"2 - UTM1x1 + Centroid",290,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"163","T-P36807","Lamio hybridi-Echinochloetum crus-gallii","V10W",50,1993,-7.537686867,42.50883315,"1 - UTM1x1 + Elevation",290,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"164","T-P36808","Lamio hybridi-Echinochloetum crus-gallii","V10W",20,1993,-7.350827818,42.65654926,"1 - UTM1x1 + Elevation",740,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"165","T-P36809","Lamio hybridi-Echinochloetum crus-gallii","V10W",25,1993,-7.633759504,42.42575155,"1 - UTM1x1 + Elevation",460,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"166","T-P36810","Lamio hybridi-Echinochloetum crus-gallii","V10W",25,1993,-7.630938987,42.42046377,"1 - UTM1x1 + Elevation",460,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"167","T-P36811","Lamio hybridi-Echinochloetum crus-gallii","V10W",30,1993,-7.631071393,42.42225908,"1 - UTM1x1 + Elevation",460,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"168","T-P36812","Lamio hybridi-Echinochloetum crus-gallii","V10W",15,1993,-7.604363486,42.45574938,"1 - UTM1x1 + Elevation",360,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"169","U-P10347","Panicum crus galli-Spergula arvensis","V10W",NA,1968,-8.624882624,42.69095872,"3 - UTM10x10 + Elevation",220,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"170","U-P10348","Panicum crus galli-Spergula arvensis","V10W",NA,1968,-8.578106204,42.63203883,"3 - UTM10x10 + Elevation",200,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
"171","U-P10349","Panicum crus galli-Spergula arvensis","V10W",NA,1968,-8.676298664,42.58579085,"3 - UTM10x10 + Elevation",40,"Spergulo arvensis-Erodion cicutariae","Eragrostietalia","Digitario sanguinalis-Eragrostietea minoris","Spergulo arvensis-Erodion cicutariae"
