"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"1","Q-P09986",196,"Crassulo tillaeae-Saginetum apetalae",209986,"Polycarpion tetraphylli","V35","",NA,1,"2000",-6.827197264,41.74962379,"3 - UTM10x10 + Elevation",840,"Polycarpion tetraphylli","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"2","Q-P09989",197,"Crassulo tillaeae-Saginetum apetalae",209989,"Polycarpion tetraphylli","V34","",NA,1,"2000",-6.766626048,41.8650886,"3 - UTM10x10 + Elevation",640,"Polycarpion tetraphylli","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"3","Q-P09991",198,"Crassulo tillaeae-Saginetum apetalae",209991,"Polycarpion tetraphylli","V35","",NA,2,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",620,"Polycarpion tetraphylli","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"4","Q-P09995",200,"Crassulo tillaeae-Saginetum apetalae",209995,"Polycarpion tetraphylli","V34","",NA,4,"2000",-6.613956586,41.93483594,"1 - UTM1x1 + Elevation",770,"Polycarpion tetraphylli","Polygono-Poetea annuae",1,"Polygono-Poetea annuae"
"5","Q-P09999",204,"Comunidad de Spergularia purpurea y Plantago coronopus",209999,"Polycarpion tetraphylli","V","",NA,1,"2000",-6.736622917,41.88768148,"3 - UTM10x10 + Elevation",640,"Scleranthion annui","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"6","Q-P10001",205,"Comunidad de Spergularia purpurea y Plantago coronopus",210001,"Polycarpion tetraphylli","V32","",NA,1,"2000",-6.604765258,41.81445954,"3 - UTM10x10 + Elevation",780,"Scleranthion annui","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"7","Q-P10002",206,"Comunidad de Spergularia purpurea y Plantago coronopus",210002,"Polycarpion tetraphylli","V","",NA,1,"2000",-6.891229027,41.77448393,"3 - UTM10x10 + Elevation",800,"Scleranthion annui","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"8","Q-P10003",207,"Comunidad de Spergularia purpurea y Plantago coronopus",210003,"Polycarpion tetraphylli","V35","",NA,1,"2000",-6.75941207,41.86532531,"3 - UTM10x10 + Elevation",670,"Scleranthion annui","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"9","Q-P10004",208,"Comunidad de Spergularia purpurea y Plantago coronopus",210004,"Polycarpion tetraphylli","V32","",NA,1,"2000",-6.929148103,41.88304723,"3 - UTM10x10 + Elevation",680,"Scleranthion annui","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"10","Q-P11857",309,"Comunidade de Plantago coronopus e Catapodium marinum",211857,"Polycarpion tetraphylli","V34","",NA,NA,"2003",-8.808796947,41.86186237,"4 - UTM10x10 + Centroid",92,"Saginion maritimae","Saginetea maritimae",0,"Polygono-Poetea annuae"
