"","SIVIMID","Alliance","Revised.alliance","Semisupervised"
"2370","T-P12096","Scleranthion annui","Scleranthion annui",1
"2371","T-P12093","Scleranthion annui","Scleranthion annui",1
"2372","S-P11017",NA,"Potentillion anserinae",1
"2373","R-P20515","Paspalo-Agrostion semiverticillati","Potentillion anserinae",0
"2374","S-P19594","Sedion anglici","Polycarpion tetraphylli",0
"2375","U-P13630","Scleranthion annui","Scleranthion annui",1
"2376","T-P07881","Trifolion maritimi","Polygono-Coronopodion",0
"2377","T-P07862","Trifolion maritimi","Potentillion anserinae",0
"2378","T-P07866","Trifolion maritimi","Polygono-Coronopodion",0
"2379","Q-P10413","Trifolion maritimi","Potentillion anserinae",0
"2380","Q-P10411","Trifolion maritimi","Oxalidion europaeae",0
"2381","Q-P10409","Trifolion maritimi","Dauco-Melilotion",0
"2382","S-P25141","Trifolion maritimi","Sisymbrion officinalis",0
"2383","U-P00667","Linarion triornithophorae","Epilobion angustifolii",0
"2384","Q-P08972","Linarion triornithophorae","Epilobion angustifolii",0
"2385","T-P32083","Linario saxatilis-Senecionion carpetani","Epilobion angustifolii",0
"2386","T-P03473","Scleranthion annui","Scleranthion annui",1
"2387","T-P03469","Scleranthion annui","Scleranthion annui",1
"2388","T-P03470","Scleranthion annui","Scleranthion annui",1
"2389","T-P03468","Scleranthion annui","Scleranthion annui",1
"2390","T-P03479","Scleranthion annui","Scleranthion annui",1
"2391","T-P03472","Scleranthion annui","Scleranthion annui",1
"2392","T-P03480","Scleranthion annui","Scleranthion annui",1
"2393","T-P03492","Scleranthion annui","Scleranthion annui",1
"2394","T-P03482","Scleranthion annui","Scleranthion annui",1
"2395","T-P03471","Scleranthion annui","Scleranthion annui",1
"2396","T-P36760","Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis",1
"2397","T-P36759","Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis",1
"2398","T-P36758","Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis",1
"2399","T-P36761","Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis",1
"2400","S-P17964","Balloto-Conion maculati","Balloto-Conion maculati",1
"2401","T-P06612","Balloto-Conion maculati","Balloto-Conion maculati",1
"2402","S-P17963","Balloto-Conion maculati","Balloto-Conion maculati",1
"2403","S-P15146","Balloto-Conion maculati","Balloto-Conion maculati",1
"2404","T-P12040","Balloto-Conion maculati","Balloto-Conion maculati",1
"2405","T-P06609","Balloto-Conion maculati","Balloto-Conion maculati",1
"2406","T-P06606","Balloto-Conion maculati","Balloto-Conion maculati",1
"2407","T-P11879","Balloto-Conion maculati","Balloto-Conion maculati",1
"2408","T-P12043","Balloto-Conion maculati","Balloto-Conion maculati",1
"2409","S-P15143","Balloto-Conion maculati","Balloto-Conion maculati",1
"2410","T-P06601","Balloto-Conion maculati","Balloto-Conion maculati",1
"2411","R-P15147","Balloto-Conion maculati","Balloto-Conion maculati",1
"2412","T-P12275","Balloto-Conion maculati","Balloto-Conion maculati",1
"2413","T-P12274","Balloto-Conion maculati","Balloto-Conion maculati",1
"2414","T-P11875","Balloto-Conion maculati","Balloto-Conion maculati",1
"2415","T-P06610","Balloto-Conion maculati","Balloto-Conion maculati",1
"2416","T-P12276","Balloto-Conion maculati","Balloto-Conion maculati",1
"2417","S-P15148","Balloto-Conion maculati","Balloto-Conion maculati",1
"2418","T-P12042","Balloto-Conion maculati","Balloto-Conion maculati",1
"2419","T-P06613","Balloto-Conion maculati","Balloto-Conion maculati",1
"2420","S-P15144","Balloto-Conion maculati","Balloto-Conion maculati",1
"2421","T-P06605","Balloto-Conion maculati","Geo urbani-Alliarion officinalis",0
"2422","R-P15144","Balloto-Conion maculati","Balloto-Conion maculati",1
"2423","Q-P10116","Balloto-Conion maculati","Balloto-Conion maculati",1
"2424","T-P11878","Balloto-Conion maculati","Balloto-Conion maculati",1
"2425","T-P12039","Balloto-Conion maculati","Balloto-Conion maculati",1
"2426","T-P03073","Balloto-Conion maculati","Balloto-Conion maculati",1
"2427","T-P11876","Balloto-Conion maculati","Balloto-Conion maculati",1
"2428","T-P06607","Balloto-Conion maculati","Balloto-Conion maculati",1
"2429","T-P12041","Balloto-Conion maculati","Balloto-Conion maculati",1
"2430","T-P11877","Balloto-Conion maculati","Balloto-Conion maculati",1
"2431","R-P15155","Balloto-Conion maculati","Balloto-Conion maculati",1
"2432","S-P15142","Balloto-Conion maculati","Dauco-Melilotion",0
"2433","R-P15145","Balloto-Conion maculati","Balloto-Conion maculati",1
"2434","R-P15148","Balloto-Conion maculati","Balloto-Conion maculati",1
"2435","T-P06604","Balloto-Conion maculati","Geo urbani-Alliarion officinalis",0
"2436","T-P12273","Balloto-Conion maculati","Balloto-Conion maculati",1
"2437","S-P15147","Balloto-Conion maculati","Balloto-Conion maculati",1
"2438","T-P12037","Balloto-Conion maculati","Balloto-Conion maculati",1
"2439","T-P12038","Balloto-Conion maculati","Balloto-Conion maculati",1
"2440","S-P15136","Balloto-Conion maculati","Balloto-Conion maculati",1
"2441","T-P06593","Balloto-Conion maculati","Arction lappae",0
"2442","S-P15138","Balloto-Conion maculati","Balloto-Conion maculati",1
"2443","S-P15139","Balloto-Conion maculati","Balloto-Conion maculati",1
"2444","T-P06596","Balloto-Conion maculati","Balloto-Conion maculati",1
"2445","T-P23955","Balloto-Conion maculati","Balloto-Conion maculati",1
"2446","T-P03069","Balloto-Conion maculati","Balloto-Conion maculati",1
"2447","R-P15146","Balloto-Conion maculati","Geo urbani-Alliarion officinalis",0
"2448","T-P11646","Balloto-Conion maculati","Balloto-Conion maculati",1
"2449","T-P11647","Balloto-Conion maculati","Balloto-Conion maculati",1
"2450","Q-P10117","Balloto-Conion maculati","Balloto-Conion maculati",1
"2451","S-P11129","Balloto-Conion maculati","Balloto-Conion maculati",1
"2452","S-P15135","Balloto-Conion maculati","Balloto-Conion maculati",1
"2453","Q-P10115","Balloto-Conion maculati","Balloto-Conion maculati",1
"2454","T-P06591","Balloto-Conion maculati","Arction lappae",0
"2455","R-P15151","Balloto-Conion maculati","Balloto-Conion maculati",1
"2456","S-P15137","Balloto-Conion maculati","Balloto-Conion maculati",1
"2457","R-P15153","Balloto-Conion maculati","Balloto-Conion maculati",1
"2458","S-P15141","Balloto-Conion maculati","Balloto-Conion maculati",1
"2459","S-P17965","Balloto-Conion maculati","Balloto-Conion maculati",1
"2460","T-P06602","Balloto-Conion maculati","Balloto-Conion maculati",1
"2461","S-P15145","Balloto-Conion maculati","Balloto-Conion maculati",1
"2462","T-P03072","Balloto-Conion maculati","Balloto-Conion maculati",1
"2463","Q-P10114","Balloto-Conion maculati","Balloto-Conion maculati",1
"2464","R-P15149","Balloto-Conion maculati","Balloto-Conion maculati",1
"2465","T-P06592","Balloto-Conion maculati","Geo urbani-Alliarion officinalis",0
"2466","S-P15133","Balloto-Conion maculati","Balloto-Conion maculati",1
"2467","T-P11648","Balloto-Conion maculati","Balloto-Conion maculati",1
"2468","S-P15132","Balloto-Conion maculati","Dauco-Melilotion",0
"2469","S-P15134","Balloto-Conion maculati","Balloto-Conion maculati",1
"2470","R-P15152","Balloto-Conion maculati","Balloto-Conion maculati",1
"2471","T-P11652","Balloto-Conion maculati","Balloto-Conion maculati",1
"2472","T-P06600","Balloto-Conion maculati","Balloto-Conion maculati",1
"2473","S-P17966","Balloto-Conion maculati","Balloto-Conion maculati",1
"2474","S-P17967","Balloto-Conion maculati","Balloto-Conion maculati",1
"2475","R-P24677","Balloto-Conion maculati","Balloto-Conion maculati",1
"2476","T-P05183","Balloto-Conion maculati","Balloto-Conion maculati",1
"2477","S-P15154","Balloto-Conion maculati","Balloto-Conion maculati",1
"2478","T-P05181","Balloto-Conion maculati","Balloto-Conion maculati",1
"2479","R-P15150","Balloto-Conion maculati","Balloto-Conion maculati",1
"2480","T-P06587","Balloto-Conion maculati","Sisymbrion officinalis",0
"2481","T-P11649","Balloto-Conion maculati","Balloto-Conion maculati",1
"2482","Q-P08749","Balloto-Conion maculati","Balloto-Conion maculati",1
"2483","S-P15131","Balloto-Conion maculati","Balloto-Conion maculati",1
"2484","T-P11651","Balloto-Conion maculati","Balloto-Conion maculati",1
"2485","R-P15154","Balloto-Conion maculati","Balloto-Conion maculati",1
"2486","T-P06598","Balloto-Conion maculati","Geo urbani-Alliarion officinalis",0
"2487","T-P03070","Balloto-Conion maculati","Balloto-Conion maculati",1
"2488","T-P06603","Balloto-Conion maculati","Balloto-Conion maculati",1
"2489","T-P06617","Balloto-Conion maculati","Sisymbrion officinalis",0
"2490","Q-P10113","Balloto-Conion maculati","Balloto-Conion maculati",1
"2491","S-P15155","Balloto-Conion maculati","Balloto-Conion maculati",1
"2492","S-P18284","Balloto-Conion maculati","Balloto-Conion maculati",1
"2493","T-P06615","Balloto-Conion maculati","Balloto-Conion maculati",1
"2494","S-P18283","Balloto-Conion maculati","Balloto-Conion maculati",1
"2495","S-P18285","Balloto-Conion maculati","Balloto-Conion maculati",1
"2496","S-P17972","Balloto-Conion maculati","Balloto-Conion maculati",1
"2497","T-P11650","Balloto-Conion maculati","Balloto-Conion maculati",1
"2498","S-P15140","Balloto-Conion maculati","Balloto-Conion maculati",1
"2499","T-P03068","Balloto-Conion maculati","Balloto-Conion maculati",1
"2500","R-P29007","Balloto-Conion maculati","Balloto-Conion maculati",1
"2501","S-P15152","Balloto-Conion maculati","Balloto-Conion maculati",1
"2502","T-P12272","Balloto-Conion maculati","Balloto-Conion maculati",1
"2503","T-P23958","Balloto-Conion maculati","Balloto-Conion maculati",1
"2504","T-P05184","Balloto-Conion maculati","Balloto-Conion maculati",1
"2505","T-P07931","Balloto-Conion maculati","Dauco-Melilotion",0
"2506","R-P12727","Balloto-Conion maculati","Dauco-Melilotion",0
"2507","T-P06618","Balloto-Conion maculati","Balloto-Conion maculati",1
"2508","S-P17971","Balloto-Conion maculati","Balloto-Conion maculati",1
"2509","T-P06590","Balloto-Conion maculati","Balloto-Conion maculati",1
"2510","S-P15156","Balloto-Conion maculati","Balloto-Conion maculati",1
"2511","T-P06623","Balloto-Conion maculati","Balloto-Conion maculati",1
"2512","T-P06624","Balloto-Conion maculati","Balloto-Conion maculati",1
"2513","T-P23957","Balloto-Conion maculati","Balloto-Conion maculati",1
"2514","T-P06599","Balloto-Conion maculati","Balloto-Conion maculati",1
"2515","T-P06614","Balloto-Conion maculati","Balloto-Conion maculati",1
"2516","T-P05180","Balloto-Conion maculati","Balloto-Conion maculati",1
"2517","T-P06626","Balloto-Conion maculati","Geo urbani-Alliarion officinalis",0
"2518","S-P18282","Balloto-Conion maculati","Balloto-Conion maculati",1
"2519","T-P06589","Balloto-Conion maculati","Balloto-Conion maculati",1
"2520","T-P06620","Balloto-Conion maculati","Balloto-Conion maculati",1
"2521","T-P06588","Balloto-Conion maculati","Balloto-Conion maculati",1
"2522","S-P17968","Balloto-Conion maculati","Balloto-Conion maculati",1
"2523","U-P00651","Balloto-Conion maculati","Balloto-Conion maculati",1
"2524","T-P03071","Balloto-Conion maculati","Balloto-Conion maculati",1
"2525","T-P03067","Balloto-Conion maculati","Balloto-Conion maculati",1
"2526","T-P06597","Balloto-Conion maculati","Balloto-Conion maculati",1
"2527","T-P05182","Balloto-Conion maculati","Balloto-Conion maculati",1
"2528","R-P29005","Balloto-Conion maculati","Balloto-Conion maculati",1
"2529","R-P12717","Balloto-Conion maculati","Balloto-Conion maculati",1
"2530","T-P06616","Balloto-Conion maculati","Balloto-Conion maculati",1
"2531","T-P06595","Balloto-Conion maculati","Balloto-Conion maculati",1
"2532","Q-P08747","Balloto-Conion maculati","Balloto-Conion maculati",1
"2533","T-P06621","Balloto-Conion maculati","Balloto-Conion maculati",1
"2534","T-P06622","Balloto-Conion maculati","Balloto-Conion maculati",1
"2535","T-P06619","Balloto-Conion maculati","Balloto-Conion maculati",1
"2536","Q-P08748","Balloto-Conion maculati","Balloto-Conion maculati",1
"2537","T-P05178","Balloto-Conion maculati","Balloto-Conion maculati",1
"2538","T-P06625","Balloto-Conion maculati","Balloto-Conion maculati",1
"2539","T-P05179","Balloto-Conion maculati","Balloto-Conion maculati",1
"2540","R-P29006","Balloto-Conion maculati","Balloto-Conion maculati",1
"2541","S-P17970","Balloto-Conion maculati","Balloto-Conion maculati",1
"2542","T-P23956","Balloto-Conion maculati","Balloto-Conion maculati",1
"2543","S-P17969","Balloto-Conion maculati","Balloto-Conion maculati",1
"2544","R-P23985","Chenopodion muralis","Polygono-Coronopodion",0
"2545","R-P23983","Chenopodion muralis","Polygono-Coronopodion",0
"2546","Q-P10022","Chenopodion muralis","Polygono-Coronopodion",0
"2547","R-P23984","Chenopodion muralis","Arction lappae",0
"2548","Q-P10023","Chenopodion muralis","Polygono-Coronopodion",0
"2549","R-P23988","Chenopodion muralis","Oxalidion europaeae",0
"2550","S-P11127","Chenopodion muralis","Oxalidion europaeae",0
"2551","Q-P10021","Chenopodion muralis","Polygono-Coronopodion",0
"2552","Q-P10024","Chenopodion muralis","Sisymbrion officinalis",0
"2553","T-P03856","Roemerion hybridae","Oxalidion europaeae",0
"2554","T-P03872","Roemerion hybridae","Oxalidion europaeae",0
"2555","T-P07957","Bidention tripartitae","Cynancho-Convolvulion sepium",0
"2556","T-P07953","Bidention tripartitae","Oxalidion europaeae",0
"2557","T-P07941","Bidention tripartitae","Balloto-Conion maculati",0
"2558","T-P07954","Bidention tripartitae","Oxalidion europaeae",0
"2559","T-P07943","Bidention tripartitae","Oxalidion europaeae",0
"2560","T-P07935","Bidention tripartitae","Oxalidion europaeae",0
"2561","T-P07961","Bidention tripartitae","Oxalidion europaeae",0
"2562","T-P07937","Bidention tripartitae","Oxalidion europaeae",0
"2563","T-P07949","Bidention tripartitae","Oxalidion europaeae",0
"2564","R-P14896","Bidention tripartitae","Oxalidion europaeae",0
"2565","R-P14890","Bidention tripartitae","Oxalidion europaeae",0
"2566","CORTADERIA-11",NA,NA,1
"2567","CORTADERIA-12",NA,NA,1
"2568","CORTADERIA-13",NA,NA,1
"2569","CORTADERIA-21",NA,NA,1
"2570","CORTADERIA-22",NA,NA,1
"2571","CORTADERIA-23",NA,NA,1
"2572","CORTADERIA-31",NA,NA,1
"2573","CORTADERIA-32",NA,NA,1
"2574","CORTADERIA-33",NA,NA,1
"2575","XIXON-09",NA,NA,1
"2576","XIXON-10",NA,NA,1
"2577","XIXON-35",NA,NA,1
"2578","XIXON-34",NA,NA,1
"2579","XIXON-01",NA,NA,1
"2580","XIXON-02",NA,NA,1
"2581","XIXON-03",NA,NA,1
"2582","XIXON-04",NA,NA,1
"2583","XIXON-05",NA,NA,1
"2584","XIXON-06",NA,NA,1
"2585","XIXON-08",NA,NA,1
"2586","XIXON-11",NA,NA,1
"2587","XIXON-12",NA,NA,1
"2588","XIXON-13",NA,NA,1
"2589","XIXON-14",NA,NA,1
"2590","XIXON-15",NA,NA,1
"2591","XIXON-16",NA,NA,1
"2592","XIXON-17",NA,NA,1
"2593","XIXON-18",NA,NA,1
"2594","XIXON-19",NA,NA,1
"2595","XIXON-20",NA,NA,1
"2596","XIXON-21",NA,NA,1
"2597","XIXON-22",NA,NA,1
"2598","XIXON-33",NA,NA,1
"2599","XIXON-30",NA,NA,1
"2600","XIXON-31",NA,NA,1
"2601","XIXON-32",NA,NA,1
"2602","XIXON-07",NA,NA,1
"2603","XIXON-29",NA,NA,1
"2604","XIXON-27",NA,NA,1
"2605","XIXON-28",NA,NA,1
"2606","XIXON-24",NA,NA,1
"2607","XIXON-26",NA,NA,1
"2608","XIXON-23",NA,NA,1
"2609","XIXON-25",NA,NA,1
