Percentage synoptic table with fidelity {Phi coeff. C } (26 columns),,,,,,,,,,,,,,,,,,,,,,,,,,
Semisupervised,Aegopodion podagrariae,Allion triquetri,Arction lappae,Balloto-Conion maculati,Bidention tripartitae,Carduo carpetani-Cirsion odontolepidis,Cirsion richterano-chodati,Cymbalario-Asplenion,Cynancho-Convolvulion sepium,Dauco-Melilotion,Echio-Galactition tomentosae,Epilobion angustifolii,Galio valantiae-Parietarion judaicae,Geo urbani-Alliarion officinalis,Geranio pusilli-Anthriscion caucalidis,Linario polygalifoliae-Vulpion alopecuri,Oxalidion europeae,Paspalo-Agrostion semiverticillati,Polycarpion tetraphylli,Polygono-Coronopodion,Saginion procumbentis,Scleranthion annui,Senecionion fluviatilis,Sisymbrion officinalis,Spergulo arvensis-Erodion cicutariae,Noise
Bidens frondosus,  ---,  ---,  ---,  ---,82.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Persicaria hydropiper,  ---,  ---,  ---,  ---,78.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.3,  ---,  ---,  ---
Phalaroides arundinacea,  ---,  ---,  ---,  ---,72.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Helosciadium nodiflorum,  ---,  ---,  ---,  ---,63.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cyperus eragrostis,  ---,1,  ---,  ---,61.3,  ---,  ---,  ---,10.9,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Dysphania ambrosioides,  ---,  ---,  ---,  ---,58.2,  ---,  ---,  ---,  ---,1.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Xanthium orientale,  ---,  ---,  ---,  ---,55.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Artemisia verlotiorum,  ---,  ---,  ---,  ---,49.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Solanum chenopodioides,  ---,  ---,  ---,  ---,45.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Mentha pulegium,  ---,  ---,  ---,  ---,44.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cuscuta campestris,  ---,  ---,  ---,  ---,42.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Galium palustre,  ---,  ---,  ---,  ---,42.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Agrostis stolonifera,  ---,  ---,  ---,  ---,40.8,  ---,  ---,  ---,0.2,6,  ---,  ---,1.2,  ---,  ---,  ---,  ---,4.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.2
Veronica beccabunga,  ---,  ---,  ---,  ---,40.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Setaria parviflora,  ---,  ---,  ---,  ---,38,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Galinsoga quadriradiata,  ---,  ---,  ---,  ---,37.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---
Setaria faberi,  ---,  ---,  ---,  ---,35.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Symphyotrichum squamatum,  ---,  ---,  ---,  ---,34.2,  ---,  ---,8.4,  ---,15.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Panicum dichotomiflorum,  ---,  ---,  ---,  ---,32,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Symphyotrichum lanceolatum,  ---,  ---,  ---,  ---,32,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Salix salviifolia,  ---,  ---,  ---,  ---,32,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Rorippa palustris,  ---,  ---,  ---,  ---,31.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Onopordum acanthium,  ---,  ---,  ---,  ---,  ---,88.4,7.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Reseda luteola,  ---,  ---,  ---,  ---,  ---,48,21.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Verbascum dentifolium,  ---,  ---,  ---,0.2,  ---,43.4,15.9,  ---,  ---,6.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lactuca virosa,8.4,  ---,  ---,4.5,  ---,40.2,8.8,  ---,  ---,11.3,  ---,  ---,  ---,1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5,  ---,  ---
Echium vulgare,  ---,  ---,10.4,  ---,  ---,39.4,21.6,  ---,  ---,0.8,26,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9
Centaurea langei,  ---,  ---,  ---,  ---,  ---,39.4,5.3,  ---,  ---,3.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Isatis tinctoria,  ---,  ---,  ---,  ---,  ---,37.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.6,  ---,  ---
Dipsacus fullonum,12,  ---,  ---,8.8,  ---,36,18.5,  ---,  ---,29.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Melilotus indicus,  ---,  ---,  ---,2,  ---,34.5,  ---,  ---,  ---,3.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5,  ---,1.2
Rumex papillaris,  ---,  ---,  ---,  ---,  ---,30.1,11.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cirsium eriophorum,  ---,  ---,  ---,  ---,  ---,14.8,66,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Carduus nutans aggr.,  ---,  ---,  ---,  ---,  ---,13.8,53,  ---,  ---,  ---,  ---,  ---,  ---,2.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cirsium richterianum,  ---,  ---,  ---,  ---,  ---,5.9,44.8,  ---,  ---,  ---,  ---,  ---,  ---,6.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cirsium arvense,  ---,  ---,  ---,7.6,  ---,25.8,39.4,  ---,2,4.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.2
Achillea millefolium,14.9,  ---,11.4,1.3,  ---,10.5,32.6,  ---,  ---,5,  ---,  ---,  ---,1.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1,  ---,  ---,  ---,  ---
Cirsium vulgare,5.3,  ---,1.5,16.3,  ---,18.3,31.2,  ---,  ---,24.8,6.2,  ---,  ---,1.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Trachelium caeruleum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,40.1,  ---,  ---,  ---,  ---,5.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Asplenium scolopendrium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,35.7,4.7,  ---,  ---,  ---,1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Eupatorium cannabinum,  ---,  ---,  ---,  ---,6.2,  ---,  ---,  ---,82.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Angelica sylvestris,  ---,  ---,  ---,1.4,  ---,  ---,  ---,  ---,68.3,  ---,  ---,  ---,  ---,1.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,10.3,  ---,  ---,  ---
Centaurea debeauxii,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,50.7,7.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
