Percentage synoptic table with fidelity {Phi coeff. C } (26 columns),,,,,,,,,,,,,,,,,,,,,,,,,,
Semisupervised,Aegopodion podagrariae,Allion triquetri,Arction lappae,Balloto-Conion maculati,Bidention tripartitae,Carduo carpetani-Cirsion odontolepidis,Cirsion richterano-chodati,Cymbalario-Asplenion,Cynancho-Convolvulion sepium,Dauco-Melilotion,Echio-Galactition tomentosae,Epilobion angustifolii,Galio valantiae-Parietarion judaicae,Geo urbani-Alliarion officinalis,Geranio pusilli-Anthriscion caucalidis,Linario polygalifoliae-Vulpion alopecuri,Oxalidion europeae,Paspalo-Agrostion semiverticillati,Polycarpion tetraphylli,Polygono-Coronopodion,Saginion procumbentis,Scleranthion annui,Senecionion fluviatilis,Sisymbrion officinalis,Spergulo arvensis-Erodion cicutariae,Noise
Prunella grandiflora,  ---,  ---,  ---,  ---,  ---,  ---,7.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.7,  ---
Atriplex patula,  ---,  ---,  ---,  ---,7.9,4.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.8,12.4,  ---,  ---,  ---,  ---,  ---,  ---,4.1,2.6
Erodium botrys,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.9,  ---,3.8,3.7,0.8
Cerastium pumilum,  ---,  ---,  ---,  ---,  ---,  ---,1.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.4,1.9,  ---,8.4,  ---,0.3,3.7,4.8
Epilobium obscurum,  ---,11.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.6,  ---
Fumaria bastardii,  ---,11.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.6,  ---
Brassica nigra,  ---,  ---,  ---,2.2,  ---,  ---,  ---,  ---,  ---,  ---,4.9,  ---,  ---,0.1,  ---,  ---,6.9,  ---,  ---,  ---,  ---,  ---,  ---,7.2,3.6,3
Euphorbia peplus,  ---,7.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.5,  ---,  ---,4.2,  ---,  ---,  ---,25.7,  ---,  ---,  ---,  ---,  ---,  ---,1.8,3.5,4.3
Fumaria reuteri,  ---,0.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,10.8,  ---,5.7,  ---,  ---,  ---,  ---,21.9,  ---,0.5,3.5,1.7
Capsella bursa-pastoris,  ---,  ---,10.6,  ---,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---,  ---,20.1,  ---,2.1,19.2,13.6,0.6,  ---,20.4,3.3,  ---
Erigeron bonariensis,  ---,  ---,  ---,  ---,3.8,  ---,  ---,  ---,  ---,2.3,  ---,  ---,  ---,  ---,  ---,8.9,  ---,  ---,10.9,  ---,  ---,  ---,  ---,0.1,3.3,1.1
Leucanthemum vulgare,  ---,  ---,  ---,  ---,  ---,2.4,  ---,  ---,  ---,  ---,27.3,12.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.3,0.6
Corrigiola telephiifolia,  ---,  ---,  ---,  ---,  ---,  ---,5.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.8,  ---,  ---,3.2,  ---
Cynodon dactylon,  ---,  ---,  ---,  ---,0.6,  ---,  ---,  ---,  ---,2,  ---,  ---,  ---,  ---,  ---,16.4,  ---,  ---,1.1,3.1,5,  ---,  ---,6.4,3.2,4.5
Polygonum rurivagum,  ---,  ---,  ---,  ---,11.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.1,0.6
Oxalis violacea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.7,  ---,  ---,  ---,  ---,  ---,  ---,12.7,  ---,  ---,  ---,  ---,2.4,  ---,  ---,3.1,6.7
Petroselinum crispum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.1,  ---
Veronica polita,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.1,4.2
Herniaria lusitanica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.6,  ---,  ---,  ---,  ---,  ---,3,  ---
Chenopodiastrum murale,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.3,  ---,  ---,  ---,  ---,  ---,  ---,3.1,3,4.1
Borago officinalis,  ---,  ---,  ---,7.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3,2.9,  ---
Paspalum vaginatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.5,  ---,  ---,2.2,  ---,  ---,  ---,  ---,  ---,  ---,2.9,2.8,5.1
Ajuga reptans,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.7,  ---
Diplotaxis catholica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5,  ---,  ---,2.7,  ---,1.5,  ---,  ---,2.7,3.8
Alopecurus myosuroides,  ---,  ---,  ---,3.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.1,  ---,  ---,  ---,  ---,  ---,  ---,2.8,2.7,5
Echium plantagineum,  ---,6.5,4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1,  ---,  ---,1.9,  ---,  ---,  ---,  ---,7.7,  ---,4.4,2.7,1.7
Linaria spartea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,11.4,0.3,  ---,  ---,  ---,  ---,13.8,  ---,  ---,2.6,  ---
Calendula arvensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.2,  ---,  ---,  ---,  ---,  ---,8.5,  ---,  ---,  ---,  ---,29,  ---,0.6,2.6,1.5
Lepidium coronopus,  ---,  ---,  ---,  ---,4.9,  ---,  ---,  ---,  ---,3.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.2,9.8,  ---,  ---,  ---,2.5,2.4,1.1
Erigeron sumatrensis,  ---,7.4,  ---,1.6,  ---,  ---,  ---,0.8,  ---,11.6,6.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.5,2.4,2.3
Lycopsis arvensis,  ---,  ---,  ---,2.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9,  ---,  ---,1.6,  ---,  ---,  ---,  ---,3,  ---,  ---,2.1,6.1
Lathyrus pratensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,10.3,  ---,  ---,1.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.1,5
Hypochaeris radicata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.9,13.6,13.2,  ---,  ---,  ---,8.9,  ---,  ---,  ---,  ---,  ---,9.1,  ---,1.4,2,5.4
Paspalum dilatatum,  ---,  ---,  ---,  ---,6.4,  ---,  ---,1.3,15.4,7.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4,  ---,  ---,  ---,  ---,  ---,1.8,4.3
Geranium rotundifolium,  ---,  ---,  ---,  ---,  ---,3.3,  ---,1.3,  ---,7,  ---,  ---,  ---,  ---,14.8,  ---,2.1,  ---,  ---,  ---,  ---,  ---,  ---,1.9,1.8,2.6
Urtica urens,  ---,  ---,  ---,  ---,  ---,3.3,  ---,  ---,  ---,  ---,17.2,  ---,0.4,  ---,3.6,  ---,5.3,  ---,  ---,0.4,  ---,  ---,  ---,  ---,1.8,2.6
Verbena officinalis,  ---,  ---,  ---,6.2,3.6,12.1,  ---,  ---,13.7,29.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.4,  ---,  ---,  ---,  ---,  ---,6.9,1.8,0.6
Polycarpon tetraphyllum,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.9,  ---,  ---,  ---,  ---,10.9,0.1,  ---,16.4,0.8,8,  ---,4.1,  ---,1.6,1.6
Avena fatua,  ---,  ---,  ---,  ---,  ---,11.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.5,  ---,1.6,1.5,5.1
Geranium molle,  ---,18.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,25.7,  ---,  ---,  ---,8.4,  ---,19.4,  ---,  ---,  ---,  ---,0.5,  ---,3.5,1.4,1
Trifolium arvense,  ---,  ---,2.2,  ---,  ---,  ---,  ---,  ---,  ---,3.2,  ---,  ---,  ---,  ---,  ---,12.5,0.5,  ---,6.5,3.3,  ---,6.5,  ---,  ---,1.1,1.9
Herniaria hirsuta,  ---,  ---,7.5,  ---,  ---,  ---,2.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1,  ---,11.7,  ---,  ---,1.1,  ---
Trifolium dubium,3,  ---,  ---,  ---,  ---,  ---,1.1,  ---,8,5.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.5,  ---,  ---,4.9,  ---,1.2,1.1,0.7
Physospermum cornubiense,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1,  ---
Fumaria sepium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,21.4,  ---,1,  ---
Sinapis arvensis,12.5,  ---,  ---,8.7,  ---,7.3,  ---,  ---,  ---,4.8,  ---,  ---,  ---,3,  ---,  ---,  ---,4.9,  ---,  ---,  ---,  ---,  ---,5.4,1,  ---
Sherardia arvensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6,  ---,  ---,2.8,2.6,  ---,4,  ---,1.9,  ---,  ---,6.1,9.1,  ---,1,4.2
Phalaris canariensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8,  ---,0.1,  ---,7.4,0.9,0.8
Ornithopus sativus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,24.1,  ---,0.9,0.8,1.5
Cotula australis,  ---,4.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,22.4,  ---,  ---,  ---,  ---,  ---,0.8,0.1
Lotus hispidus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,29.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8,  ---
Gnaphalium uliginosum,  ---,  ---,  ---,  ---,18,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5,  ---,  ---,  ---,  ---,  ---,6.3,  ---,  ---,  ---,  ---,0.6,2.5
Cichorium intybus,  ---,  ---,  ---,0.9,  ---,25.3,1.9,  ---,  ---,7.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6,1.4
Papaver rhoeas,  ---,  ---,  ---,3.4,  ---,26.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5,  ---,13.2,0.6,8.6
Oxalis acetosella,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,20.9,4,  ---,  ---,1.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6,1.2
Arabidopsis thaliana,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16,  ---,  ---,0.5,  ---,20.2,  ---,  ---,0.6,1.8
Tolpis umbellata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1,17.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,18.4,  ---,0.6,0.5,3
Juncus bufonius,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,24.6,1.4,  ---,6.5,  ---,  ---,0.5,0.8
Melilotus officinalis,  ---,  ---,  ---,0.6,  ---,  ---,1.3,  ---,  ---,20.4,  ---,  ---,  ---,0.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4,4
Ranunculus repens,16.7,6.1,  ---,  ---,  ---,  ---,  ---,  ---,18.2,  ---,  ---,  ---,  ---,13.4,  ---,  ---,2.5,12.7,  ---,  ---,  ---,  ---,9,  ---,0.4,  ---
Vicia sepium,9.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14.2,  ---,6.9,  ---,  ---,6.8,  ---,  ---,1.8,  ---,  ---,  ---,  ---,0.9,  ---,  ---,0.2,  ---
Medicago sativa,1.8,  ---,  ---,0.5,  ---,13.5,  ---,  ---,  ---,13.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12.2,0.2,4.9
Rumex bucephalophorus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.1,  ---,  ---,  ---,  ---,15.5,1.9,  ---,  ---,  ---,  ---,23.1,  ---,  ---,0,  ---
Dittrichia viscosa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.3,10.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.3
Lupinus angustifolius,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.2,  ---,  ---,  ---,  ---,  ---,6,  ---,  ---,  ---,  ---,25.9,  ---,  ---,  ---,  ---
Saponaria officinalis,  ---,  ---,  ---,6.8,3.4,11.2,  ---,  ---,5.3,  ---,  ---,  ---,  ---,2.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.9
Laserpitium latifolium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Ipomoea indica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Soliva sessilis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Salix viminalis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Scorzoneroides autumnalis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Cochlearia officinalis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Atropa bella-donna,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Juncus subnodulosus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Cirsium oleraceum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Taeniatherum caput-medusae,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Rhamnus alaternus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Salix caprea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Hypericum linarifolium aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Polygala vulgaris,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Stachys officinalis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Saxifraga fragosoi,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Carex riparia,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Rorippa islandica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Sibthorpia europaea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Gagea soleirolii,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Onopordum acaulon,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Geum sylvaticum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Valerianella dentata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Cyperus michelianus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Salix repens,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Dichondra micrantha,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Ammi visnaga,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Galium rotundifolium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Crypsis alopecuroides,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Clinopodium menthifolium aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Carex divisa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Linaria badalii,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Festuca heterophylla,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Arabis hirsuta,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Salix x eriophora,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Galium verrucosum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Glandora diffusa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Bromus secalinus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Vicia narbonensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Euphorbia prostrata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Brachypodium retusum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Bromopsis ramosa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Centaurea nemoralis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Eucalyptus globulus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Onopordum nervosum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Cyperus fuscus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Sisymbrium macroloma,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Gentiana pneumonanthe,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Bassia prostrata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Saxifraga clusii,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Galium pumilum aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Rumex arifolius,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
Antirrhinum braun-blanquetii,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5
