"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"24","T-P07857",1620,"Paspalo-Agrostietum semiverticillatae",507857,"Paspalo-Agrostion semiverticillati"," Qb    ","",NA,15,"1999",-1.665066826,42.7927144,"3 - UTM10x10 + Elevation",390,"Paspalo-Agrostion semiverticillati","Bidentetea",1,"Bidentetea"
"25","T-P07858",1621,"Paspalo-Agrostietum semiverticillatae",507858,"Paspalo-Agrostion semiverticillati"," Qb    ","",NA,10,"1999",-1.829320867,42.90077282,"2 - UTM1x1 + Centroid",420,"Paspalo-Agrostion semiverticillati","Bidentetea",1,"Bidentetea"
"26","T-P07859",1622,"Paspalo-Agrostietum semiverticillatae",507859,"Paspalo-Agrostion semiverticillati"," Qb    ","",NA,6,"1999",-1.824353868,42.90432396,"1 - UTM1x1 + Elevation",440,"Paspalo-Agrostion semiverticillati","Bidentetea",1,"Bidentetea"
"27","T-P07860",1623,"Paspalo-Agrostietum semiverticillatae",507860,"Paspalo-Agrostion semiverticillati"," Qb    ","",NA,30,"1999",-1.603095485,42.82979684,"1 - UTM1x1 + Elevation",420,"Paspalo-Agrostion semiverticillati","Bidentetea",1,"Bidentetea"
"28","T-P07937",1640,"Xanthio-Polygonetum persicariae",1473,"Paspalo-Agrostion semiverticillati","V15","",NA,40,"1999",-1.662699505,42.78908468,"3 - UTM10x10 + Elevation",390,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"29","T-P07943",1642,"Xanthio-Polygonetum persicariae",1475,"Paspalo-Agrostion semiverticillati","V15","",NA,40,"1999",-7,43,"5 - UTMs missing from DEM",340,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"30","T-P07949",1643,"Xanthio-Polygonetum persicariae",1476,"Paspalo-Agrostion semiverticillati","V15","",NA,20,"1999",-7,43,"5 - UTMs missing from DEM",330,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"31","T-P07953",1644,"Xanthio-Polygonetum persicariae",1477,"Paspalo-Agrostion semiverticillati","V15","",NA,20,"1999",-7,43,"5 - UTMs missing from DEM",340,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"32","T-P07954",1645,"Xanthio-Polygonetum persicariae",1478,"Paspalo-Agrostion semiverticillati","V15","",NA,30,"1999",-1.608149638,42.82265427,"1 - UTM1x1 + Elevation",420,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"33","T-P07957",1646,"Xanthio-Polygonetum persicariae",507957,"Paspalo-Agrostion semiverticillati","R55","",NA,8,"1999",-7,43,"5 - UTMs missing from DEM",330,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"34","T-P07961",1647,"Xanthio-Polygonetum persicariae",1479,"Paspalo-Agrostion semiverticillati","V37","",NA,15,"1999",-1.662544403,42.79628705,"3 - UTM10x10 + Elevation",390,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"35","T-P18089",1989,"Bidentetea tripartitae",518089,"Paspalo-Agrostion semiverticillati"," C35a  ","",NA,NA,"1966",-7.729698639,42.1300718,"4 - UTM10x10 + Centroid",620,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"36","U-P12293",2502,"Cypero eragrostidi-Bidentetum frondosae",612293,"Bidention tripartitae"," C35a  ","",0,8,"2006",-8.23690587,42.13864329,"1 - UTM1x1 + Elevation",40,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
