"SIVIMID","CANTEUNIS"
"U-P12317","Q61Z"
"U-P12304","Q61Z"
"U-P12305","Q61Z"
"U-P12314","Q61Z"
"U-P12315","Q61Z"
"U-P12312","Q61Z"
"U-P12313","Q61Z"
"U-P12298","Q61Z"
"U-P12295","Q61Z"
"U-P12299","Q61Z"
"U-P12300","Q61Z"
"U-P12301","Q61Z"
"U-P12302","Q61Z"
"U-P12303","Q61Z"
"U-P12328","Q61Z"
"U-P12293","Q61Z"
"U-P12294","Q61Z"
"U-P12330","Q61Z"
"U-P12296","Q61Z"
"U-P12297","Q61Z"
"U-P12324","Q61Z"
"U-P12320","Q61Z"
"U-P12322","Q61Z"
"Q-P08765","V38Y"
"T-P06652","V38Y"
"T-P06650","V38Y"
"U-P00607","V38Y"
"T-P22336","V38Y"
"T-P11671","V38Y"
"S-P11152","V38Y"
"R-P12765","V38Y"
"T-P15427","V38Y"
"U-P00611","V38Y"
"T-P22357","V38Y"
"T-P15426","V38Y"
"T-P22363","V38Y"
"T-P12291","V38Y"
"T-P22337","V38Y"
"T-P06651","V38Y"
"U-P00115","V38Y"
"T-P12292","V38Y"
"R-P24049","V38Y"
"U-P16703","V38Y"
"T-P12289","V38Y"
"T-P12290","V38Y"
"S-P21801","V38Y"
"T-P22362","V38Y"
"T-P22360","V38Y"
"U-P00606","V38Y"
"T-P22339","V38Y"
"S-P21802","V38Y"
"T-P02609","V38Y"
"T-P15413","V38Y"
"R-P24048","V38Y"
"T-P22358","V38Y"
"T-P22333","V38Y"
"R-P24574","V38Y"
"U-P00116","V38Y"
"T-P11670","V38Y"
"T-P22359","V38Y"
"T-P22329","V38Y"
"R-P24047","V38Y"
"T-P22356","V38Y"
"S-P11153","V38Y"
"U-P00610","V38Y"
"S-P19747","V38Y"
"U-P00117","V38Y"
"R-P24046","V38Y"
"T-P02602","V38Y"
"R-P23983","V37X"
"R-P23961","V37X"
"R-P23984","V37X"
"S-P18277","V37X"
"Q-P10022","V37X"
"S-P19649","V37X"
"Q-P10023","V37X"
"Q-P10021","V37X"
"S-P18302","V37X"
"Q-P10024","V37X"
"T-P11853","V37X"
"U-P15500","V37X"
"R-P23985","V37X"
"R-P23988","V37X"
"R-P23960","V37X"
"U-P15499","V37X"
"T-P06631","V38X"
"U-P00602","V38X"
"T-P22334","V38X"
"T-P22330","V38X"
"T-P11669","V38X"
"T-P23965","V38X"
"T-P23959","V38X"
"U-P00111","V38X"
"U-P00108","V38X"
"Q-P09946","V38X"
"S-P11133","V38X"
"T-P22327","V38X"
"Q-P08767","V38X"
"U-P00107","V38X"
"T-P22331","V38X"
"T-P17235","V38X"
"S-P11160","V38X"
"S-P11159","V38X"
"T-P06628","V38X"
"T-P12288","V38X"
"U-P16705","V38X"
"U-P00110","V38X"
"Q-P08760","V38X"
"T-P22343","V38X"
"T-P22341","V38X"
"U-P00113","V38X"
"Q-P08758","V38X"
"Q-P08763","V38X"
"T-P17236","V38X"
"R-P24575","V38X"
"S-P11158","V38X"
"T-P22361","V38X"
"T-P03075","V38X"
"T-P22335","V38X"
"T-P22342","V38X"
"T-P04818","V38X"
"U-P00114","V38X"
"R-P28999","V38X"
"T-P04817","V38X"
"T-P04821","V38X"
"U-P00112","V38X"
"T-P11666","V38X"
"T-P04823","V38X"
"T-P22326","V38X"
"T-P23966","V38X"
"U-P16702","V38X"
"S-P11155","V38X"
"R-P28996","V38X"
"T-P23967","V38X"
"Q-P08756","V38X"
"S-P11156","V38X"
"T-P23964","V38X"
"U-P00603","V38X"
"T-P03076","V38X"
"S-P11151","V38X"
