Analysis.Names,Origin in the Czech Republic,Invasion status,Geographic origin,Year of the first record in the wild,Year of the last record,Period of introduction,Introduction pathway,heightmax,floweringmin,floweringmax,floweringmean,floweringwidth,neophyte,bryophyte,chamaephyte,geophyte,hemicryptophyte,hydrophyte,therophyte,phanerophyte,EIVE1.M,EIVE1.N,EIVE1.R,EIVE1.L,EIVE1.T,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance
Cirsium palustre,native,,,,,,,200,6,8,7,3,0,0,0,0,1,0,0,0,6.4,4,4.3,6.8,3.9,0.48986,0.42966,1.02126,1.68152,0.61995,0.22693,0.17554
Cirsium pannonicum,native,,,,,,,80,6,7,6.5,2,0,0,0,0,1,0,0,0,3.6,3.3,7.3,7,4.8,0.50978,0.45287,1.00162,1.76896,0.8682,0.26327,0.1381
Cirsium pyrenaicum aggr.,absent,,,,,,,150,6,9,7.5,4,0,0,0,0,1,0,0,0,5,3.9,5.2,8.1,3.3,0.40514,0.38864,1.54958,1.85049,0.93869,0.33378,0.12406
Cirsium richterianum (synonym of Lophiolepis richteriana),absent,,,,,,,70,7,9,8,3,0,0,0,0,1,0,0,0,2.4,6.3,7.3,8.2,2.3,0.67667,0.6623,1.69986,1.69986,1.10192,0.25833,0.23333
Cirsium vulgare,native,,,,,,,250,6,9,7.5,4,0,0,0,0,1,0,0,0,4.2,7.5,6.4,7.8,4.3,0.5681,0.51951,1.12401,1.73868,0.64408,0.31575,0.32626
Cistus salviifolius,absent,,,,,,,90,3,6,4.5,4,0,0,0,0,0,0,0,1,1.9,2.1,4.6,8,6.9,0.66791,0.22019,0.23128,1.37053,0.02216,0.26643,0.11048
Cladanthus mixtus,absent,,,,,,,40,3,8,5.5,6,0,0,0,0,0,0,1,0,2.5,2.2,2.4,8.6,6.3,0.67681,0.64662,1.38065,2.14089,0.5052,0.23864,0.40725
Clematis vitalba,native,,,,,,,50,6,8,7,3,0,0,0,0,0,0,0,1,4.4,6.6,7.2,6.4,4.9,0.67274,0.19896,0.13039,1.32576,0.04466,0.20186,0.11616
Clinopodium menthifolium aggr.,neophyte,casual,"Europe, Mediterranean",1989,,Recent Past (1950–2000),unintentional – traffic,75,7,10,8.5,4,0,0,0,0,1,0,0,0,3.8,4.2,8.2,6,5,0.66982,0.16215,0.07662,1.32903,0.04812,0.20643,0.10711
Clinopodium nepeta,neophyte,casual,"Europe, Mediterranean",,,,,75,2,12,7,11,0,0,0,0,1,0,0,0,2.9,4.3,7.9,6.6,5.6,0.69397,0.48852,0.48835,1.49824,0.29134,0.25243,0.24019
Clinopodium vulgare,native,,,,,,,95,5,10,7.5,6,0,0,0,0,1,0,0,0,3.6,3.4,6.8,6.5,4.2,0.62163,0.24005,0.21377,1.41529,0.15706,0.21164,0.13834
Cochlearia officinalis,archaeophyte/neophyte,casual,Europe,1819,1928,"Late Middle Ages and Early Modern Period (merged category, 1200–1800)",intentional – crops,30,4,5,4.5,2,1,0,0,0,1,0,0,0,5.8,5.3,6.4,8,4.5,0.48896,0.48667,1.75595,1.79118,0.08881,0.42787,0.23071
Coincya monensis aggr.,absent,,,,,,,100,4,8,6,5,0,0,0,0,1,0,0,0,3.5,3.7,5.6,9.5,6,0.462,0.44503,1.34004,1.52093,0.26543,0.22488,0.25729
Colchicum montanum,absent,,,,,,,4,7,11,9,5,0,0,0,1,0,0,0,0,4.2,3.4,5.3,6.7,3.6,0.4535,0.4493,2.00138,2.00653,0.57866,0.46888,0.221
Coleostephus myconis,cultivated only,,Mediterranean,,,,,50,3,8,5.5,6,0,0,0,0,0,0,1,0,2.8,5,5.2,8.2,6.2,0.7119,0.68901,1.43171,1.89218,0.54955,0.26789,0.37421
Conium maculatum,archaeophyte,naturalized,"Mediterranean, Asia",,,Early Middle Ages (550–1200),"unintentional – agriculture, unintentional – anthropogenic",200,3,8,5.5,6,0,0,0,0,1,0,0,0,4.6,8.1,6.2,7.5,4.8,0.72376,0.6326,0.85414,1.59298,0.5676,0.17984,0.31354
Conopodium arvense aggr.,absent,,,,,,,40,4,8,6,5,0,0,0,1,0,0,0,0,3.4,1.8,3.2,8.1,3.9,0.61383,0.304,0.30461,1.41635,0.10125,0.282,0.16374
Conopodium majus,absent,,,,,,,60,4,8,6,5,0,0,0,0,1,0,0,0,4.2,4.6,4,6.7,3.9,0.57255,0.29043,0.35923,1.51128,0.23438,0.23586,0.20217
Conopodium subcarneum,absent,,,,,,,60,5,7,6,3,0,0,0,1,0,0,0,0,4.5,1.8,4.2,8.1,3.3,0.55312,0.33143,0.42882,1.59517,0.27997,0.35294,0.21212
Consolida ajacis,neophyte,casual,Mediterranean,1880,,Late Modern Period (1800–1950),intentional – ornamental,100,5,8,6.5,4,1,0,0,0,0,0,1,0,3.3,5.8,7.4,7.7,6.1,0.87241,0.80345,1.44998,2.0015,0.23895,0.15,0.67586
Consolida regalis,archaeophyte,naturalized,Mediterranean,,,Bronze Age (2300–750 BCE),unintentional – agriculture,300,NA,NA,NA,NA,1,0,0,0,0,0,1,0,3.5,5.2,7.5,7.1,5.3,0.81394,0.80939,1.87737,1.99616,0.4099,0.15474,0.71628
Convolvulus arvensis,archaeophyte,naturalized,Mediterranean,,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – anthropogenic",200,1,12,6.5,12,0,0,0,1,0,0,0,0,3.6,5.2,7,7.1,5,0.69239,0.67894,1.55406,1.88846,0.70954,0.18169,0.49207
Corema album,absent,,,,,,,75,3,4,3.5,2,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornus sanguinea,native,,,,,,,500,5,7,6,3,0,0,0,0,0,0,0,1,4.4,5.3,7.5,6.3,4.3,0.66959,0.18576,0.11569,1.33503,0.03304,0.20329,0.10324
Coronilla scorpioides,neophyte,casual,Mediterranean,,,Late Modern Period (1800–1950),unintentional – traffic,55,4,6,5,3,0,0,0,0,0,0,1,0,1.9,3.3,6.8,8.3,6.5,0.71108,0.5868,0.83094,1.77756,0.29022,0.29315,0.32954
Corrigiola litoralis,native,,,,,,,50,3,9,6,7,0,0,0,0,0,0,1,0,5.5,4.8,4.5,8.2,5.1,0.78548,0.78306,1.79545,1.84923,0.16707,0.1887,0.44595
Corrigiola telephiifolia,absent,,,,,,,80,4,8,6,5,0,0,1,0,0,0,0,0,3,2.9,2.4,8.3,5.2,0.53659,0.52273,1.90492,2.00807,0.288,0.25652,0.375
Cortaderia selloana,cultivated only,,,,,,,300,7,12,9.5,6,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0.60294,0.55429,1.04754,1.50624,0.42903,0.23784,0.23158
Corylus avellana,native,,,,,,,800,1,3,2,3,0,0,0,0,0,0,0,1,4.4,5.7,5.7,5.4,4.3,0.68875,0.15578,0.06738,1.33709,0.01209,0.19346,0.10567
Corynephorus canescens,native,,,,,,,50,6,8,7,3,0,0,0,0,1,0,0,0,2.4,1.8,3.1,8.3,4.9,0.41438,0.36556,1.16035,1.9401,0.21513,0.26972,0.39925
Cotoneaster coriaceus,absent,,,,,,,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotula australis,neophyte,casual,Australia,1958,1961,Recent Past (1950–2000),unintentional – industry,10,4,8,6,5,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula tillaea,absent,,,,,,,8,1,8,4.5,8,0,0,0,0,0,0,1,0,5,2.7,4.5,8.1,5.8,0.56434,0.53937,1.74121,2.0595,0.35868,0.38421,0.32538
Crataegus monogyna,native,,,,,,,500,2,7,4.5,6,0,0,0,0,0,0,0,1,4,4.5,6.9,6.9,4.8,0.65822,0.18308,0.12585,1.33583,0.04533,0.21048,0.11227
Crepis capillaris,archaeophyte,naturalized,Europe,,,Early Middle Ages (550–1200),"unintentional – plantations, unintentional – industry",60,3,10,6.5,8,0,0,0,0,0,0,1,0,3.9,4.1,5.7,7.3,4.5,0.52833,0.51569,1.63653,2.07309,0.96127,0.27844,0.39266
Crepis foetida,archaeophyte,naturalized,"Europe, Mediterranean",,,,,50,4,8,6,5,0,0,0,0,0,0,1,0,3,5,6.9,8.7,6,NA,NA,NA,NA,NA,NA,NA
Crepis lampsanoides,absent,,,,,,,86,5,8,6.5,4,0,0,0,0,1,0,0,0,5.1,6.2,7,6,3.7,0.64839,0.17897,0.12646,1.3465,0.02643,0.19589,0.1015
Crepis pulchra,neophyte,casual,"Europe, Mediterranean, Asia",2021,,Present (after 2000),"unintentional – traffic, unintentional – anthropogenic",90,5,7,6,3,0,0,0,0,0,0,1,0,3.3,5.8,7.6,6.6,5.8,0.7,0.61284,0.88281,1.73725,0.50564,0.21342,0.40323
Crepis vesicaria,neophyte,casual,Mediterranean,1899,1900,Late Modern Period (1800–1950),unintentional – traffic,45,4,5,4.5,2,0,0,0,0,1,0,1,0,3.8,6.6,6.6,7.9,6.7,0.66414,0.54648,0.7991,1.80405,0.50385,0.2356,0.33878
Crithmum maritimum,lack of evidence of occurrence in the wild,,,,,,,45,5,7,6,3,0,0,1,0,0,0,0,0,3.4,5,6.5,9.1,7,0.32256,0.31041,0.77244,0.80101,0.08731,0.10925,0.23849
Crocosmia x crocosmiiflora,absent,,,,,,,80,6,8,7,3,1,0,0,1,0,0,0,0,5.1,4.3,3.3,6.8,NA,0.67255,0.40189,0.38681,1.52288,0.05654,0.20392,0.15283
Crucianella angustifolia,absent,,,,,,,45,4,7,5.5,4,0,0,0,0,0,0,1,0,2.1,3.3,6.3,8.1,6.5,0.60926,0.45743,0.69663,1.73127,0.27976,0.32141,0.23624
Crucianella maritima,absent,,,,,,,50,5,8,6.5,4,0,0,1,0,0,0,0,0,2.5,4.5,6.4,8.5,7.5,0.3429,0.32256,1.41001,1.52967,0.00729,0.16289,0.48515
Cruciata glabra,lo cambia a Cruciata verna; pone native,,,,,,,35,4,7,5.5,4,0,0,0,0,1,0,0,0,4.4,5.1,5.8,6.4,4.2,0.60253,0.26045,0.25287,1.44059,0.18853,0.20389,0.15087
Cruciata laevipes,native,,,,,,,75,4,7,5.5,4,0,0,0,0,1,0,0,0,4.6,6.3,6,6.5,4.2,0.56928,0.38054,0.51423,1.52237,0.38135,0.20138,0.21407
Cruciata pedemontana,native,,,,,,,40,5,7,6,3,0,0,0,0,0,0,1,0,3.1,2.8,6.4,7.3,5.4,0.53912,0.49213,1.15798,1.79585,0.4426,0.31875,0.2457
Crypsis alopecuroides,native,,,,,,,40,7,10,8.5,4,0,0,0,0,0,0,1,0,5.3,3.6,7.5,8.3,5.9,0.65357,0.64539,1.69726,1.8488,0.24587,0.24143,0.33404
Cuscuta campestris,neophyte,invasive,North America,1883,,Late Modern Period (1800–1950),"unintentional – agriculture, unintentional – plantations",45,5,10,7.5,6,1,0,0,0,0,0,1,0,4.1,5.3,6.4,7.3,5.5,0.70903,0.69028,1.38372,1.81078,0.41064,0.17569,0.49859
Cuscuta europaea,native,,,,,,,200,6,10,8,5,0,0,0,0,0,0,1,0,5.7,7.4,6.5,6.4,4.6,0.56911,0.49109,0.86191,1.29235,0.48024,0.18363,0.17284
Cyanus segetum (Synonym of Centaurea cyanus),archaeophyte,naturalized,anecophyte,,,Early Middle Ages (550–1200),unintentional – agriculture,85,4,9,6.5,6,0,0,0,0,0,0,1,0,3.8,5.5,5.5,7.5,4.9,0.88976,0.88626,1.9113,2.11778,0.27717,0.1004,0.87089
Cymbalaria muralis,archaeophyte, naturalized, Mediterranean,,,Late Middle Ages (1200–1500) ,intentional – ornamental,70,1,11,6,11,0,0,0,0,1,0,0,0,4.5,4.5,7.6,6.6,5.4,0.56653,0.33976,0.3602,1.05451,0.14169,0.14122,0.20123
Cynodon dactylon,archaeophyte,naturalized,"Asia, Africa",,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – industry, unintentional – anthropogenic",40,1,12,6.5,12,0,0,0,1,1,0,0,0,3.3,5.3,6.5,8,5.9,0.65056,0.63584,1.49629,1.83257,0.53796,0.25839,0.41461
Cynoglossum creticum,absent,,,,,,,70,3,7,5,5,0,0,0,0,1,0,0,0,2.5,7.4,7.6,7.5,6.6,0.74933,0.62646,0.71323,1.61179,0.41637,0.23717,0.33514
Cynoglossum dioscoridis,absent,,,,,,,40,5,7,6,3,0,0,0,0,1,0,0,0,3.2,7.4,8,7.9,4.9,NA,NA,NA,NA,NA,NA,NA
Cynosurus cristatus,native,,,,,,,95,5,8,6.5,4,0,0,0,0,1,0,0,0,4.4,4.3,5.6,7.8,3.9,0.50421,0.49749,1.83545,2.2368,1.2334,0.37538,0.34444
Cynosurus echinatus,neophyte,casual,Mediterranean,,,Recent Past (1950–2000),unintentional – industry,80,4,8,6,5,0,0,0,0,0,0,1,0,2.6,4.9,5.5,8.6,6.3,0.62313,0.44292,0.58536,1.66338,0.27533,0.28433,0.23801
Cynosurus effusus,absent,,,,,,,80,4,7,5.5,4,0,0,0,0,0,0,1,0,2.2,2.6,7.1,8.6,6.5,0.64629,0.24956,0.22986,1.44585,0.06575,0.28452,0.1385
Cyperus capitatus,absent,,,,,,,40,4,10,7,7,0,0,0,1,1,0,0,0,2.9,4.4,7,9.6,7.9,0.43282,0.41723,1.65684,1.95481,0.01323,0.13253,0.66005
Cyperus eragrostis,neophyte,casual,"North America, Central America, South America",1999,,Recent Past (1950–2000),"unintentional – anthropogenic, unintentional – nature",80,4,10,7,7,1,0,0,1,1,0,0,0,6,6,6.1,7.6,6,0.59087,0.51745,0.92286,1.59111,0.32132,0.27682,0.22694
Cyperus esculentus,cultivated only,,,,,,,60,6,11,8.5,6,0,0,0,1,1,0,0,0,5.7,6,6.6,8.4,7.5,0.79324,0.78514,1.56296,1.76362,0.29626,0.15676,0.46486
Cyperus flavescens,native,,,,,,,30,7,11,9,5,0,0,0,0,0,0,1,0,6.3,5.1,6.2,8.2,5,0.64167,0.63732,1.84296,1.98135,0.21322,0.28531,0.27376
Cyperus fuscus,native,,,,,,,13,6,9,7.5,4,0,0,0,0,0,0,1,0,7.1,5.6,6.2,8.5,4.8,0.66508,0.6576,1.62329,1.79316,0.11393,0.2123,0.30871
Cyperus longus,absent,,,,,,,78,5,11,8,7,0,0,0,0,1,0,0,0,7.3,5.6,6.1,7.9,5.6,0.42981,0.38131,1.08447,1.74257,0.31829,0.22989,0.14987
Cyperus michelianus,native,,,,,,,6.7,2,11,6.5,10,0,0,0,0,0,0,1,0,6.6,5.6,6.5,8.4,5.3,0.79091,0.78015,1.68081,1.95374,0.03417,0.20942,0.38222
Cyperus rotundus,neophyte,casual,Mediterranean,1960,,Recent Past (1950–2000),unintentional – industry,30,5,11,8,7,0,0,0,1,1,0,0,0,5.7,6.8,7.2,8.2,7.5,0.85446,0.8505,2.01189,2.31894,0.95983,0.1433,0.65354
Cystopteris fragilis aggr.,native,,,,,,,45,6,11,8.5,6,0,0,0,1,1,0,0,0,5.2,4.3,7.1,4.3,3.8,0.56701,0.20685,0.20977,1.12149,0.0425,0.1656,0.11045
Cytisus oromediterraneus,absent,,,,,,,100,5,6,5.5,2,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytisus scoparius,neophyte,naturalized,Europe,1819,,Early Modern Period (1500–1800),"intentional – forest, intentional – other",200,2,7,4.5,6,0,0,0,0,0,0,0,1,3.8,3.3,3.1,7.4,4.4,0.5565,0.22918,0.29477,1.38287,0.099,0.24673,0.15301
Cytisus striatus,absent,,,,,,,300,4,7,5.5,4,0,0,0,0,0,0,0,1,3.1,2.9,3.1,7.9,5.9,0.36989,0.2016,0.60531,1.3437,0.02264,0.29144,0.11263
Dactylis glomerata,native,,,,,,,150,3,10,6.5,8,0,0,0,0,1,0,0,0,4.3,6.3,6,6.8,4.5,0.56899,0.4288,0.64817,1.63031,0.49671,0.22558,0.25973
Dactylorhiza elata,absent,,,,,,,73,5,7,6,3,0,0,0,1,0,0,0,0,6.8,1.6,7.3,9.5,6.2,0.38689,0.35841,1.4114,2.00628,0.89617,0.33279,0.13607
Daphne gnidium,absent,,,,,,,200,6,10,8,5,0,0,0,0,0,0,0,1,2.7,3.7,4,6.9,6.8,0.67785,0.18909,0.1765,1.35587,0.00817,0.26448,0.10703
Daphne laureola,absent,,,,,,,100,1,5,3,5,0,0,0,0,0,0,0,1,3.9,4,7.6,3.8,5.3,0.68884,0.11381,0.02457,1.2996,0.00303,0.1998,0.0993
Datura stramonium,archaeophyte,naturalized,North America,,,,,165,5,11,8,7,1,0,0,0,0,0,1,0,3.9,8,6.6,8,5.4,0.84804,0.83777,1.65487,2.0059,0.84497,0.13069,0.72038
Daucus carota,native,,anecophyte,,,,,170,3,9,6,7,0,0,0,0,1,0,1,0,3.7,4.5,6.6,8.1,4.8,0.57545,0.53032,1.14497,1.72102,0.70077,0.21269,0.32208
Delairea odorata,absent,,,,,,,300,11,13,12,3,1,0,0,0,0,0,0,1,1.7,0.8,5.3,9.4,7.3,NA,NA,NA,NA,NA,NA,NA
Delphinium peregrinum,absent,,,,,,,90,6,8,7,3,0,0,0,0,0,0,1,0,2.2,4,8.6,8.4,6.8,NA,NA,NA,NA,NA,NA,NA
Descurainia tanacetifolia,absent,,,,,,,115,6,8,7,3,0,0,0,0,1,0,0,0,5.2,4.3,4.1,6.4,2.1,0.43793,0.22667,0.64729,1.43586,0.01493,0.175,0.12069
Dianthus armeria,native,,,,,,,45,5,8,6.5,4,0,0,0,0,0,0,1,0,3.5,3.3,5.4,6.5,4.9,0.55254,0.42869,0.69112,1.76493,0.56893,0.2566,0.25105
Dichondra micrantha,absent,,,,,,,1,2,5,3.5,4,1,0,0,1,1,0,0,0,4.9,2.3,4.2,5,6.1,NA,NA,NA,NA,NA,NA,NA
Dichoropetalum carvifolia,absent,,,,,,,60,7,9,8,3,0,0,0,0,1,0,0,0,4.1,4.2,7,6.9,5,0.52288,0.41914,0.88611,1.63716,0.62918,0.18143,0.2529
Digitalis parviflora,absent,,,,,,,60,5,8,6.5,4,0,0,0,0,1,0,0,0,3.1,2.3,6.9,8.8,4.6,0.52258,0.32105,0.67728,1.51689,0.18692,0.28621,0.11034
Digitalis purpurea,archaeophyte/neophyte,naturalized,"Europe, Mediterranean",1790,,"Late Middle Ages and Early Modern Period (merged category, 1200–1800)","intentional – ornamental, intentional – other",100,5,8,6.5,4,0,0,0,0,1,0,0,0,4.5,6.1,2.8,6.3,4.3,0.62646,0.25957,0.23957,1.35635,0.1135,0.2011,0.15748
Digitaria ischaemum,archaeophyte,invasive,Mediterranean,,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – anthropogenic",35,6,10,8,5,0,0,0,0,0,0,1,0,4.1,3.7,3.1,7.5,4.8,0.80331,0.80147,1.99824,2.10103,0.45098,0.14874,0.70081
Digitaria sanguinalis,archaeophyte,invasive,Mediterranean,,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – anthropogenic",60,6,11,8.5,6,0,0,0,0,0,0,1,0,3.5,5.5,5.2,7.3,5.2,0.81375,0.81056,1.87629,2.01016,0.81,0.15837,0.64088
Dioscorea communis,absent,,,,,,,20,3,6,4.5,4,0,0,0,1,0,0,0,0,4.4,5.5,7.5,5.5,5.6,0.68707,0.14404,0.06178,1.30695,0.00922,0.21414,0.09968
Diplotaxis catholica,absent,,,,,,,80,9,18,1.5,10,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplotaxis muralis,archaeophyte,naturalized,Mediterranean,,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – nature",50,4,10,7,7,0,0,0,0,1,0,1,0,3.4,5.8,7.6,8.1,5.7,0.77719,0.76786,1.6214,1.91258,0.88621,0.16495,0.60572
Diplotaxis tenuifolia,archaeophyte,naturalized,Mediterranean,,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – nature",100,4,12,8,9,0,0,0,0,1,0,0,0,3.3,5.5,6.7,8,5.5,0.72821,0.71357,1.55099,1.82887,0.72433,0.18479,0.47139
Dipsacus fullonum,native,,,,,,,150,7,8,7.5,2,0,0,0,0,1,0,0,0,4.9,6.6,7.4,8.2,4.9,0.62749,0.58201,1.11218,1.53794,0.69579,0.21134,0.22838
Dittrichia graveolens, neophyte,invasive,Mediterranean,2008,,Present (after 2000),unintentional – traffic,70,8,11,9.5,4,1,0,0,0,0,0,1,0,3.2,6,7.5,8.8,6.1,0.73284,0.73284,1.75678,1.75678,0.53457,0.15,0.45373
Dittrichia viscosa,absent,,,,,,,100,4,11,7.5,8,0,0,1,0,1,0,0,0,4,6.5,7.2,9.1,6.7,0.60787,0.53671,0.96724,1.42455,0.35903,0.23008,0.24443
Doronicum austriacum,native,,,,,,,150,6,8,7,3,1,0,0,1,1,0,0,0,5.3,7.5,6.3,4.7,2.7,0.59217,0.18741,0.16642,1.15955,0.03716,0.18415,0.10081
Dorycnium hirsutum (synonym of Lotus hirsutus),absent,,,,,,,50,4,6,5,3,0,0,1,0,1,0,0,0,1.6,3.1,7.7,7,7.1,0.63211,0.28621,0.31686,1.30555,0.09103,0.25288,0.1222
Dorycnium rectum (synonym of Lotus rectus),absent,,,,,,,200,5,7,6,3,0,0,1,0,1,0,0,0,5.7,3.4,7.7,7.3,7,0.51042,0.40159,0.72599,1.54347,0.36793,0.22016,0.12934
Draba verna,absent,,,,,,,18,2,7,4.5,6,0,0,0,0,0,0,1,0,3.1,3.1,5.7,7.9,4.9,NA,NA,NA,NA,NA,NA,NA
Drabella muralis (synonym of Draba muralis),native,,,,,,,40,3,6,4.5,4,0,0,0,0,0,0,1,0,3.6,4.2,7.7,7,5.2,0.62621,0.53931,0.86297,1.62456,0.33747,0.25211,0.37639
Dryopteris borreri,native,,,,,,,130,6,10,8,5,0,0,0,0,1,0,0,0,4.7,4.8,4.8,2.5,3.3,NA,NA,NA,NA,NA,NA,NA
Dryopteris filix-mas,native,,,,,,,120,5,10,7.5,6,0,0,0,0,1,0,0,0,4.9,5.7,5.4,2.8,4,0.68588,0.14725,0.05448,1.29054,0.01205,0.18612,0.10546
Dysphania ambrosioides,neophyte,casual,South America,1831,,Late Modern Period (1800–1950),intentional – crops,80,5,12,8.5,8,1,0,0,0,0,0,1,0,4.2,6.6,6.9,8,5.5,0.79843,0.77722,1.48715,1.8231,0.31136,0.17302,0.46107
Dysphania pumilio,neophyte,naturalized,Australia,1890,,Late Modern Period (1800–1950),unintentional – industry,40,7,10,8.5,4,1,0,0,0,0,0,1,0,3.4,8.1,6.8,9.1,5.9,NA,NA,NA,NA,NA,NA,NA
Echinochloa crus-galli,archaeophyte,invasive,anecophyte,,,Neolithic (5600–4200 BCE),"unintentional – agriculture, unintentional – anthropogenic",100,6,10,8,5,0,0,0,0,0,0,1,0,5,8.2,6.2,6.7,5.5,0.78493,0.78038,1.71863,1.84495,0.41904,0.15837,0.61915
Echium lusitanicum,absent,,,,,,,90,6,8,7,3,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echium plantagineum,neophyte,casual,Mediterranean,1940,1940,Late Modern Period (1800–1950),"intentional – ornamental, unintentional – plantations",80,2,7,4.5,6,0,0,0,0,1,0,1,0,2.8,6.8,6.2,8.6,6.3,0.81315,0.77333,1.17968,1.93336,0.58886,0.23417,0.43719
Echium rosulatum,absent,,,,,,,100,5,8,6.5,4,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echium salmanticum,absent,,,,,,,180,6,10,8,5,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echium vulgare,native,,,,,,,100,5,8,6.5,4,0,0,0,0,1,0,0,0,3.1,4.1,6.6,8.8,4.7,0.57633,0.55499,1.44489,1.81436,0.579,0.25616,0.27657
Eleocharis multicaulis,absent,,,,,,,30,2,11,6.5,10,0,0,0,0,1,0,0,0,8,2,3.3,8,5,0.14753,0.1409,1.33209,1.36357,0.06817,0.09429,0.13372
Eleocharis palustris,native,,,,,,,60,3,11,7,9,0,0,0,1,1,0,0,0,7.6,4.6,6.3,7.8,4,0.37118,0.3692,1.7858,1.82936,0.33049,0.25604,0.12829
Eleusine indica,neophyte,casual,"Asia, Africa",1963,,Recent Past (1950–2000),unintentional – industry,60,7,12,9.5,6,1,0,0,0,0,0,1,0,3.5,7.1,6.2,8.5,6.8,0.88,0.88,2.62976,2.62976,1.33043,0.11818,0.52182
Elymus caninus,native,,,,,,,155,5,9,7,5,0,0,0,0,1,0,0,0,5.2,7.9,7.2,5.1,4.1,0.64576,0.32426,0.27205,1.36548,0.10235,0.18347,0.12682
Elytrigia atherica (synonym of Elymus athericus),absent,,,,,,,150,6,9,7.5,4,0,0,0,1,1,0,0,0,4.6,5.9,7.2,8.8,5.2,0.47463,0.46507,1.43525,1.51532,0.10698,0.32072,0.26686
Elytrigia campestris (synonym of Elymus pungens subsp. campestris),absent,,,,,,,120,5,9,7,5,0,0,0,0,1,0,0,0,3.4,5.7,6.6,8.3,5.4,0.57791,0.54453,1.29983,1.77987,0.52461,0.25466,0.28142
Elytrigia intermedia,native,,,,,,,120,5,9,7,5,0,0,0,1,0,0,0,0,2.8,4.4,7.9,7.3,5.2,0.51987,0.47271,1.14657,1.75195,0.59995,0.31766,0.16549
Elytrigia repens,lo cambia a Elymus repens; pone native,,,,,,,160,4,9,6.5,6,0,0,0,1,0,0,0,0,4.3,7.2,6.2,7.3,4.2,NA,NA,NA,NA,NA,NA,NA
Epilobium angustifolium,native,,,,,,,150,6,9,7.5,4,0,0,0,0,1,0,0,0,4.5,7.2,4.4,7.3,3.5,0.64058,0.29989,0.30275,1.34248,0.13188,0.19463,0.19041
Epilobium hirsutum,native,,,,,,,150,6,10,8,5,0,0,0,0,1,0,0,0,6.5,7.6,7.3,6.9,4.5,0.46459,0.41665,0.98972,1.42624,0.46979,0.18153,0.14439
Epilobium lanceolatum,native,,,,,,,65,6,8,7,3,0,0,0,0,1,0,0,0,4.1,4,3.8,7.1,5.5,0.6684,0.17258,0.085,1.33947,0.03113,0.196,0.12235
Epilobium montanum,native,,,,,,,100,6,8,7,3,0,0,0,0,1,0,0,0,4.6,5.9,5.8,4.2,3.9,0.6657,0.19349,0.11047,1.28546,0.05359,0.18578,0.11775
Epilobium obscurum,native,,,,,,,60,6,9,7.5,4,0,0,0,0,1,0,0,0,6.7,4.7,4.1,6.6,4.1,0.48834,0.44094,1.09169,1.66125,0.45269,0.19398,0.1407
Epilobium parviflorum,native,,,,,,,100,6,10,8,5,0,0,0,0,1,0,0,0,7,6.1,7.2,7.2,4.4,0.48492,0.43049,1.01201,1.65202,0.48239,0.25457,0.15201
Epilobium tetragonum,native,,,,,,,90,6,8,7,3,0,0,0,0,1,0,0,0,5.9,5.9,5.5,6.4,4.8,0.57418,0.53898,1.16591,1.71536,0.51795,0.23854,0.25595
Equisetum arvense,native,,,,,,,100,2,5,3.5,4,0,0,0,1,0,0,0,0,5.2,4.4,5.6,6.2,4.2,0.62007,0.55748,0.96167,1.74664,0.47697,0.17701,0.38126
Equisetum palustre,native,,,,,,,60,3,10,6.5,8,0,0,0,1,0,0,0,0,6.5,3.3,5.5,6.8,3.4,0.44895,0.41106,1.16268,1.70688,0.62352,0.18912,0.13918
Equisetum ramosissimum,native,,,,,,,175,1,11,6,11,0,0,0,1,0,0,0,0,3.7,2.6,6.8,7.8,5.2,0.56712,0.46169,0.75545,1.60311,0.36364,0.21977,0.23034
