"SIVIMID","CANTEUNIS","ESEUNIS","Sintaxon","Twinspan","Semisupervised","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"T-P05158","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1995,-3.472939711,43.19574246,"1 - UTM1x1 + Elevation",450,"",NA
"R-P23972","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1986,-6.951458027,42.35950892,"3 - UTM10x10 + Elevation",950,"SE",15
"T-P03085","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",45,1986,-2.76917404,43.13165238,"3 - UTM10x10 + Elevation",250,"",NA
"T-P22432","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",80,1986,-3.46567853,43.2119808,"3 - UTM10x10 + Elevation",280,"",NA
"T-P36779","V10Y","V15","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",35,1993,-7.421790987,42.59080268,"1 - UTM1x1 + Elevation",390,"",0
"T-P03087","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Spergulo arvensis-Erodion cicutariae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-2.703917117,43.40524377,"3 - UTM10x10 + Elevation",80,"",NA
"T-P05166","V10Y","V37","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1995,-3.490660904,43.25689987,"1 - UTM1x1 + Elevation",90,"",NA
"T-P05167","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1995,-3.487751603,43.20108313,"1 - UTM1x1 + Elevation",280,"",NA
"S-P18297","V10Y","V15","Polygono-Chenopodion polyspermi","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1974,-5.92292549,43.16116851,"1 - UTM1x1 + Elevation",930,"S",30
"T-P22437","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-3.40740299,43.33466633,"3 - UTM10x10 + Elevation",60,"",NA
"R-P23967","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1986,-6.789903594,42.33795834,"3 - UTM10x10 + Elevation",980,"S",3
"Q-P14977","V10Y","V15","Linario amethysteae-Calenduletum arvensis","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1982,-7.697828016,42.53477826,"3 - UTM10x10 + Elevation",380,"SW",NA
"T-P03083","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1986,-3.340208214,43.23043218,"3 - UTM10x10 + Elevation",200,"",NA
"T-P05172","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1995,-3.437616441,43.41919683,"1 - UTM1x1 + Elevation",8,"",NA
"T-P32594","V10Y","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1995,-7.485371056,42.49123445,"2 - UTM1x1 + Centroid",300,"",NA
"R-P22256","V10Y","V15","Chrysantemo segeti-Raphanetum raphanistri","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1999,-8.064703041,41.9663355,"2 - UTM1x1 + Centroid",480,"E",NA
"T-P23952","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Spergulo arvensis-Erodion cicutariae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-2.410312515,43.11595792,"3 - UTM10x10 + Elevation",160,"",NA
"T-P27791","V10Y","V15","Asociación de Chrysanthemum segetum-Oxalis violacea","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1958,-7.109184347,43.53521498,"3 - UTM10x10 + Elevation",30,"",NA
"T-P05157","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1995,-3.434207631,43.28774388,"1 - UTM1x1 + Elevation",60,"",NA
"T-P22452","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-5.586823857,43.53122797,"3 - UTM10x10 + Elevation",100,"",NA
"T-P22477","V10Y","V15","Lamio hybridi-Echinochloetum crus-gallii","Spergulo arvensis-Erodion cicutariae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1986,-7.026625266,43.5219517,"3 - UTM10x10 + Elevation",30,"",NA
"R-P23966","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1986,-6.701848045,42.36785213,"3 - UTM10x10 + Elevation",1260,"",NA
"T-P32589","V10Y","V15","Lamio amplexicaulis-Veronicetum hederifoliae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",35,1995,-7.517978838,42.471799,"3 - UTM10x10 + Elevation",390,"",0
"T-P22435","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-3.477017479,43.4028313,"3 - UTM10x10 + Elevation",5,"",NA
"T-P33572","V10Y","V15","Panicum crus galli-Spergula arvensis","Spergulo arvensis-Erodion cicutariae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.594558349,42.86889032,"1 - UTM1x1 + Elevation",100,"W",NA
"T-P03082","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1986,-3.12590575,43.21826213,"3 - UTM10x10 + Elevation",150,"",NA
"R-P24624","V10Y","V15","Holosteo umbellati-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",6,2012,-6.674555103,42.35792606,"1 - UTM1x1 + Elevation",960,"W",20
"T-P05159","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1995,-3.571297047,43.18448787,"2 - UTM1x1 + Centroid",400,"",NA
"T-P05164","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",80,1995,-3.363306397,43.38704106,"1 - UTM1x1 + Elevation",60,"",NA
"Q-P14973","V10Y","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1982,-7.697423813,42.56180448,"3 - UTM10x10 + Elevation",390,"SE",NA
"R-P24686","V10Y","V37","Galio aparinellae-Anthriscetum caucalidis","Geranio pusilli-Anthriscion caucalidis","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",5,2012,-6.501583283,42.30391603,"1 - UTM1x1 + Elevation",815,"",NA
"R-P23973","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1986,-6.968374135,42.39674089,"3 - UTM10x10 + Elevation",750,"SE",5
"Q-P14999","V10Y","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1982,-7.276212213,42.45768271,"3 - UTM10x10 + Elevation",320,"+",NA
"T-P05156","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1995,-3.370812932,43.40322498,"1 - UTM1x1 + Elevation",40,"",NA
"T-P22438","V10Y","V32","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-3.902340798,43.43628368,"3 - UTM10x10 + Elevation",50,"",NA
"R-P23971","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1986,-6.817286682,42.38927325,"3 - UTM10x10 + Elevation",880,"",NA
"Q-P14974","V10Y","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.673543129,42.56818508,"3 - UTM10x10 + Elevation",380,"NW",NA
"S-P15097","V10Y","V15",NA,NA,"Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,NA,-1.86345489,43.308134,"1 - UTM1x1 + Elevation",100,"",5
"T-P22462","V10Y","V","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",1,1986,-3.311323105,43.38164629,"4 - UTM10x10 + Centroid",191,"",NA
"T-P22473","V10Y","V32","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",1,1986,-6.591547598,43.53512218,"4 - UTM10x10 + Centroid",96,"",NA
"T-P05155","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1995,-3.482028566,43.41181472,"3 - UTM10x10 + Elevation",8,"",NA
"S-P18298","V10Y","V15","Polygono-Chenopodion polyspermi","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1974,-6.064759579,43.19346982,"1 - UTM1x1 + Elevation",450,"",NA
"T-P22436","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1986,-3.427544305,43.39222163,"3 - UTM10x10 + Elevation",220,"",NA
"T-P03084","V10Y","V15","Oxalidi latifoliae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1986,-3.089134191,43.33175535,"3 - UTM10x10 + Elevation",200,"",NA
"T-P36783","V10Y","V15","Lamio amplexicaulis-Veronicetum hederifoliae","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1993,-7.54560456,42.41668386,"1 - UTM1x1 + Elevation",530,"",0
"S-P12047","V10Y","V","Chrysanthemum-Oxalidetum","Scleranthion annui","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1975,-6.954206155,43.54969201,"3 - UTM10x10 + Elevation",30,"",NA
"T-P11662","V10Y","V15","Geranio robertiani-Caryolophetum sempervirentis","Aegopodion podagrariae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",4,1988,-5.635423289,42.88181811,"3 - UTM10x10 + Elevation",1030,"",NA
"T-P22434","V10Y","V15","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Oxalidion europeae","Aperetalia spicae-venti","Papaveretea rhoeadis",200,1986,-3.422305453,43.34901953,"3 - UTM10x10 + Elevation",10,"",NA
"R-P20554","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",20,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20555","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20538","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",10,1997,-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,"",NA
"R-P20551","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"R-P20521","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20540","R554","C35b","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-4.542774152,43.36986848,"4 - UTM10x10 + Centroid",92,"",NA
"R-P20539","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-4.542774152,43.36986848,"4 - UTM10x10 + Centroid",92,"",NA
"S-P30973","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",3,2002,-8.201866717,43.33409546,"2 - UTM1x1 + Centroid",103,"",NA
"R-P20560","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",4,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20541","R554","C35e","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-4.542774152,43.36986848,"4 - UTM10x10 + Centroid",92,"",NA
"R-P20553","R554","?","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",10,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"R-P20536","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,"",NA
"R-P20550","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"R-P20552","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"R-P20509","R554","C35c","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",1,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20510","R554","C35c","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",20,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20511","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20508","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",50,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20537","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,"",NA
"S-P30971","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",NA,2002,-8.22980075,43.30029744,"2 - UTM1x1 + Centroid",103,"",NA
"R-P20559","R554","C35c","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",4,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20557","R554","C35c","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20543","R554","C35e","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",15,1997,-4.542774152,43.36986848,"4 - UTM10x10 + Centroid",92,"",NA
"R-P20507","R554","C35b","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"R-P20519","R554","C35c","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20522","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20528","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",100,1997,-6.708298223,43.53800992,"4 - UTM10x10 + Centroid",71,"",NA
"R-P20503","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",1,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"S-P30974","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",1,2002,-8.201866717,43.33409546,"2 - UTM1x1 + Centroid",103,"",NA
"R-P20558","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",4,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20530","R554","?","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-6.708298223,43.53800992,"4 - UTM10x10 + Centroid",71,"",NA
"R-P20518","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20535","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40,"",NA
"R-P20545","R554","C35e","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-4.542774152,43.36986848,"4 - UTM10x10 + Centroid",92,"",NA
"R-P20533","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",10,1997,-6.708298223,43.53800992,"4 - UTM10x10 + Centroid",71,"",NA
"R-P20542","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",25,1997,-4.542774152,43.36986848,"4 - UTM10x10 + Centroid",92,"",NA
"R-P20546","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.28836935,43.46302435,"4 - UTM10x10 + Centroid",166,"",NA
"R-P20549","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20547","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",25,1997,-5.28836935,43.46302435,"4 - UTM10x10 + Centroid",166,"",NA
"R-P20527","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",20,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"R-P20556","R554","C35c","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"S-P30972","R554","?","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",1,2002,-8.22980075,43.30029744,"2 - UTM1x1 + Centroid",103,"",NA
"R-P20544","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",10,1997,-4.542774152,43.36986848,"4 - UTM10x10 + Centroid",92,"",NA
"R-P20513","R554","C35c","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"R-P20505","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",3,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"R-P20526","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",25,1997,-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228,"",NA
"R-P20531","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",5,1997,-6.708298223,43.53800992,"4 - UTM10x10 + Centroid",71,"",NA
"R-P20532","R554","Qb","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",10,1997,-6.708298223,43.53800992,"4 - UTM10x10 + Centroid",71,"",NA
"R-P20529","R554","R","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-6.708298223,43.53800992,"4 - UTM10x10 + Centroid",71,"",NA
"R-P20524","R554","C35c","Spergulario marinae-Cotuletum coronopifoliae","Paspalo-Agrostion semiverticillati","Paspalo-Agrostion semiverticillati","Paspalo-Heleochloetalia","Bidentetea",2,1997,-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132,"",NA
"T-P06582","V39Z","R55","Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii",20,1995,-2.877766719,42.93190805,"1 - UTM1x1 + Elevation",600,"",NA
"T-P06566","V39Z","R55","Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii",20,1995,-2.589671789,42.76193799,"2 - UTM1x1 + Centroid",770,"",NA
"T-P06577","V39Z","V39","Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii",40,1995,-1.830475884,42.96922304,"1 - UTM1x1 + Elevation",580,"",NA
"T-P06571","V39Z","V39","Galio aparines-Anthriscetum sylvestris","Balloto-Conion maculati","Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii",70,1995,-2.838470316,42.96247693,"1 - UTM1x1 + Elevation",640,"",NA
"T-P07926","V39Z","R55","Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii",20,1999,-1.616720493,42.98664996,"1 - UTM1x1 + Elevation",590,"",NA
"T-P06565","V39Z","R","Galio aparines-Anthriscetum sylvestris","Balloto-Conion maculati","Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii",10,1995,-2.542860169,42.81219097,"1 - UTM1x1 + Elevation",630,"",NA
"T-P06585","V39Z","V39","Galio aparines-Anthriscetum sylvestris","Balloto-Conion maculati","Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii",10,1995,-2.392902866,42.88713855,"1 - UTM1x1 + Elevation",610,"",NA
"T-P06578","V39Z","R55","Galio aparines-Anthriscetum sylvestris","Balloto-Conion maculati","Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii",60,1995,-1.656783911,42.94930637,"1 - UTM1x1 + Elevation",570,"",NA
