"SIVIMID","CANTEUNIS","ESEUNIS","Sintaxon","Twinspan","Semisupervised","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"R-P22248","R55Y","R55","Picridio hieracioidis-Eupatorietum cannabini","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",30,1999,-8.068130508,41.90316286,"1 - UTM1x1 + Elevation",350,"NE",NA
"T-P12285","R55Y","R55","Comunidad de Eupatorium cannabinum",NA,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",10,1988,-6.337705764,42.9175069,"3 - UTM10x10 + Elevation",930,"",NA
"R-P24680","R55Y","R55","Comunidad de Epilobium parviflorum y Eupatorium cannabinum",NA,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",50,2012,-6.736666621,42.42254765,"1 - UTM1x1 + Elevation",432,"",NA
"T-P32575","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",8,2010,-1.319849073,43.4365037,"3 - UTM10x10 + Elevation",2,"",0
"T-P32578","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",20,2010,-0.658107539,43.16554178,"3 - UTM10x10 + Elevation",240,"",45
"T-P32580","R55Y","R","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",20,2010,-1.253257937,43.43190397,"3 - UTM10x10 + Elevation",16,"",NA
"T-P32583","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",20,2010,-1.243430192,43.42995256,"3 - UTM10x10 + Elevation",80,"",NA
"T-P12284","R55Y","R55","Comunidad de Eupatorium cannabinum",NA,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",20,1988,-6.354243904,42.90621808,"3 - UTM10x10 + Elevation",940,"",NA
"T-P32585","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",6,2010,-1.469770238,43.46922293,"3 - UTM10x10 + Elevation",2,"",NA
"T-P32582","R55Y","R55","Picrido hieracioidis-Eupatorietum cannabinii","Arction lappae","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",20,2010,-1.243378118,43.43175259,"3 - UTM10x10 + Elevation",85,"",NA
"T-P32576","R55Y","?","Picrido hieracioidis-Eupatorietum cannabinii","Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii",16,2010,-1.319948701,43.43290349,"3 - UTM10x10 + Elevation",7,"",0
"Q-P09513","V38Z","V38","Echio rosulati-Picridetum echioisia",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",NA,2002,-8.631537195,42.06048304,"2 - UTM1x1 + Centroid",70,"",NA
