"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"12","Q-P02789","Centrantho-Hypericetum hircini",10,1969,-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"13","Q-P02790","Centrantho-Hypericetum hircini",10,1969,-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"14","Q-P02791","Centrantho-Hypericetum hircini",20,1969,-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"15","Q-P02792","Cymbalario-Trachelietum caerulei",50,1969,-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"16","Q-P02793","Cymbalario-Trachelietum caerulei",50,1969,-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"17","Q-P02794","Cymbalario-Trachelietum caerulei",100,1969,-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"18","Q-P07031","Parietarietum judaicae",10,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"19","Q-P07039","Parietarietum judaicae",10,1985,-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"20","Q-P09918","Cymbalarietum muralis",3,2000,-6.902707464,41.96319006,"3 - UTM10x10 + Elevation",800,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"21","Q-P09919","Cymbalarietum muralis",2,2000,-7.068164578,41.83317711,"3 - UTM10x10 + Elevation",830,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"22","Q-P09921","Parietarietum judaicae",1,2000,-6.860724682,41.86736218,"3 - UTM10x10 + Elevation",850,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"23","R-P15101","Parietarietum judaicae",15,1983,-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"24","R-P15102","Parietarietum judaicae",40,1983,-2.402359147,43.17534852,"2 - UTM1x1 + Centroid",120,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"25","R-P15103","Parietarietum judaicae",30,1983,-2.401567201,43.25638684,"2 - UTM1x1 + Centroid",80,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"26","R-P15104","Parietarietum judaicae",40,1983,-2.417601822,43.12500012,"1 - UTM1x1 + Elevation",150,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"27","R-P15105","Parietarietum judaicae",10,1983,-2.306396608,43.17480699,"1 - UTM1x1 + Elevation",150,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"28","R-P15106","Parietarietum judaicae",60,1983,-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"29","R-P15107","Parietarietum judaicae",6,1983,-2.417618905,43.12319923,"1 - UTM1x1 + Elevation",160,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"30","R-P15108","Parietarietum judaicae",40,1983,-2.409306852,43.22040833,"1 - UTM1x1 + Elevation",100,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"31","R-P15109","Parietarietum judaicae",10,1983,-2.364084359,43.30661043,"1 - UTM1x1 + Elevation",20,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"32","R-P15110","Parietarietum judaicae",20,1983,-2.388716189,43.31033991,"2 - UTM1x1 + Centroid",20,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"33","R-P15111","Parietarietum judaicae",20,1983,-2.388716189,43.31033991,"2 - UTM1x1 + Centroid",20,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"34","R-P15112","Parietarietum judaicae",10,1983,-2.566073861,42.99058478,"1 - UTM1x1 + Elevation",400,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"35","R-P15113","Parietarietum judaicae",35,1983,-2.194038196,43.29833496,"1 - UTM1x1 + Elevation",10,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"36","R-P15114","Parietarietum judaicae",30,1983,-2.196456222,43.3019538,"1 - UTM1x1 + Elevation",10,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"37","R-P15115","Centrantho-Hypericetum hircini",30,1983,-2.259080326,43.22133494,"1 - UTM1x1 + Elevation",80,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"38","R-P15116","Centrantho-Hypericetum hircini",30,1983,-2.30881653,43.17842354,"1 - UTM1x1 + Elevation",170,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"39","R-P15117","Centrantho-Hypericetum hircini",30,1983,-2.234028067,43.25538766,"1 - UTM1x1 + Elevation",30,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"40","R-P15118","Centrantho-Hypericetum hircini",20,1983,-2.258883978,43.2375421,"1 - UTM1x1 + Elevation",50,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"41","R-P15119","Cymbalario-Trachelietum caerulei",10,1983,-2.415194685,43.11958492,"1 - UTM1x1 + Elevation",140,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"42","R-P15120","Cymbalario-Trachelietum caerulei",15,1983,-2.410295221,43.1177588,"1 - UTM1x1 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"43","R-P15121","Cymbalario-Trachelietum caerulei",30,1983,-2.417618905,43.12319923,"1 - UTM1x1 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"44","R-P15122","Cymbalarietum muralis",NA,1983,-1.976755236,43.31640741,"1 - UTM1x1 + Elevation",10,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"45","R-P15123","Cymbalarietum muralis",NA,1983,-1.979221273,43.31642945,"1 - UTM1x1 + Elevation",10,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"46","R-P15124","Cymbalarietum muralis",NA,1983,-1.986649325,43.3146946,"1 - UTM1x1 + Elevation",10,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"47","R-P15125","Cymbalarietum muralis",NA,1983,-2.412753528,43.11777144,"1 - UTM1x1 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"48","R-P22336","Parietarietum judaicae",2,1999,-8.092434214,41.90568603,"1 - UTM1x1 + Elevation",390,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"49","R-P22337","Parietarietum judaicae",2,1999,-8.085371374,41.90780044,"1 - UTM1x1 + Elevation",370,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"50","R-P22339","Parietarietum judaicae",3,1999,-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",380,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"51","R-P22340","Parietarietum judaicae",2,1999,-8.101645234,41.93048438,"3 - UTM10x10 + Elevation",480,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"52","R-P23777","Cymbalarietum muralis",4,1986,-6.855415177,42.37359619,"2 - UTM1x1 + Centroid",663,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"53","R-P24468","Parietarietum judaicae",8,2012,-6.815273097,42.43616221,"1 - UTM1x1 + Elevation",376,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"54","R-P24469","Parietarietum judaicae",10,2012,-6.812628673,42.43264865,"1 - UTM1x1 + Elevation",376,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"55","R-P24471","Parietarietum judaicae",20,2012,-6.714726725,42.42146086,"1 - UTM1x1 + Elevation",470,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"56","R-P24472","Parietarietum judaicae",4,2012,-6.628567767,42.40261375,"1 - UTM1x1 + Elevation",876,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"57","R-P24473","Parietarietum judaicae",6,2012,-6.700276782,42.4237297,"1 - UTM1x1 + Elevation",522,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"58","R-P24474","Cymbalarietum muralis",4,2012,-6.695318936,42.42208899,"1 - UTM1x1 + Elevation",477,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"59","S-P12040","Oxali-Parietarietum diffusae",20,1975,-6.541250758,43.55784587,"3 - UTM10x10 + Elevation",5,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"60","S-P12041","Oxali-Parietarietum diffusae",15,1975,-7.020773027,43.54556605,"3 - UTM10x10 + Elevation",30,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"61","S-P12042","Oxali-Parietarietum diffusae",15,1975,-6.641078956,43.57091204,"3 - UTM10x10 + Elevation",5,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"62","S-P17950","Cymbalario-Trachelietum caerulei",10,1982,-2.715385597,43.06489476,"1 - UTM1x1 + Elevation",600,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"63","S-P17951","Cymbalario-Trachelietum caerulei",10,1982,-2.618965627,43.16546917,"1 - UTM1x1 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"64","S-P17952","Cymbalario-Trachelietum caerulei",8,1982,-2.621437042,43.16367641,"1 - UTM1x1 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"65","S-P17953","Cymbalario-Trachelietum caerulei",10,1982,-2.648375586,43.1853739,"1 - UTM1x1 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
