"SIVIMID","Relevé.number","Semisupervised","Revised.alliance","Alliance","Sintaxon","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"R-P15121",2203,0,"Galio valantiae-Parietarion judaicae","Cymbalario-Asplenion","Cymbalario-Trachelietum caerulei","?","",NA,30,"1983",-2.417618905,43.12319923,"1 - UTM1x1 + Elevation",150
"R-P15122",2204,1,"Cymbalario-Asplenion","Cymbalario-Asplenion","Cymbalarietum muralis","?","",NA,NA,"1983",-1.976755236,43.31640741,"1 - UTM1x1 + Elevation",10
"R-P15123",2205,1,"Cymbalario-Asplenion","Cymbalario-Asplenion","Cymbalarietum muralis","?","",NA,NA,"1983",-1.979221273,43.31642945,"1 - UTM1x1 + Elevation",10
"R-P15124",2206,1,"Cymbalario-Asplenion","Cymbalario-Asplenion","Cymbalarietum muralis","?","",NA,NA,"1983",-1.986649325,43.3146946,"1 - UTM1x1 + Elevation",10
"R-P15125",2207,1,"Cymbalario-Asplenion","Cymbalario-Asplenion","Cymbalarietum muralis","?","",NA,NA,"1983",-2.412753528,43.11777144,"1 - UTM1x1 + Elevation",150
"R-P15132",175,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V32","",NA,5,"1983",-2.415177533,43.12138581,"1 - UTM1x1 + Elevation",150
"R-P15133",176,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V32","",NA,4,"1983",-2.415177533,43.12138581,"1 - UTM1x1 + Elevation",150
"R-P15134",177,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,5,"1983",-2.417601822,43.12500012,"1 - UTM1x1 + Elevation",140
"R-P15135",1830,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V32","",NA,2,"1983",-2.477114536,43.06585512,"1 - UTM1x1 + Elevation",200
"R-P15136",178,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,5,"1983",-2.504438008,43.02815573,"1 - UTM1x1 + Elevation",230
"R-P15137",179,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,4,"1983",-2.575973688,42.97801475,"1 - UTM1x1 + Elevation",630
"R-P15138",1831,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,4,"1983",-2.417653067,43.11959746,"1 - UTM1x1 + Elevation",150
"R-P15139",180,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,4,"1983",-2.508787101,43.09841323,"1 - UTM1x1 + Elevation",420
"R-P15140",181,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,4,"1983",-2.508787101,43.09841323,"1 - UTM1x1 + Elevation",400
"R-P15141",182,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,10,"1983",-2.476101198,43.18471474,"2 - UTM1x1 + Centroid",120
"R-P15142",183,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,4,"1983",-2.394417429,42.98260123,"1 - UTM1x1 + Elevation",910
"R-P15143",184,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","",NA,4,"1983",-2.422586771,43.11782149,"1 - UTM1x1 + Elevation",200
"R-P15144",185,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R","",NA,15,"1983",-2.420077433,43.12321172,"1 - UTM1x1 + Elevation",140
"R-P15145",186,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R55","",NA,10,"1983",-2.432353444,43.12507425,"1 - UTM1x1 + Elevation",200
"R-P15146",187,0,"Geo urbani-Alliarion officinalis","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R55","",NA,20,"1983",-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150
"R-P15147",188,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R55","",NA,20,"1983",-2.268671539,43.24300789,"1 - UTM1x1 + Elevation",300
"R-P15148",189,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R57","",NA,10,"1983",-2.384338285,43.25449448,"1 - UTM1x1 + Elevation",50
"R-P15149",190,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R57","",NA,15,"1983",-2.56853975,42.98879308,"1 - UTM1x1 + Elevation",450
"R-P15150",191,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R57","",NA,6,"1983",-2.563582342,42.99597836,"2 - UTM1x1 + Centroid",300
"R-P15151",192,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R57","",NA,5,"1983",-2.563582342,42.99597836,"2 - UTM1x1 + Centroid",300
"R-P15152",193,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R57","",NA,10,"1983",-2.571093135,42.97439452,"1 - UTM1x1 + Elevation",600
"R-P15153",194,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R55","",NA,5,"1983",-2.571093135,42.97439452,"1 - UTM1x1 + Elevation",600
"R-P15154",195,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","V39","",NA,15,"1983",-2.518772508,43.07864482,"1 - UTM1x1 + Elevation",450
"R-P15155",196,1,"Balloto-Conion maculati","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","R57","",NA,15,"1983",-2.443928241,43.20437335,"1 - UTM1x1 + Elevation",530
"R-P15156",197,0,"Arction lappae","Cirsion richterano-chodati","Carduo nutantis-Cirsietum richterani","V39","",NA,30,"1983",-2.343251697,42.94990072,"2 - UTM1x1 + Centroid",1050
"R-P15157",198,0,"Arction lappae","Cirsion richterano-chodati","Carduo nutantis-Cirsietum richterani","V39","",NA,6,"1983",-2.343251697,42.94990072,"2 - UTM1x1 + Centroid",1000
"R-P15158",1832,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,NA,"1983",-2.420060421,43.12501261,"1 - UTM1x1 + Elevation",150
"R-P15159",1833,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,1,"1983",-2.484498409,43.06408763,"1 - UTM1x1 + Elevation",200
"R-P15160",1834,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,NA,"1983",-2.484498409,43.06408763,"1 - UTM1x1 + Elevation",200
"R-P15161",1835,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,2,"1983",-2.406248527,43.02768845,"1 - UTM1x1 + Elevation",230
"R-P15162",1836,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,1,"1983",-2.526641647,43.01384166,"2 - UTM1x1 + Centroid",250
"R-P15163",1837,0,"Saginion procumbentis","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,3,"1983",-2.398831686,43.03305274,"1 - UTM1x1 + Elevation",240
"R-P15164",1838,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,1,"1983",-2.409324237,43.21860748,"1 - UTM1x1 + Elevation",90
"R-P15165",1839,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,1,"1983",-2.378483179,43.10318262,"2 - UTM1x1 + Centroid",200
"R-P15166",1840,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,NA,"1983",-2.56364605,42.98697351,"2 - UTM1x1 + Centroid",350
"R-P15167",1841,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,1,"1983",-2.342099651,43.05795461,"2 - UTM1x1 + Centroid",350
"R-P15168",1842,1,"Polygono-Coronopodion","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,1,"1983",-2.31724111,43.0848238,"2 - UTM1x1 + Centroid",280
"R-P15169",1843,0,"Saginion procumbentis","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","V35","",NA,NA,"1983",-2.31724111,43.0848238,"2 - UTM1x1 + Centroid",300
"R-P15170",1844,1,"Saginion procumbentis","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,2,"1983",-2.388716189,43.31033991,"2 - UTM1x1 + Centroid",10
"R-P15171",1845,1,"Saginion procumbentis","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,1,"1983",-2.441466447,43.20436136,"1 - UTM1x1 + Elevation",500
"R-P15172",1846,1,"Saginion procumbentis","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,2,"1983",-2.403758958,43.03127751,"2 - UTM1x1 + Centroid",350
"R-P15173",1847,1,"Saginion procumbentis","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,2,"1983",-2.531495292,43.02106567,"1 - UTM1x1 + Elevation",350
"R-P15174",1848,1,"Saginion procumbentis","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,1,"1983",-2.412753528,43.11777144,"1 - UTM1x1 + Elevation",150
"R-P15175",1849,1,"Saginion procumbentis","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,1,"1983",-2.419190755,43.21685705,"1 - UTM1x1 + Elevation",100
"R-P15176",1850,1,"Saginion procumbentis","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,2,"1983",-2.389265862,43.25452089,"1 - UTM1x1 + Elevation",50
"R-P15177",1851,0,"Polygono-Coronopodion","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,1,"1983",-2.386802073,43.25450771,"1 - UTM1x1 + Elevation",50
"R-P15178",1852,1,"Saginion procumbentis","Saginion procumbentis","Bryo argentei-Saginetum procumbentis","V35","",NA,3,"1983",-2.354373302,43.2921487,"1 - UTM1x1 + Elevation",10
"R-P15228",315228,1,"Cynancho-Convolvulion sepium",NA,"Com. de Juncus conglomeratus-Juncus effusus","R36","",NA,10,"1983",-2.122773917,43.28160238,"1 - UTM1x1 + Elevation",10
"R-P15231",315231,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,10,"1983",-2.390664564,43.114054,"1 - UTM1x1 + Elevation",350
"R-P15232",315232,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,3,"1983",-2.563454837,43.013988,"2 - UTM1x1 + Centroid",250
"R-P15234",315234,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,2,"1983",-2.38152812,43.28869691,"1 - UTM1x1 + Elevation",200
"R-P15235",315235,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,5,"1983",-2.465443153,42.99556208,"2 - UTM1x1 + Centroid",250
"R-P15236",315236,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,8,"1983",-2.420111451,43.11960994,"1 - UTM1x1 + Elevation",150
"R-P15239",315239,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,5,"1983",-2.464425444,43.11262204,"2 - UTM1x1 + Centroid",190
"R-P15241",315241,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,4,"1983",-2.376561004,43.29227179,"1 - UTM1x1 + Elevation",180
"R-P15242",315242,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,5,"1983",-2.429961719,43.11785847,"1 - UTM1x1 + Elevation",250
"R-P15354",315354,1,"Cynancho-Convolvulion sepium",NA,"Oenanthetum crocatae","R55","",NA,10,"1983",-2.085857104,43.27771146,"1 - UTM1x1 + Elevation",0
"R-P20105",320105,0,"Cynancho-Convolvulion sepium","Agropyrion pungentis","Junco maritimi-Elymetum pycnanthi","V15","",NA,50,"1997",-5.899179237,43.3607552,"4 - UTM10x10 + Centroid",228
"R-P20515",320515,0,"Potentillion anserinae","Paspalo-Agrostion semiverticillati","Spergulario marinae-Cotuletum coronopifoliae","R36","",NA,9,"1997",-5.419352129,43.52696353,"4 - UTM10x10 + Centroid",132
"R-P20908",320908,1,"Linario polygalifoliae-Vulpion alopecuri","Linario polygalifoliae-Vulpion alopecuri","Scrophulario-Vulpietum alopecuroris"," R     ","",NA,60,"1989",-7,43,"5 - UTMs missing from DEM",NA
"R-P20909",320909,1,"Linario polygalifoliae-Vulpion alopecuri","Linario polygalifoliae-Vulpion alopecuri","Scrophulario-Vulpietum alopecuroris"," R     ","",NA,150,"1989",-7,43,"5 - UTMs missing from DEM",NA
"R-P20911",320911,1,"Linario polygalifoliae-Vulpion alopecuri","Linario polygalifoliae-Vulpion alopecuri","Scrophulario-Vulpietum alopecuroris"," N15!  ","",NA,100,"1989",-7,43,"5 - UTMs missing from DEM",NA
"R-P21296",1139,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","V15","NW",NA,40,"1995",-7.434860876,42.50026169,"1 - UTM1x1 + Elevation",480
"R-P21297",1140,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","V15","S",5,50,"1995",-7.273300749,42.62886084,"1 - UTM1x1 + Elevation",900
"R-P21298",1141,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","V15","N",5,40,"1995",-7.273824138,42.67205843,"1 - UTM1x1 + Elevation",1000
"R-P21299",1142,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","R1R","",0,30,"1995",-7.442382618,42.64042379,"1 - UTM1x1 + Elevation",440
"R-P21300",1143,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","V15","",0,30,"1995",-7.526242786,42.55250296,"1 - UTM1x1 + Elevation",360
"R-P21301",1144,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","R1R","",NA,50,"1995",-7.521570042,42.48786327,"1 - UTM1x1 + Elevation",320
"R-P21302",1145,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","R1R","S",NA,70,"1995",-7.461822219,42.57124082,"1 - UTM1x1 + Elevation",380
"R-P21303",1146,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","V32","",0,50,"1995",-7.558860206,42.56561259,"1 - UTM1x1 + Elevation",370
"R-P21304",1147,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","R","",0,40,"1995",-7.500562743,42.56792197,"1 - UTM1x1 + Elevation",410
"R-P21305",1148,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","V15","N",NA,50,"1995",-7.595267542,42.49753063,"1 - UTM1x1 + Elevation",300
"R-P21306",1149,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","V15","",0,15,"1995",-7.375360467,42.58898722,"1 - UTM1x1 + Elevation",500
"R-P22028",322028,0,"Epilobion angustifolii","Linarion triornithophorae","Omphalodo nitidae-Linarietum triornithophorae","V33","S",5,3,"1999",-8.143828124,41.88538348,"3 - UTM10x10 + Elevation",350
"R-P22199",1853,0,"Polygono-Coronopodion","Potentillion anserinae","Lolio perennis-Plantaginetum maioris","V35","S",NA,3,"1999",-8.001127176,41.97093036,"1 - UTM1x1 + Elevation",580
"R-P22201",1854,0,"Polygono-Coronopodion","Potentillion anserinae","Lolio perennis-Plantaginetum maioris","V35","NE",NA,4,"1999",-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",830
"R-P22204",1855,0,"Polygono-Coronopodion","Potentillion anserinae","Lolio perennis-Plantaginetum maioris","V35","N",NA,2,"1999",-7.91905333,41.90786144,"1 - UTM1x1 + Elevation",875
"R-P22236",200,0,"Geranio pusilli-Anthriscion caucalidis","Silybo mariani-Urticion piluliferae","Echio rosulati-Silybetum mariani","V33","S",10,4,"1999",-7.995474555,41.96037338,"1 - UTM1x1 + Elevation",560
"R-P22237",201,0,"Sisymbrion officinalis","Silybo mariani-Urticion piluliferae","Echio rosulati-Silybetum mariani","V33","S",NA,20,"1999",-8.04015333,41.8845907,"1 - UTM1x1 + Elevation",670
"R-P22238",1150,0,"Sisymbrion officinalis","Silybo mariani-Urticion piluliferae","Echio rosulati-Silybetum mariani","V38","W",NA,5,"1999",-8.025036267,41.90686225,"3 - UTM10x10 + Elevation",710
"R-P22239",202,0,"Sisymbrion officinalis","Silybo mariani-Urticion piluliferae","Echio rosulati-Silybetum mariani","V38","",NA,9,"1999",-7.958154108,41.94578957,"1 - UTM1x1 + Elevation",810
"R-P22240",203,0,"Balloto-Conion maculati","Silybo mariani-Urticion piluliferae","Echio rosulati-Silybetum mariani","V38","W",30,5,"1999",-8.174743214,41.91284438,"2 - UTM1x1 + Centroid",700
"R-P22241",204,1,"Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","V39","SE",5,20,"1999",-7.985576936,41.95720345,"3 - UTM10x10 + Elevation",600
"R-P22242",205,1,"Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","V39","NW",NA,15,"1999",-7.960557953,41.94568548,"3 - UTM10x10 + Elevation",815
"R-P22243",206,1,"Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","V39","",30,10,"1999",-7.975960117,41.9576217,"1 - UTM1x1 + Elevation",590
"R-P22244",207,1,"Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","V39","S",NA,5,"1999",-7.992087464,41.94791673,"3 - UTM10x10 + Elevation",680
"R-P22245",208,1,"Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","R","",5,10,"1999",-8.085085853,41.90421193,"1 - UTM1x1 + Elevation",380
"R-P22246",209,1,"Geo urbani-Alliarion officinalis","Geo urbani-Alliarion officinalis","Geranio robertiani-Caryolophetum sempervirentis","V39","N",NA,15,"1999",-7.921455893,41.90775824,"1 - UTM1x1 + Elevation",875
"R-P22248",322248,1,"Cynancho-Convolvulion sepium","Cynancho-Convolvulion sepium","Picridio hieracioidis-Eupatorietum cannabini","R55","NE",NA,30,"1999",-8.068130508,41.90316286,"1 - UTM1x1 + Elevation",350
"R-P22254",1151,1,"Scleranthion annui","Scleranthion annui","Linario eleganti-Anthoxanthetum aristati","V15","SE",5,60,"1999",-8.061560413,42.03309657,"1 - UTM1x1 + Elevation",1000
"R-P22255",1152,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","",NA,80,"1999",-8.11606147,41.92984124,"1 - UTM1x1 + Elevation",500
"R-P22256",1153,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","E",NA,40,"1999",-8.064703041,41.9663355,"2 - UTM1x1 + Centroid",480
"R-P22257",1154,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","W",NA,60,"1999",-8.10724013,41.87981846,"1 - UTM1x1 + Elevation",380
"R-P22258",1155,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V37","W",NA,30,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410
"R-P22259",1156,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","W",NA,30,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",412
"R-P22260",1157,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","SW",NA,40,"1999",-8.099465518,41.87296248,"3 - UTM10x10 + Elevation",425
"R-P22261",1158,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","E",NA,50,"1999",-8.005130567,41.86653533,"2 - UTM1x1 + Centroid",400
"R-P22262",1159,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","E",NA,50,"1999",-8.005130567,41.86653533,"2 - UTM1x1 + Centroid",395
"R-P22263",1160,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","SW",NA,50,"1999",-8.51023593,41.85933625,"3 - UTM10x10 + Elevation",700
"R-P22264",1161,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","NW",NA,70,"1999",-8.085228607,41.90600619,"1 - UTM1x1 + Elevation",350
"R-P22265",1162,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","NW",2,100,"1999",-8.085371374,41.90780044,"1 - UTM1x1 + Elevation",350
"R-P22266",1163,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","",NA,50,"1999",-8.084514966,41.89703488,"1 - UTM1x1 + Elevation",420
"R-P22268",1164,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","W",NA,60,"1999",-8.062346234,41.9214247,"1 - UTM1x1 + Elevation",450
"R-P22269",1165,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","W",NA,80,"1999",-8.062488437,41.92321902,"1 - UTM1x1 + Elevation",450
"R-P22270",1166,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","S",3,40,"1999",-8.010201192,41.90211028,"1 - UTM1x1 + Elevation",850
"R-P22271",1167,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","W",5,50,"1999",-7.973276132,41.95413704,"1 - UTM1x1 + Elevation",630
"R-P22272",1168,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","S",5,100,"1999",-8.033090552,41.91731228,"3 - UTM10x10 + Elevation",665
"R-P22273",1169,0,"Oxalidion europaeae","Scleranthion annui","Chrysantemo segeti-Raphanetum raphanistri","V15","",NA,50,"1999",-7.921455893,41.90775824,"1 - UTM1x1 + Elevation",880
"R-P22274",1170,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio amplexicaulis-Veronicetum hederifoliae","V15","W",NA,40,"1999",-7.926537639,41.91114109,"1 - UTM1x1 + Elevation",860
"R-P22275",1171,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V","W",NA,30,"1999",-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405
"R-P22276",1172,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","NW",NA,50,"1999",-8.15045287,41.87788344,"1 - UTM1x1 + Elevation",400
"R-P22277",1173,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V","NE",NA,40,"1999",-8.148196657,41.87978546,"1 - UTM1x1 + Elevation",400
"R-P22278",1174,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V","W",NA,80,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",425
"R-P22279",1175,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","W",NA,50,"1999",-8.077737788,41.90273734,"1 - UTM1x1 + Elevation",420
"R-P22280",1176,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V37","S",3,100,"1999",-8.003531808,41.97082532,"1 - UTM1x1 + Elevation",560
"R-P22281",1177,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","NE",NA,40,"1999",-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",840
"R-P22282",1178,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V34","SW",NA,40,"1999",-8.113658797,41.92994856,"1 - UTM1x1 + Elevation",480
"R-P22284",1179,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","W",NA,80,"1999",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410
"R-P22285",1180,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","NW",3,100,"1999",-8.093950157,41.86420491,"1 - UTM1x1 + Elevation",640
"R-P22286",1181,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V37","SW",NA,100,"1999",-7.994772141,41.95140092,"1 - UTM1x1 + Elevation",600
"R-P22287",1182,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V37","SW",NA,70,"1999",-7.976100077,41.95941625,"1 - UTM1x1 + Elevation",625
"R-P22288",1183,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","S",NA,50,"1999",-7.968607623,41.95624458,"2 - UTM1x1 + Centroid",900
"R-P22289",1184,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","W",NA,50,"1999",-7.917064959,41.91334875,"1 - UTM1x1 + Elevation",860
"R-P22290",1185,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","W",NA,50,"1999",-7.919191453,41.90965615,"1 - UTM1x1 + Elevation",865
"R-P22291",1186,1,"Oxalidion europaeae","Oxalidion europaeae","Lamio hybridi-Echinochloetum crus-gallii","V15","S",NA,100,"1999",-7.933282832,41.93785441,"2 - UTM1x1 + Centroid",720
"R-P22293",210,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","S",NA,2,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",390
"R-P22294",211,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V38","S",5,2,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",392
"R-P22295",212,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V32","",NA,3,"1999",-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405
"R-P22296",1187,0,"Oxalidion europaeae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V37","N",NA,2,"1999",-8.116205221,41.9316354,"1 - UTM1x1 + Elevation",490
"R-P22297",1188,0,"Oxalidion europaeae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V32","E",5,3,"1999",-8.11125611,41.93005582,"1 - UTM1x1 + Elevation",500
"R-P22298",213,1,"Sisymbrion officinalis","Sisymbrion officinalis","Bromo diandri-Carduetum tenuiflori","V32","NW",NA,10,"1999",-7.941424446,41.97892401,"1 - UTM1x1 + Elevation",580
