"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"25","R-P15158","Polygono-Matricarietum matricarioidis","V34Z",NA,1983,-2.420060421,43.12501261,"1 - UTM1x1 + Elevation",150,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"26","R-P15159","Polygono-Matricarietum matricarioidis","V34Z",1,1983,-2.484498409,43.06408763,"1 - UTM1x1 + Elevation",200,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"27","R-P15160","Polygono-Matricarietum matricarioidis","V34Z",NA,1983,-2.484498409,43.06408763,"1 - UTM1x1 + Elevation",200,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"28","R-P15161","Polygono-Matricarietum matricarioidis","V34Z",2,1983,-2.406248527,43.02768845,"1 - UTM1x1 + Elevation",230,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"29","R-P15162","Polygono-Matricarietum matricarioidis","V34Z",1,1983,-2.526641647,43.01384166,"2 - UTM1x1 + Centroid",250,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"30","R-P15163","Polygono-Matricarietum matricarioidis","V34Z",3,1983,-2.398831686,43.03305274,"1 - UTM1x1 + Elevation",240,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"31","R-P15164","Polygono-Matricarietum matricarioidis","V34Z",1,1983,-2.409324237,43.21860748,"1 - UTM1x1 + Elevation",90,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"32","R-P15165","Polygono-Matricarietum matricarioidis","V34Z",1,1983,-2.378483179,43.10318262,"2 - UTM1x1 + Centroid",200,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"33","R-P15166","Polygono-Matricarietum matricarioidis","V34Z",NA,1983,-2.56364605,42.98697351,"2 - UTM1x1 + Centroid",350,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"34","R-P15167","Polygono-Matricarietum matricarioidis","V34Z",1,1983,-2.342099651,43.05795461,"2 - UTM1x1 + Centroid",350,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"35","R-P15168","Polygono-Matricarietum matricarioidis","V34Z",1,1983,-2.31724111,43.0848238,"2 - UTM1x1 + Centroid",280,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"36","R-P15169","Polygono-Matricarietum matricarioidis","V34Z",NA,1983,-2.31724111,43.0848238,"2 - UTM1x1 + Centroid",300,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"37","R-P15170","Bryo argentei-Saginetum procumbentis","V35Z",2,1983,-2.388716189,43.31033991,"2 - UTM1x1 + Centroid",10,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"38","R-P15171","Bryo argentei-Saginetum procumbentis","V35Z",1,1983,-2.441466447,43.20436136,"1 - UTM1x1 + Elevation",500,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"39","R-P15172","Bryo argentei-Saginetum procumbentis","V35Z",2,1983,-2.403758958,43.03127751,"2 - UTM1x1 + Centroid",350,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
